#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 37066.060000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999911    0.0040788
      0.01     0.999644    0.0081556
     0.015     0.999199    0.0122283
      0.02     0.998576    0.0162949
     0.025     0.997775    0.0203533
      0.03     0.996798    0.0244015
     0.035     0.995644    0.0284374
      0.04     0.994315    0.0324589
     0.045      0.99281     0.036464
      0.05     0.991131    0.0404508
     0.055     0.989279    0.0444172
      0.06     0.987254    0.0483613
     0.065     0.985058    0.0522811
      0.07     0.982692    0.0561746
     0.075     0.980156    0.0600399
      0.08     0.977454    0.0638752
     0.085     0.974585    0.0676786
      0.09     0.971551    0.0714482
     0.095     0.968355    0.0751823
       0.1     0.964997    0.0788789
     0.105      0.96148    0.0825365
      0.11     0.957805    0.0861532
     0.115     0.953974    0.0897275
      0.12      0.94999    0.0932575
     0.125     0.945854    0.0967418
      0.13     0.941568     0.100179
     0.135     0.937136     0.103567
      0.14     0.932558     0.106905
     0.145     0.927838      0.11019
      0.15     0.922977     0.113423
     0.155     0.917979     0.116601
      0.16     0.912846     0.119723
     0.165     0.907581     0.122788
      0.17     0.902185     0.125795
     0.175     0.896662     0.128742
      0.18     0.891016     0.131628
     0.185     0.885247     0.134452
      0.19      0.87936     0.137213
     0.195     0.873357     0.139911
       0.2     0.867242     0.142544
     0.205     0.861016     0.145111
      0.21     0.854684     0.147612
     0.215     0.848248     0.150045
      0.22     0.841712      0.15241
     0.225     0.835078     0.154707
      0.23      0.82835     0.156934
     0.235     0.821531     0.159092
      0.24     0.814624     0.161179
     0.245     0.807632     0.163195
      0.25     0.800558      0.16514
     0.255     0.793407     0.167013
      0.26     0.786181     0.168814
     0.265     0.778883     0.170543
      0.27     0.771516     0.172199
     0.275     0.764085     0.173783
      0.28     0.756591     0.175294
     0.285      0.74904     0.176732
      0.29     0.741433     0.178097
     0.295     0.733774      0.17939
       0.3     0.726066      0.18061
     0.305     0.718313     0.181758
      0.31     0.710518     0.182833
     0.315     0.702684     0.183836
      0.32     0.694815     0.184768
     0.325     0.686913     0.185627
      0.33     0.678982     0.186416
     0.335     0.671024     0.187134
      0.34     0.663044     0.187782
     0.345     0.655043      0.18836
      0.35     0.647026     0.188869
     0.355     0.638995     0.189309
      0.36     0.630954     0.189682
     0.365     0.622905     0.189987
      0.37     0.614851     0.190225
     0.375     0.606795     0.190397
      0.38      0.59874     0.190505
     0.385     0.590689     0.190548
      0.39     0.582644     0.190527
     0.395     0.574609     0.190444
       0.4     0.566586     0.190299
     0.405     0.558578     0.190093
      0.41     0.550587     0.189828
     0.415     0.542616     0.189503
      0.42     0.534668     0.189121
     0.425     0.526744     0.188682
      0.43     0.518848     0.188187
     0.435     0.510981     0.187637
      0.44     0.503147     0.187034
     0.445     0.495346     0.186378
      0.45     0.487582      0.18567
     0.455     0.479857     0.184913
      0.46     0.472172     0.184106
     0.465      0.46453     0.183252
      0.47     0.456933      0.18235
     0.475     0.449382     0.181404
      0.48     0.441879     0.180412
     0.485     0.434427     0.179378
      0.49     0.427027     0.178302
     0.495      0.41968     0.177185
       0.5     0.412389     0.176029
     0.505     0.405155     0.174835
      0.51     0.397979     0.173603
     0.515     0.390862     0.172336
      0.52     0.383807     0.171035
     0.525     0.376814     0.169701
      0.53     0.369886     0.168334
     0.535     0.363022     0.166937
      0.54     0.356224      0.16551
     0.545     0.349493     0.164056
      0.55     0.342831     0.162574
     0.555     0.336238     0.161066
      0.56     0.329715     0.159535
     0.565     0.323264     0.157979
      0.57     0.316884     0.156402
     0.575     0.310577     0.154804
      0.58     0.304343     0.153186
     0.585     0.298183     0.151549
      0.59     0.292098     0.149896
     0.595     0.286088     0.148225
       0.6     0.280154      0.14654
     0.605     0.274295     0.144841
      0.61     0.268514     0.143129
     0.615     0.262809     0.141406
      0.62     0.257181     0.139671
     0.625     0.251631     0.137927
      0.63     0.246158     0.136174
     0.635     0.240763     0.134414
      0.64     0.235446     0.132648
     0.645     0.230207     0.130875
      0.65     0.225046     0.129099
     0.655     0.219962     0.127318
      0.66     0.214957     0.125535
     0.665      0.21003      0.12375
      0.67      0.20518     0.121964
     0.675     0.200408     0.120178
      0.68     0.195714     0.118393
     0.685     0.191096      0.11661
      0.69     0.186555     0.114829
     0.695     0.182091     0.113052
       0.7     0.177703     0.111278
     0.705     0.173391      0.10951
      0.71     0.169154     0.107747
     0.715     0.164993      0.10599
      0.72     0.160906      0.10424
     0.725     0.156893     0.102498
      0.73     0.152953     0.100763
     0.735     0.149087    0.0990381
      0.74     0.145293    0.0973223
     0.745     0.141571    0.0956165
      0.75      0.13792    0.0939213
     0.755      0.13434    0.0922373
      0.76      0.13083    0.0905648
     0.765      0.12739    0.0889046
      0.77     0.124018    0.0872569
     0.775     0.120714    0.0856223
      0.78     0.117478    0.0840012
     0.785     0.114308     0.082394
      0.79     0.111204    0.0808011
     0.795     0.108165    0.0792229
       0.8     0.105191    0.0776598
     0.805      0.10228     0.076112
      0.81    0.0994317    0.0745799
     0.815    0.0966455    0.0730638
      0.82    0.0939206     0.071564
     0.825    0.0912561    0.0700807
      0.83    0.0886512    0.0686143
     0.835     0.086105    0.0671648
      0.84    0.0836168    0.0657325
     0.845    0.0811857    0.0643177
      0.85    0.0788108    0.0629204
     0.855    0.0764914    0.0615409
      0.86    0.0742265    0.0601794
     0.865    0.0720154    0.0588358
      0.87    0.0698571    0.0575105
     0.875    0.0677509    0.0562033
      0.88    0.0656959    0.0549146
     0.885    0.0636913    0.0536442
      0.89    0.0617362    0.0523924
     0.895    0.0598297    0.0511591
       0.9    0.0579711    0.0499443
     0.905    0.0561594    0.0487482
      0.91     0.054394    0.0475707
     0.915    0.0526738    0.0464117
      0.92    0.0509981    0.0452714
     0.925    0.0493661    0.0441497
      0.93    0.0477769    0.0430465
     0.935    0.0462298    0.0419618
      0.94    0.0447239    0.0408956
     0.945    0.0432585    0.0398478
      0.95    0.0418326    0.0388183
     0.955    0.0404456    0.0378071
      0.96    0.0390967     0.036814
     0.965    0.0377851     0.035839
      0.97    0.0365099     0.034882
     0.975    0.0352706    0.0339428
      0.98    0.0340662    0.0330214
     0.985    0.0328961    0.0321176
      0.99    0.0317596    0.0312313
     0.995    0.0306558    0.0303624
         1    0.0295841    0.0295107
     1.005    0.0285438    0.0286761
      1.01    0.0275341    0.0278584
     1.015    0.0265545    0.0270575
      1.02    0.0256041    0.0262732
     1.025    0.0246824    0.0255053
      1.03    0.0237886    0.0247538
     1.035    0.0229221    0.0240183
      1.04    0.0220823    0.0232988
     1.045    0.0212685     0.022595
      1.05    0.0204801    0.0219069
     1.055    0.0197165    0.0212341
      1.06    0.0189771    0.0205765
     1.065    0.0182612    0.0199339
      1.07    0.0175684    0.0193062
     1.075    0.0168979    0.0186931
      1.08    0.0162494    0.0180944
     1.085    0.0156221      0.01751
      1.09    0.0150156    0.0169396
     1.095    0.0144292    0.0163831
       1.1    0.0138626    0.0158402
     1.105    0.0133152    0.0153108
      1.11    0.0127864    0.0147946
     1.115    0.0122757    0.0142914
      1.12    0.0117827    0.0138011
     1.125     0.011307    0.0133234
      1.13    0.0108479    0.0128581
     1.135    0.0104051    0.0124051
      1.14   0.00997809    0.0119641
     1.145   0.00956645    0.0115349
      1.15   0.00916974    0.0111173
     1.155   0.00878754    0.0107111
      1.16   0.00841943    0.0103162
     1.165     0.008065   0.00993222
      1.17   0.00772385   0.00955908
     1.175   0.00739559   0.00919656
      1.18   0.00707985   0.00884445
     1.185   0.00677625   0.00850256
      1.19   0.00648443   0.00817068
     1.195   0.00620402   0.00784862
       1.2   0.00593469   0.00753618
     1.205   0.00567609   0.00723318
      1.21   0.00542788   0.00693941
     1.215   0.00518976   0.00665469
      1.22   0.00496139   0.00637883
     1.225   0.00474247   0.00611165
      1.23    0.0045327   0.00585294
     1.235   0.00433179   0.00560253
      1.24   0.00413944   0.00536024
     1.245   0.00395538   0.00512588
      1.25   0.00377934   0.00489927
     1.255   0.00361105   0.00468023
      1.26   0.00345025    0.0044686
     1.265    0.0032967   0.00426418
      1.27   0.00315013   0.00406681
     1.275   0.00301032   0.00387632
      1.28   0.00287704   0.00369253
     1.285   0.00275006   0.00351529
      1.29   0.00262915   0.00334442
     1.295    0.0025141   0.00317976
       1.3   0.00240472   0.00302115
     1.305   0.00230078   0.00286843
      1.31   0.00220211   0.00272143
     1.315   0.00210851   0.00258002
      1.32   0.00201978   0.00244403
     1.325   0.00193577    0.0023133
      1.33   0.00185628    0.0021877
     1.335   0.00178115   0.00206707
      1.34   0.00171023   0.00195128
     1.345   0.00164334   0.00184016
      1.35   0.00158034   0.00173359
     1.355   0.00152107   0.00163143
      1.36    0.0014654   0.00153354
     1.365   0.00141319   0.00143979
      1.37   0.00136429   0.00135004
     1.375   0.00131859   0.00126417
      1.38   0.00127595   0.00118204
     1.385   0.00123625   0.00110354
      1.39   0.00119938   0.00102853
     1.395   0.00116522   0.000956908
       1.4   0.00113366   0.000888544
     1.405    0.0011046   0.000823325
      1.41   0.00107794   0.000761138
     1.415   0.00105358   0.000701871
      1.42   0.00103142   0.000645416
     1.425   0.00101138   0.000591666
      1.43   0.000993368   0.000540515
     1.435   0.000977299   0.000491864
      1.44   0.000963093   0.000445612
     1.445   0.000950674   0.000401661
