#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 4000
#Runtime in seconds    : 13976.810000
#time       real_part      imaginary_part
         0            1            0
     0.005     0.999919   1.07606e-05
      0.01     0.999678   2.15075e-05
     0.015     0.999275   3.22219e-05
      0.02     0.998712   4.28848e-05
     0.025     0.997989   5.34775e-05
      0.03     0.997105   6.3981e-05
     0.035     0.996061   7.43767e-05
      0.04     0.994859   8.46459e-05
     0.045     0.993498   9.47701e-05
      0.05     0.991979   0.000104731
     0.055     0.990303   0.000114511
      0.06      0.98847   0.000124091
     0.065     0.986482   0.000133455
      0.07      0.98434   0.000142585
     0.075     0.982044   0.000151464
      0.08     0.979596   0.000160076
     0.085     0.976997   0.000168404
      0.09     0.974248   0.000176433
     0.095     0.971351   0.000184147
       0.1     0.968306   0.000191533
     0.105     0.965116   0.000198575
      0.11     0.961781   0.000205259
     0.115     0.958304   0.000211573
      0.12     0.954687   0.000217504
     0.125      0.95093   0.00022304
      0.13     0.947035   0.000228169
     0.135     0.943005   0.00023288
      0.14     0.938842   0.000237163
     0.145     0.934547   0.000241009
      0.15     0.930122   0.000244408
     0.155      0.92557   0.000247353
      0.16     0.920892   0.000249834
     0.165     0.916091   0.000251846
      0.17     0.911168   0.000253382
     0.175     0.906127   0.000254437
      0.18      0.90097   0.000255005
     0.185     0.895698   0.000255081
      0.19     0.890315   0.000254664
     0.195     0.884822   0.000253748
       0.2     0.879222   0.000252332
     0.205     0.873518   0.000250415
      0.21     0.867713   0.000247996
     0.215     0.861808   0.000245073
      0.22     0.855806   0.000241648
     0.225      0.84971   0.00023772
      0.23     0.843523   0.000233293
     0.235     0.837248   0.000228368
      0.24     0.830886   0.000222947
     0.245     0.824441   0.000217034
      0.25     0.817916   0.000210634
     0.255     0.811313   0.00020375
      0.26     0.804635   0.000196387
     0.265     0.797885   0.000188551
      0.27     0.791065   0.000180249
     0.275     0.784179   0.000171486
      0.28      0.77723   0.00016227
     0.285     0.770219   0.000152608
      0.29      0.76315   0.000142509
     0.295     0.756026   0.000131979
       0.3     0.748849   0.00012103
     0.305     0.741623   0.000109669
      0.31      0.73435   9.79061e-05
     0.315     0.727032   8.57514e-05
      0.32     0.719674   7.32151e-05
     0.325     0.712277   6.03078e-05
      0.33     0.704845   4.70404e-05
     0.335     0.697379   3.34242e-05
      0.34     0.689884   1.94706e-05
     0.345     0.682361   5.19131e-06
      0.35     0.674813   -9.40166e-06
     0.355     0.667243   -2.42961e-05
      0.36     0.659654   -3.94797e-05
     0.365     0.652048   -5.49397e-05
      0.37     0.644429   -7.06635e-05
     0.375     0.636797   -8.66381e-05
      0.38     0.629157   -0.00010285
     0.385     0.621511   -0.000119287
      0.39     0.613861   -0.000135935
     0.395     0.606209   -0.000152781
       0.4     0.598559   -0.000169811
     0.405     0.590912   -0.000187012
      0.41     0.583271   -0.00020437
     0.415     0.575639   -0.000221871
      0.42     0.568017   -0.000239502
     0.425     0.560408   -0.000257249
      0.43     0.552814   -0.000275098
     0.435     0.545238   -0.000293035
      0.44     0.537681   -0.000311047
     0.445     0.530146   -0.00032912
      0.45     0.522634   -0.00034724
     0.455     0.515148   -0.000365394
      0.46      0.50769   -0.000383568
     0.465     0.500262   -0.000401748
      0.47     0.492865   -0.000419921
     0.475     0.485502   -0.000438074
      0.48     0.478175   -0.000456193
     0.485     0.470884   -0.000474266
      0.49     0.463632   -0.000492279
     0.495     0.456421   -0.000510219
       0.5     0.449251   -0.000528074
     0.505     0.442126   -0.000545831
      0.51     0.435046   -0.000563477
     0.515     0.428012   -0.000581001
      0.52     0.421027   -0.000598389
     0.525     0.414091   -0.000615631
      0.53     0.407207   -0.000632715
     0.535     0.400374   -0.000649628
      0.54     0.393596   -0.00066636
     0.545     0.386871   -0.0006829
      0.55     0.380203   -0.000699236
     0.555     0.373592   -0.000715359
      0.56     0.367039   -0.000731257
     0.565     0.360545   -0.000746921
      0.57     0.354111   -0.00076234
     0.575     0.347738   -0.000777506
      0.58     0.341427   -0.000792408
     0.585     0.335179   -0.000807039
      0.59     0.328994   -0.000821388
     0.595     0.322873   -0.000835449
       0.6     0.316818   -0.000849212
     0.605     0.310828   -0.00086267
      0.61     0.304904   -0.000875816
     0.615     0.299047   -0.000888643
      0.62     0.293257   -0.000901143
     0.625     0.287535   -0.000913311
      0.63     0.281882   -0.00092514
     0.635     0.276297   -0.000936625
      0.64     0.270781   -0.00094776
     0.645     0.265334   -0.000958541
      0.65     0.259957   -0.000968963
     0.655      0.25465   -0.000979022
      0.66     0.249413   -0.000988715
     0.665     0.244246   -0.000998037
      0.67     0.239149   -0.00100699
     0.675     0.234123   -0.00101556
      0.68     0.229168   -0.00102375
     0.685     0.224283   -0.00103157
      0.69     0.219468   -0.00103901
     0.695     0.214725   -0.00104606
       0.7     0.210051   -0.00105273
     0.705     0.205448   -0.00105902
      0.71     0.200915   -0.00106493
     0.715     0.196452   -0.00107045
      0.72     0.192059   -0.0010756
     0.725     0.187736   -0.00108036
