# Frequency w         I(w)
1.000000       -0.00000000385614992862
1.000100       -0.00000000383378680195
1.000200       -0.00000000381155016990
1.000300       -0.00000000378943904227
1.000400       -0.00000000376745303747
1.000500       -0.00000000374559099624
1.000600       -0.00000000372385303451
1.000700       -0.00000000370223785776
1.000800       -0.00000000368074472215
1.000900       -0.00000000365937355522
1.001000       -0.00000000363812309626
1.001100       -0.00000000361699278498
1.001200       -0.00000000359598208038
1.001300       -0.00000000357509036903
1.001400       -0.00000000355431684426
1.001500       -0.00000000353366088781
1.001600       -0.00000000351312204081
1.001700       -0.00000000349269961735
1.001800       -0.00000000347239263207
1.001900       -0.00000000345220094489
1.002000       -0.00000000343212354146
1.002100       -0.00000000341216008366
1.002200       -0.00000000339230972136
1.002300       -0.00000000337257183629
1.002400       -0.00000000335294575223
1.002500       -0.00000000333343119383
1.002600       -0.00000000331402711295
1.002700       -0.00000000329473324390
1.002800       -0.00000000327554871243
1.002900       -0.00000000325647328668
1.003000       -0.00000000323750581704
1.003100       -0.00000000321864625522
1.003200       -0.00000000319989359653
1.003300       -0.00000000318124786027
1.003400       -0.00000000316270744282
1.003500       -0.00000000314427267262
1.003600       -0.00000000312594247737
1.003700       -0.00000000310771638852
1.003800       -0.00000000308959397619
1.003900       -0.00000000307157456897
1.004000       -0.00000000305365765968
1.004100       -0.00000000303584221465
1.004200       -0.00000000301812853335
1.004300       -0.00000000300051552416
1.004400       -0.00000000298300258328
1.004500       -0.00000000296558920355
1.004600       -0.00000000294827523521
1.004700       -0.00000000293105950936
1.004800       -0.00000000291394198735
1.004900       -0.00000000289692167414
1.005000       -0.00000000287999832824
1.005100       -0.00000000286317121060
1.005200       -0.00000000284644027292
1.005300       -0.00000000282980440908
1.005400       -0.00000000281326345002
1.005500       -0.00000000279681667604
1.005600       -0.00000000278046375383
1.005700       -0.00000000276420392989
1.005800       -0.00000000274803642655
1.005900       -0.00000000273196151429
1.006000       -0.00000000271597825122
1.006100       -0.00000000270008590797
1.006200       -0.00000000268428448454
1.006300       -0.00000000266857325640
1.006400       -0.00000000265295133960
1.006500       -0.00000000263741880661
1.006600       -0.00000000262197492322
1.006700       -0.00000000260661937546
1.006800       -0.00000000259135134220
1.006900       -0.00000000257617047083
1.007000       -0.00000000256107611408
1.007100       -0.00000000254606820435
1.007200       -0.00000000253114603157
1.007300       -0.00000000251630901613
1.007400       -0.00000000250155672813
1.007500       -0.00000000248688912409
1.007600       -0.00000000247230499163
1.007700       -0.00000000245780438387
1.007800       -0.00000000244338670670
1.007900       -0.00000000242905181037
1.008000       -0.00000000241479850183
1.008100       -0.00000000240062665547
1.008200       -0.00000000238653631477
1.008300       -0.00000000237252622870
1.008400       -0.00000000235859642623
1.008500       -0.00000000234474647265
1.008600       -0.00000000233097591391
1.008700       -0.00000000231728376947
1.008800       -0.00000000230367031949
1.008900       -0.00000000229013504713
