# Frequency w         I(w)
1.500000       -0.00000000000000011150
1.500100       -0.00000000000000017415
1.500200       -0.00000000000000022403
1.500300       -0.00000000000000020705
1.500400       -0.00000000000000008460
1.500500       -0.00000000000000023542
1.500600       -0.00000000000000028080
1.500700       -0.00000000000000019758
1.500800       -0.00000000000000002443
1.500900       -0.00000000000000019418
1.501000       -0.00000000000000026631
1.501100       -0.00000000000000007077
1.501200       -0.00000000000000031094
1.501300       -0.00000000000000017526
1.501400       -0.00000000000000007339
1.501500       -0.00000000000000033770
1.501600       -0.00000000000000017208
1.501700       -0.00000000000000016397
1.501800       -0.00000000000000023606
1.501900       -0.00000000000000011013
1.502000       -0.00000000000000014170
1.502100       -0.00000000000000021485
1.502200       -0.00000000000000027546
1.502300       -0.00000000000000007621
1.502400       -0.00000000000000013493
1.502500       -0.00000000000000029706
1.502600       -0.00000000000000014519
1.502700       -0.00000000000000008124
1.502800       -0.00000000000000018250
1.502900       -0.00000000000000025572
1.503000       -0.00000000000000020042
1.503100       -0.00000000000000009386
1.503200       -0.00000000000000017564
1.503300       -0.00000000000000026025
1.503400       -0.00000000000000011578
1.503500       -0.00000000000000034511
1.503600       -0.00000000000000019074
1.503700       -0.00000000000000006230
1.503800       -0.00000000000000040034
1.503900       -0.00000000000000012273
1.504000       -0.00000000000000019561
1.504100       -0.00000000000000011656
1.504200       -0.00000000000000016378
1.504300       -0.00000000000000022906
1.504400       -0.00000000000000013457
1.504500       -0.00000000000000032086
1.504600       -0.00000000000000011545
1.504700       -0.00000000000000018303
1.504800       -0.00000000000000035350
1.504900       -0.00000000000000017854
1.505000       -0.00000000000000016052
1.505100       -0.00000000000000010615
1.505200       -0.00000000000000027047
1.505300       -0.00000000000000018968
1.505400       -0.00000000000000008016
1.505500       -0.00000000000000016601
1.505600       -0.00000000000000026942
1.505700       -0.00000000000000015073
1.505800       -0.00000000000000030456
1.505900       -0.00000000000000019756
1.506000       -0.00000000000000010020
1.506100       -0.00000000000000025203
1.506200       -0.00000000000000008104
1.506300       -0.00000000000000025190
1.506400       -0.00000000000000013848
1.506500       -0.00000000000000018903
1.506600       -0.00000000000000024891
1.506700       -0.00000000000000031033
1.506800       -0.00000000000000022639
1.506900       -0.00000000000000008205
1.507000       -0.00000000000000018642
1.507100       -0.00000000000000027665
1.507200       -0.00000000000000015173
1.507300       -0.00000000000000011303
