# Temperature (K)   WidthQM_E17(eV)   FreqShiftQM_E17(eV)
1.000000     0.049628     2.194215
2.000000     0.049628     2.194215
5.000000     0.049628     2.194215
10.000000     0.049628     2.194215
15.000000     0.049628     2.194215
20.000000     0.051696     2.194215
30.000000     0.051696     2.192147
40.000000     0.055832     2.192147
50.000000     0.057899     2.190079
100.000000     0.074442     2.188011
150.000000     0.088917     2.188011
200.000000     0.101324     2.188011
250.000000     0.111663     2.188011
300.000000     0.122002     2.185943
350.000000     0.132341     2.185943
400.000000     0.140613     2.185943
