# Time    F_t_Re (QM_E17)      F_t_Im (QM_E17)       F_t_Re_erf       F_t_Im_erf  
0.00000000000000000000        1.000000        0.000000         0.998141         0.000015     
0.00000000000000100000        0.998371        -0.029287         0.996513         -0.029272     
0.00000000000000200000        0.993503        -0.058316         0.991644         -0.058301     
0.00000000000000300000        0.985447        -0.086832         0.983588         -0.086817     
0.00000000000000400000        0.974289        -0.114590         0.972430         -0.114575     
0.00000000000000500000        0.960146        -0.141356         0.958287         -0.141341     
0.00000000000000600000        0.943166        -0.166912         0.941308         -0.166898     
0.00000000000000700000        0.923524        -0.191060         0.921665         -0.191045     
0.00000000000000800000        0.901417        -0.213622         0.899558         -0.213607     
0.00000000000000900000        0.877064        -0.234444         0.875205         -0.234429     
0.00000000000001000000        0.850700        -0.253399         0.848841         -0.253385     
0.00000000000001100000        0.822572        -0.270387         0.820713         -0.270373     
0.00000000000001200000        0.792936        -0.285334         0.791078         -0.285319     
0.00000000000001300000        0.762053        -0.298194         0.760195         -0.298180     
0.00000000000001400000        0.730183        -0.308948         0.728324         -0.308934     
0.00000000000001500000        0.697583        -0.317603         0.695725         -0.317588     
0.00000000000001600000        0.664504        -0.324189         0.662646         -0.324175     
0.00000000000001700000        0.631187        -0.328761         0.629329         -0.328747     
0.00000000000001800000        0.597860        -0.331392         0.596002         -0.331378     
0.00000000000001900000        0.564736        -0.332174         0.562878         -0.332160     
0.00000000000002000000        0.532012        -0.331214         0.530153         -0.331200     
0.00000000000002100000        0.499865        -0.328632         0.498007         -0.328618     
0.00000000000002200000        0.468455        -0.324558         0.466597         -0.324543     
0.00000000000002300000        0.437921        -0.319128         0.436063         -0.319113     
0.00000000000002400000        0.408382        -0.312483         0.406524         -0.312468     
0.00000000000002500000        0.379937        -0.304768         0.378079         -0.304753     
0.00000000000002600000        0.352667        -0.296125         0.350808         -0.296111     
0.00000000000002700000        0.326632        -0.286697         0.324773         -0.286683     
0.00000000000002800000        0.301876        -0.276621         0.300018         -0.276606     
0.00000000000002900000        0.278428        -0.266028         0.276569         -0.266013     
0.00000000000003000000        0.256299        -0.255044         0.254441         -0.255029     
0.00000000000003100000        0.235490        -0.243785         0.233632         -0.243771     
0.00000000000003200000        0.215987        -0.232361         0.214129         -0.232346     
0.00000000000003300000        0.197767        -0.220870         0.195909         -0.220855     
0.00000000000003400000        0.180798        -0.209402         0.178940         -0.209388     
0.00000000000003500000        0.165041        -0.198038         0.163182         -0.198023     
0.00000000000003600000        0.150449        -0.186847         0.148591         -0.186832     
0.00000000000003700000        0.136973        -0.175890         0.135114         -0.175875     
0.00000000000003800000        0.124558        -0.165219         0.122699         -0.165204     
0.00000000000003900000        0.113147        -0.154877         0.111289         -0.154862     
0.00000000000004000000        0.102684        -0.144899         0.100826         -0.144884     
0.00000000000004100000        0.093110        -0.135312         0.091252         -0.135298     
0.00000000000004200000        0.084367        -0.126137         0.082508         -0.126123     
0.00000000000004300000        0.076396        -0.117388         0.074538         -0.117374     
0.00000000000004400000        0.069143        -0.109073         0.067285         -0.109058     
0.00000000000004500000        0.062554        -0.101196         0.060695         -0.101181     
0.00000000000004600000        0.056575        -0.093754         0.054717         -0.093740     
0.00000000000004700000        0.051158        -0.086745         0.049300         -0.086730     
0.00000000000004800000        0.046256        -0.080160         0.044398         -0.080145     
0.00000000000004900000        0.041825        -0.073987         0.039966         -0.073973     
0.00000000000005000000        0.037822        -0.068215         0.035964         -0.068201     
0.00000000000005100000        0.034210        -0.062830         0.032352         -0.062815     
0.00000000000005200000        0.030953        -0.057814         0.029094         -0.057799     
0.00000000000005300000        0.028016        -0.053152         0.026158         -0.053137     
0.00000000000005400000        0.025371        -0.048826         0.023512         -0.048812     
0.00000000000005500000        0.022988        -0.044819         0.021129         -0.044804     
0.00000000000005600000        0.020842        -0.041112         0.018984         -0.041098     
0.00000000000005700000        0.018910        -0.037689         0.017051         -0.037674     
0.00000000000005800000        0.017170        -0.034531         0.015311         -0.034516     
0.00000000000005900000        0.015603        -0.031622         0.013744         -0.031607     
0.00000000000006000000        0.014191        -0.028945         0.012332         -0.028930     
0.00000000000006100000        0.012918        -0.026484         0.011060         -0.026469     
0.00000000000006200000        0.011771        -0.024224         0.009912         -0.024209     
0.00000000000006300000        0.010736        -0.022150         0.008877         -0.022135     
0.00000000000006400000        0.009802        -0.020249         0.007943         -0.020234     
0.00000000000006500000        0.008958        -0.018507         0.007099         -0.018492     
0.00000000000006600000        0.008195        -0.016913         0.006337         -0.016898     
0.00000000000006700000        0.007505        -0.015454         0.005647         -0.015439     
0.00000000000006800000        0.006880        -0.014120         0.005022         -0.014105     
0.00000000000006900000        0.006314        -0.012901         0.004455         -0.012886     
0.00000000000007000000        0.005800        -0.011787         0.003942         -0.011772     
0.00000000000007100000        0.005334        -0.010770         0.003475         -0.010755     
0.00000000000007200000        0.004910        -0.009841         0.003051         -0.009826     
0.00000000000007300000        0.004524        -0.008993         0.002665         -0.008979     
0.00000000000007400000        0.004172        -0.008220         0.002314         -0.008205     
0.00000000000007500000        0.003852        -0.007514         0.001993         -0.007500     
0.00000000000007600000        0.003559        -0.006871         0.001700         -0.006856     
0.00000000000007700000        0.003291        -0.006284         0.001433         -0.006269     
0.00000000000007800000        0.003047        -0.005748         0.001188         -0.005734     
0.00000000000007900000        0.002823        -0.005260         0.000964         -0.005245     
0.00000000000008000000        0.002617        -0.004815         0.000759         -0.004800     
0.00000000000008100000        0.002429        -0.004408         0.000570         -0.004394     
0.00000000000008200000        0.002256        -0.004038         0.000397         -0.004023     
0.00000000000008300000        0.002097        -0.003700         0.000238         -0.003685     
0.00000000000008400000        0.001950        -0.003391         0.000091         -0.003377     
0.00000000000008500000        0.001815        -0.003110         -0.000044         -0.003095     
0.00000000000008600000        0.001691        -0.002853         -0.000168         -0.002838     
0.00000000000008700000        0.001576        -0.002619         -0.000283         -0.002604     
