# Frequency w         I(w)
1.500000       -0.00000434387582216617
1.500100       -0.00000434448108855724
1.500200       -0.00000434508653383060
1.500300       -0.00000434569216542360
1.500400       -0.00000434629798085000
1.500500       -0.00000434690398733142
1.500600       -0.00000434751017222260
1.500700       -0.00000434811654277674
1.500800       -0.00000434872310139792
1.500900       -0.00000434932984547341
1.501000       -0.00000434993677868253
1.501100       -0.00000435054389121304
1.501200       -0.00000435115119011839
1.501300       -0.00000435175867922538
1.501400       -0.00000435236635079236
1.501500       -0.00000435297420908829
1.501600       -0.00000435358225364558
1.501700       -0.00000435419048378692
1.501800       -0.00000435479890266215
1.501900       -0.00000435540750504303
1.502000       -0.00000435601629503854
1.502100       -0.00000435662527203997
1.502200       -0.00000435723443329248
1.502300       -0.00000435784378321741
1.502400       -0.00000435845332144018
1.502500       -0.00000435906306205714
1.502600       -0.00000435967295224261
1.502700       -0.00000436028304923848
1.502800       -0.00000436089333208193
1.502900       -0.00000436150380283380
1.503000       -0.00000436211446091786
1.503100       -0.00000436272530514031
1.503200       -0.00000436333633934732
1.503300       -0.00000436394755825895
1.503400       -0.00000436455896628713
1.503500       -0.00000436517055810198
1.503600       -0.00000436578234153151
1.503700       -0.00000436639431070773
1.503800       -0.00000436700646980731
1.503900       -0.00000436761881402695
1.504000       -0.00000436823134977192
1.504100       -0.00000436884406907104
1.504200       -0.00000436945697728885
1.504300       -0.00000437007007656878
1.504400       -0.00000437068336318545
1.504500       -0.00000437129683677172
1.504600       -0.00000437191050068818
1.504700       -0.00000437252434914974
1.504800       -0.00000437313838788268
1.504900       -0.00000437375261481899
1.505000       -0.00000437436703294817
1.505100       -0.00000437498164023559
1.505200       -0.00000437559643523328
1.505300       -0.00000437621141656401
1.505400       -0.00000437682658969008
1.505500       -0.00000437744194811284
1.505600       -0.00000437805750110369
1.505700       -0.00000437867324198203
1.505800       -0.00000437928917228250
1.505900       -0.00000437990528838802
1.506000       -0.00000438052159670238
1.506100       -0.00000438113809413040
1.506200       -0.00000438175478262856
1.506300       -0.00000438237166167575
1.506400       -0.00000438298872506838
1.506500       -0.00000438360598430768
1.506600       -0.00000438422343023775
1.506700       -0.00000438484106961762
1.506800       -0.00000438545889085778
1.506900       -0.00000438607691041717
1.507000       -0.00000438669511942613
1.507100       -0.00000438731351422941
1.507200       -0.00000438793210262328
1.507300       -0.00000438855088172892
1.507400       -0.00000438916985015020
1.507500       -0.00000438978901036617
1.507600       -0.00000439040836155926
1.507700       -0.00000439102790265677
1.507800       -0.00000439164763264183
1.507900       -0.00000439226755644717
1.508000       -0.00000439288767210561
1.508100       -0.00000439350797573064
1.508200       -0.00000439412847459719
1.508300       -0.00000439474916122297
1.508400       -0.00000439537004340808
1.508500       -0.00000439599111047595
1.508600       -0.00000439661237481213
1.508700       -0.00000439723382742072
1.508800       -0.00000439785547292046
1.508900       -0.00000439847731133472
1.509000       -0.00000439909933904066
1.509100       -0.00000439972156136472
1.509200       -0.00000440034397159293
1.509300       -0.00000440096657855826
1.509400       -0.00000440158938146875
1.509500       -0.00000440221236531143
1.509600       -0.00000440283554984470
1.509700       -0.00000440345892342998
1.509800       -0.00000440408249171635
1.509900       -0.00000440470625065193
1.510000       -0.00000440533020238290
1.510100       -0.00000440595434565281
1.510200       -0.00000440657868191830
1.510300       -0.00000440720321648922
1.510400       -0.00000440782793978334
1.510500       -0.00000440845285576210
1.510600       -0.00000440907796678235
1.510700       -0.00000440970327009917
1.510800       -0.00000441032876609799
1.510900       -0.00000441095445612372
1.511000       -0.00000441158033857026
1.511100       -0.00000441220641540862
1.511200       -0.00000441283269060512
1.511300       -0.00000441345915036151
1.511400       -0.00000441408580709372
1.511500       -0.00000441471265742477
1.511600       -0.00000441533970470802
1.511700       -0.00000441596694445436
1.511800       -0.00000441659437944742
1.511900       -0.00000441722200557030
1.512000       -0.00000441784982782296
1.512100       -0.00000441847784692251
1.512200       -0.00000441910605475602
1.512300       -0.00000441973446689695
1.512400       -0.00000442036306333241
1.512500       -0.00000442099185769542
1.512600       -0.00000442162084622216
1.512700       -0.00000442225003200078
1.512800       -0.00000442287941202728
1.512900       -0.00000442350898622042
1.513000       -0.00000442413875361674
1.513100       -0.00000442476872020451
1.513200       -0.00000442539887979881
1.513300       -0.00000442602923812618
1.513400       -0.00000442665978614801
1.513500       -0.00000442729053366406
1.513600       -0.00000442792147440489
1.513700       -0.00000442855261445631
1.513800       -0.00000442918394685889
1.513900       -0.00000442981547534607
1.514000       -0.00000443044719865200
1.514100       -0.00000443107911752619
1.514200       -0.00000443171123816138
1.514300       -0.00000443234354995827
1.514400       -0.00000443297605856547
1.514500       -0.00000443360876817514
1.514600       -0.00000443424167048954
1.514700       -0.00000443487476867736
1.514800       -0.00000443550806510366
1.514900       -0.00000443614156137816
1.515000       -0.00000443677524726424
1.515100       -0.00000443740913143807
1.515200       -0.00000443804321407725
1.515300       -0.00000443867749311266
1.515400       -0.00000443931196930534
1.515500       -0.00000443994664489971
1.515600       -0.00000444058151609278
1.515700       -0.00000444121658357728
1.515800       -0.00000444185184806201
1.515900       -0.00000444248731314552
1.516000       -0.00000444312297251803
1.516100       -0.00000444375883193314
1.516200       -0.00000444439488784481
1.516300       -0.00000444503114066849
1.516400       -0.00000444566759548479
1.516500       -0.00000444630424542342
1.516600       -0.00000444694108976584
1.516700       -0.00000444757813837626
1.516800       -0.00000444821538235327
1.516900       -0.00000444885282373426
1.517000       -0.00000444949046624885
1.517100       -0.00000445012830197641
1.517200       -0.00000445076634413534
1.517300       -0.00000445140457976016
1.517400       -0.00000445204301555018
1.517500       -0.00000445268165199798
1.517600       -0.00000445332048489738
1.517700       -0.00000445395951631153
1.517800       -0.00000445459874892623
1.517900       -0.00000445523817953380
1.518000       -0.00000445587781074029
1.518100       -0.00000445651764377655
1.518200       -0.00000445715766972695
1.518300       -0.00000445779789540902
1.518400       -0.00000445843832475407
1.518500       -0.00000445907895110873
1.518600       -0.00000445971977546538
1.518700       -0.00000446036080859233
1.518800       -0.00000446100203407183
1.518900       -0.00000446164345917701
1.519000       -0.00000446228508662004
1.519100       -0.00000446292691366946
1.519200       -0.00000446356894165439
1.519300       -0.00000446421116955299
1.519400       -0.00000446485359673859
1.519500       -0.00000446549622698622
1.519600       -0.00000446613906695763
1.519700       -0.00000446678208722160
1.519800       -0.00000446742531857158
1.519900       -0.00000446806874988110
1.520000       -0.00000446871238312909
1.520100       -0.00000446935621496224
1.520200       -0.00000447000025335486
1.520300       -0.00000447064448705943
1.520400       -0.00000447128892623108
1.520500       -0.00000447193356460626
1.520600       -0.00000447257840438368
1.520700       -0.00000447322344588947
1.520800       -0.00000447386869125145
1.520900       -0.00000447451413407824
1.521000       -0.00000447515978258729
1.521100       -0.00000447580563272055
1.521200       -0.00000447645168429182
1.521300       -0.00000447709793643044
1.521400       -0.00000447774439171412
1.521500       -0.00000447839104890925
1.521600       -0.00000447903790917720
1.521700       -0.00000447968497068651
1.521800       -0.00000448033223610695
1.521900       -0.00000448097970349494
1.522000       -0.00000448162737382962
1.522100       -0.00000448227524718867
1.522200       -0.00000448292332109456
1.522300       -0.00000448357160313412
1.522400       -0.00000448422007815714
1.522500       -0.00000448486876594377
1.522600       -0.00000448551765434297
1.522700       -0.00000448616674673244
1.522800       -0.00000448681603972202
1.522900       -0.00000448746553977575
1.523000       -0.00000448811524062878
1.523100       -0.00000448876514366690
1.523200       -0.00000448941525291842
1.523300       -0.00000449006556784479
1.523400       -0.00000449071608402898
1.523500       -0.00000449136680404913
1.523600       -0.00000449201772878495
1.523700       -0.00000449266886087204
1.523800       -0.00000449332019130132
1.523900       -0.00000449397172654731
1.524000       -0.00000449462346705348
1.524100       -0.00000449527541506500
1.524200       -0.00000449592756657186
1.524300       -0.00000449657992248671
1.524400       -0.00000449723248170999
1.524500       -0.00000449788524642934
1.524600       -0.00000449853821808010
1.524700       -0.00000449919139225947
1.524800       -0.00000449984477018469
1.524900       -0.00000450049835835810
1.525000       -0.00000450115215043550
1.525100       -0.00000450180614738010
1.525200       -0.00000450246034790246
1.525300       -0.00000450311475625836
1.525400       -0.00000450376936643496
1.525500       -0.00000450442418552449
1.525600       -0.00000450507920890082
1.525700       -0.00000450573444044948
1.525800       -0.00000450638987584074
1.525900       -0.00000450704551881284
1.526000       -0.00000450770136564086
1.526100       -0.00000450835742204943
1.526200       -0.00000450901368368023
1.526300       -0.00000450967014996143
1.526400       -0.00000451032682589130
1.526500       -0.00000451098370846361
1.526600       -0.00000451164079347857
1.526700       -0.00000451229809005365
1.526800       -0.00000451295558867718
1.526900       -0.00000451361329702511
1.527000       -0.00000451427121568692
1.527100       -0.00000451492933807987
1.527200       -0.00000451558766439389
1.527300       -0.00000451624620212221
1.527400       -0.00000451690494921921
1.527500       -0.00000451756389815281
1.527600       -0.00000451822305952111
1.527700       -0.00000451888242515394
1.527800       -0.00000451954200064837
1.527900       -0.00000452020178333550
1.528000       -0.00000452086177592863
1.528100       -0.00000452152197357411
1.528200       -0.00000452218237970052
1.528300       -0.00000452284299581807
1.528400       -0.00000452350381666133
1.528500       -0.00000452416485081212
1.528600       -0.00000452482609382053
1.528700       -0.00000452548754117821
1.528800       -0.00000452614919903157
1.528900       -0.00000452681106795758
1.529000       -0.00000452747314091988
1.529100       -0.00000452813542616477
1.529200       -0.00000452879791855365
1.529300       -0.00000452946062056996
1.529400       -0.00000453012353391465
1.529500       -0.00000453078665492490
1.529600       -0.00000453144998706714
1.529700       -0.00000453211352541328
1.529800       -0.00000453277727118534
1.529900       -0.00000453344123341208
1.530000       -0.00000453410540567529
1.530100       -0.00000453476978415497
1.530200       -0.00000453543437230803
1.530300       -0.00000453609916970799
1.530400       -0.00000453676418100838
1.530500       -0.00000453742939837584
1.530600       -0.00000453809482929793
1.530700       -0.00000453876046910210
1.530800       -0.00000453942631962792
1.530900       -0.00000454009238195706
1.531000       -0.00000454075864839528
1.531100       -0.00000454142513515024
1.531200       -0.00000454209182957303
1.531300       -0.00000454275873377287
1.531400       -0.00000454342584960165
1.531500       -0.00000454409317429621
1.531600       -0.00000454476071147518
1.531700       -0.00000454542846385725
1.531800       -0.00000454609642458321
1.531900       -0.00000454676459721197
1.532000       -0.00000454743298191798
1.532100       -0.00000454810157319505
1.532200       -0.00000454877038460631
1.532300       -0.00000454943940161684
1.532400       -0.00000455010863318381
1.532500       -0.00000455077807711794
1.532600       -0.00000455144772551831
1.532700       -0.00000455211759734859
1.532800       -0.00000455278768105624
1.532900       -0.00000455345796999530
1.533000       -0.00000455412847572834
1.533100       -0.00000455479919229922
1.533200       -0.00000455547012464388
1.533300       -0.00000455614126827149
1.533400       -0.00000455681262274199
1.533500       -0.00000455748419084096
1.533600       -0.00000455815597232893
1.533700       -0.00000455882797028382
1.533800       -0.00000455950017517371
1.533900       -0.00000456017259823961
1.534000       -0.00000456084523595968
1.534100       -0.00000456151808592957
1.534200       -0.00000456219114588331
1.534300       -0.00000456286441961833
1.534400       -0.00000456353790962569
1.534500       -0.00000456421161340613
1.534600       -0.00000456488553222135
1.534700       -0.00000456555971373106
1.534800       -0.00000456623401044302
1.534900       -0.00000456690857221872
1.535000       -0.00000456758334173040
1.535100       -0.00000456825833708597
1.535200       -0.00000456893354081028
1.535300       -0.00000456960895775820
1.535400       -0.00000457028459165326
1.535500       -0.00000457096043820205
1.535600       -0.00000457163650100848
1.535700       -0.00000457231278023782
1.535800       -0.00000457298927516007
1.535900       -0.00000457366598256451
