# Time    F_t_Re (QM_E17)      F_t_Im (QM_E17)       F_t_Re_erf       F_t_Im_erf  
0.00000000000000000000        1.000000        0.000000         0.999989         -0.000012     
0.00000000000000010000        0.999967        -0.007460         0.999956         -0.007472     
0.00000000000000020000        0.999868        -0.014919         0.999857         -0.014931     
0.00000000000000030000        0.999703        -0.022377         0.999691         -0.022389     
0.00000000000000040000        0.999471        -0.029833         0.999460         -0.029844     
0.00000000000000050000        0.999174        -0.037286         0.999163         -0.037297     
0.00000000000000060000        0.998811        -0.044735         0.998800         -0.044747     
0.00000000000000070000        0.998382        -0.052181         0.998370         -0.052193     
0.00000000000000080000        0.997887        -0.059622         0.997875         -0.059634     
0.00000000000000090000        0.997326        -0.067058         0.997314         -0.067069     
0.00000000000000100000        0.996699        -0.074487         0.996688         -0.074499     
0.00000000000000110000        0.996007        -0.081910         0.995995         -0.081922     
0.00000000000000120000        0.995249        -0.089325         0.995237         -0.089337     
0.00000000000000130000        0.994425        -0.096733         0.994414         -0.096744     
0.00000000000000140000        0.993536        -0.104131         0.993525         -0.104143     
0.00000000000000150000        0.992582        -0.111520         0.992571         -0.111532     
0.00000000000000160000        0.991562        -0.118900         0.991551         -0.118911     
0.00000000000000170000        0.990478        -0.126268         0.990467         -0.126280     
0.00000000000000180000        0.989328        -0.133625         0.989317         -0.133637     
0.00000000000000190000        0.988114        -0.140970         0.988103         -0.140982     
0.00000000000000200000        0.986835        -0.148303         0.986824         -0.148314     
0.00000000000000210000        0.985491        -0.155622         0.985480         -0.155633     
0.00000000000000220000        0.984083        -0.162927         0.984072         -0.162938     
0.00000000000000230000        0.982611        -0.170217         0.982600         -0.170229     
0.00000000000000240000        0.981075        -0.177492         0.981063         -0.177504     
0.00000000000000250000        0.979475        -0.184751         0.979463         -0.184763     
0.00000000000000260000        0.977811        -0.191994         0.977799         -0.192006     
0.00000000000000270000        0.976083        -0.199219         0.976072         -0.199231     
0.00000000000000280000        0.974293        -0.206427         0.974281         -0.206438     
0.00000000000000290000        0.972439        -0.213615         0.972428         -0.213627     
0.00000000000000300000        0.970522        -0.220785         0.970511         -0.220797     
0.00000000000000310000        0.968543        -0.227935         0.968532         -0.227947     
0.00000000000000320000        0.966502        -0.235065         0.966490         -0.235077     
0.00000000000000330000        0.964398        -0.242173         0.964387         -0.242185     
0.00000000000000340000        0.962232        -0.249260         0.962221         -0.249272     
0.00000000000000350000        0.960005        -0.256325         0.959993         -0.256337     
0.00000000000000360000        0.957716        -0.263367         0.957705         -0.263378     
0.00000000000000370000        0.955366        -0.270385         0.955355         -0.270397     
0.00000000000000380000        0.952955        -0.277379         0.952944         -0.277391     
0.00000000000000390000        0.950483        -0.284348         0.950472         -0.284360     
0.00000000000000400000        0.947952        -0.291292         0.947940         -0.291304     
0.00000000000000410000        0.945360        -0.298211         0.945348         -0.298222     
0.00000000000000420000        0.942708        -0.305102         0.942697         -0.305114     
0.00000000000000430000        0.939997        -0.311967         0.939986         -0.311979     
0.00000000000000440000        0.937227        -0.318804         0.937216         -0.318815     
0.00000000000000450000        0.934398        -0.325612         0.934387         -0.325624     
0.00000000000000460000        0.931511        -0.332392         0.931499         -0.332404     
0.00000000000000470000        0.928565        -0.339142         0.928554         -0.339154     
0.00000000000000480000        0.925562        -0.345863         0.925551         -0.345874     
0.00000000000000490000        0.922501        -0.352552         0.922490         -0.352564     
0.00000000000000500000        0.919383        -0.359211         0.919372         -0.359223     
0.00000000000000510000        0.916208        -0.365838         0.916197         -0.365849     
