# FQM_w,     FQM_I,     DCL_I,     ACL_I
-20.000000       -0.005011       -0.012041       -0.003950
-19.990000       -0.004999       -0.012858       -0.003939
-19.980000       -0.004987       -0.012753       -0.003928
-19.970000       -0.004975       -0.011733       -0.003917
-19.960000       -0.004963       -0.009889       -0.003907
-19.950000       -0.004951       -0.007387       -0.003896
-19.940000       -0.004939       -0.004448       -0.003885
-19.930000       -0.004928       -0.001334       -0.003874
-19.920000       -0.004916       0.001677       -0.003863
-19.910000       -0.004904       0.004317       -0.003853
-19.900000       -0.004893       0.006352       -0.003842
-19.890000       -0.004881       0.007601       -0.003831
-19.880000       -0.004870       0.007954       -0.003821
-19.870000       -0.004858       0.007381       -0.003810
-19.860000       -0.004847       0.005935       -0.003800
-19.850000       -0.004835       0.003746       -0.003789
-19.840000       -0.004824       0.001011       -0.003779
-19.830000       -0.004812       -0.002025       -0.003768
-19.820000       -0.004801       -0.005089       -0.003758
-19.810000       -0.004790       -0.007908       -0.003747
-19.800000       -0.004778       -0.010228       -0.003737
-19.790000       -0.004767       -0.011842       -0.003726
-19.780000       -0.004756       -0.012605       -0.003716
-19.770000       -0.004744       -0.012450       -0.003706
-19.760000       -0.004733       -0.011389       -0.003695
-19.750000       -0.004722       -0.009516       -0.003685
-19.740000       -0.004710       -0.007000       -0.003675
-19.730000       -0.004699       -0.004063       -0.003665
-19.720000       -0.004688       -0.000968       -0.003654
-19.710000       -0.004677       0.002009       -0.003644
-19.700000       -0.004666       0.004604       -0.003634
-19.690000       -0.004655       0.006587       -0.003624
-19.680000       -0.004643       0.007780       -0.003614
-19.670000       -0.004632       0.008079       -0.003604
-19.660000       -0.004621       0.007459       -0.003594
-19.650000       -0.004610       0.005975       -0.003583
-19.640000       -0.004599       0.003763       -0.003573
-19.630000       -0.004588       0.001020       -0.003563
-19.620000       -0.004577       -0.002008       -0.003553
-19.610000       -0.004566       -0.005048       -0.003544
-19.600000       -0.004556       -0.007830       -0.003534
-19.590000       -0.004545       -0.010103       -0.003524
-19.580000       -0.004534       -0.011664       -0.003514
-19.570000       -0.004523       -0.012374       -0.003504
-19.560000       -0.004512       -0.012169       -0.003494
-19.550000       -0.004501       -0.011066       -0.003484
-19.540000       -0.004490       -0.009165       -0.003474
-19.530000       -0.004480       -0.006633       -0.003465
-19.520000       -0.004469       -0.003698       -0.003455
-19.510000       -0.004458       -0.000620       -0.003445
-19.500000       -0.004447       0.002327       -0.003435
-19.490000       -0.004437       0.004879       -0.003426
-19.480000       -0.004426       0.006810       -0.003416
-19.470000       -0.004415       0.007949       -0.003407
-19.460000       -0.004405       0.008195       -0.003397
-19.450000       -0.004394       0.007527       -0.003387
-19.440000       -0.004384       0.006007       -0.003378
-19.430000       -0.004373       0.003770       -0.003368
-19.420000       -0.004363       0.001018       -0.003359
-19.410000       -0.004352       -0.002003       -0.003349
-19.400000       -0.004342       -0.005022       -0.003340
-19.390000       -0.004331       -0.007768       -0.003330
-19.380000       -0.004321       -0.009996       -0.003321
