# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
0.000000      1.000000      0.000000      1.000000      0.000000      1.000000      0.000000
0.100000      0.899742      0.268696      0.927560      -0.286927      0.930325      -0.277830
0.200000      0.683580      0.397118      0.737573      -0.504599      0.772732      -0.448910
0.300000      0.486223      0.388481      0.491885      -0.619849      0.618214      -0.493938
0.400000      0.359177      0.320005      0.248862      -0.640104      0.512782      -0.456858
0.500000      0.289328      0.245683      0.042058      -0.593031      0.453179      -0.384817
0.600000      0.252485      0.183977      -0.118136      -0.506375      0.420242      -0.306216
0.700000      0.232615      0.136651      -0.233682      -0.399567      0.399111      -0.234460
0.800000      0.221447      0.101032      -0.310121      -0.284080      0.382626      -0.174567
0.900000      0.215008      0.074221      -0.352447      -0.166615      0.368507      -0.127209
1.000000      0.211348      0.053966      -0.364197      -0.051919      0.356443      -0.091015
1.100000      0.209440      0.038635      -0.347986      0.055585      0.346550      -0.063928
1.200000      0.208686      0.027042      -0.306399      0.151193      0.338839      -0.043908
1.300000      0.208703      0.018306      -0.242770      0.230000      0.333142      -0.029221
1.400000      0.209237      0.011759      -0.161643      0.287357      0.329182      -0.018500
1.500000      0.210107      0.006888      -0.068897      0.319476      0.326645      -0.010709
1.600000      0.211189      0.003296      0.028456      0.324026      0.325233      -0.005075
1.700000      0.212397      0.000675      0.122719      0.300600      0.324683      -0.001031
1.800000      0.213670      -0.001211      0.206133      0.250984      0.324777      0.001841
1.900000      0.214968      -0.002543      0.271582      0.179178      0.325341      0.003849
2.000000      0.216262      -0.003460      0.313282      0.091174      0.326238      0.005220
2.100000      0.217533      -0.004068      0.327375      -0.005499      0.327364      0.006122
2.200000      0.218771      -0.004447      0.312349      -0.102399      0.328638      0.006680
2.300000      0.219966      -0.004656      0.269256      -0.190923      0.330002      0.006985
2.400000      0.221115      -0.004742      0.201667      -0.263087      0.331412      0.007107
2.500000      0.222214      -0.004739      0.115406      -0.312267      0.332835      0.007098
2.600000      0.223263      -0.004672      0.018047      -0.333834      0.334248      0.006994
2.700000      0.224262      -0.004560      -0.081750      -0.325598      0.335635      0.006825
2.800000      0.225211      -0.004419      -0.175018      -0.288046      0.336983      0.006612
2.900000      0.226112      -0.004258      -0.253296      -0.224321      0.338287      0.006370
3.000000      0.226967      -0.004086      -0.309412      -0.139963      0.339541      0.006112
3.100000      0.227776      -0.003908      -0.338141      -0.042423      0.340741      0.005846
3.200000      0.228543      -0.003729      -0.336700      0.059598      0.341889      0.005578
3.300000      0.229269      -0.003552      -0.305018      0.156936      0.342982      0.005313
3.400000      0.229956      -0.003378      -0.245758      0.240791      0.344023      0.005054
3.500000      0.230606      -0.003210      -0.164092      0.303529      0.345012      0.004802
3.600000      0.231222      -0.003048      -0.067246      0.339383      0.345951      0.004560
3.700000      0.231805      -0.002892      0.036144      0.344982      0.346843      0.004328
3.800000      0.232357      -0.002744      0.136810      0.319668      0.347689      0.004107
3.900000      0.232880      -0.002604      0.225686      0.265570      0.348492      0.003896
4.000000      0.233376      -0.002470      0.294728      0.187421      0.349253      0.003697
4.100000      0.233845      -0.002344      0.337646      0.092143      0.349975      0.003508
4.200000      0.234291      -0.002224      0.350478      -0.011777      0.350660      0.003329
4.300000      0.234714      -0.002112      0.331958      -0.115036      0.351311      0.003161
4.400000      0.235115      -0.002005      0.283633      -0.208363      0.351928      0.003002
4.500000      0.235496      -0.001905      0.209738      -0.283346      0.352515      0.002852
4.600000      0.235858      -0.001811      0.116820      -0.333197      0.353072      0.002710
4.700000      0.236202      -0.001722      0.013156      -0.353366      0.353602      0.002577
4.800000      0.236530      -0.001638      -0.091989      -0.341957      0.354105      0.002452
4.900000      0.236842      -0.001559      -0.189191      -0.299904      0.354585      0.002333
5.000000      0.237138      -0.001484      -0.269714      -0.230896      0.355041      0.002222
5.100000      0.237421      -0.001414      -0.326301      -0.141050      0.355475      0.002117
5.200000      0.237691      -0.001348      -0.353821      -0.038367      0.355889      0.002018
5.300000      0.237948      -0.001285      -0.349743      0.067983      0.356284      0.001925
5.400000      0.238193      -0.001227      -0.314364      0.168480      0.356660      0.001837
5.500000      0.238428      -0.001171      -0.250786      0.254111      0.357020      0.001753
5.600000      0.238651      -0.001119      -0.164648      0.317178      0.357363      0.001675
5.700000      0.238865      -0.001069      -0.063621      0.351991      0.357691      0.001601
5.800000      0.239070      -0.001022      0.043279      0.355382      0.358004      0.001531
5.900000      0.239266      -0.000978      0.146491      0.326993      0.358304      0.001464
6.000000      0.239453      -0.000936      0.236770      0.269313      0.358591      0.001402
6.100000      0.239633      -0.000896      0.306016      0.187458      0.358865      0.001342
6.200000      0.239805      -0.000859      0.348000      0.088717      0.359128      0.001286
6.300000      0.239970      -0.000823      0.358926      -0.018099      0.359380      0.001233
6.400000      0.240128      -0.000790      0.337774      -0.123444      0.359622      0.001183
6.500000      0.240280      -0.000758      0.286392      -0.217889      0.359854      0.001135
6.600000      0.240426      -0.000727      0.209340      -0.292973      0.360076      0.001089
6.700000      0.240566      -0.000699      0.113478      -0.341954      0.360290      0.001046
6.800000      0.240701      -0.000671      0.007360      -0.360422      0.360495      0.001005
6.900000      0.240830      -0.000645      -0.099535      -0.346689      0.360693      0.000967
7.000000      0.240955      -0.000621      -0.197646      -0.301949      0.360882      0.000930
7.100000      0.241074      -0.000597      -0.278191      -0.230171      0.361065      0.000894
7.200000      0.241190      -0.000575      -0.333948      -0.137747      0.361240      0.000861
7.300000      0.241301      -0.000554      -0.359908      -0.032922      0.361409      0.000829
7.400000      0.241408      -0.000533      -0.353721      0.074942      0.361572      0.000799
7.500000      0.241511      -0.000514      -0.315913      0.176203      0.361729      0.000770
7.600000      0.241610      -0.000496      -0.249837      0.261801      0.361881      0.000742
7.700000      0.241706      -0.000478      -0.161376      0.324070      0.362026      0.000716
7.800000      0.241799      -0.000461      -0.058422      0.357425      0.362167      0.000691
7.900000      0.241888      -0.000445      0.049832      0.358860      0.362303      0.000667
8.000000      0.241975      -0.000430      0.153712      0.328225      0.362434      0.000644
8.100000      0.242058      -0.000415      0.243929      0.268234      0.362561      0.000622
8.200000      0.242139      -0.000401      0.312408      0.184230      0.362683      0.000601
8.300000      0.242217      -0.000388      0.353013      0.083707      0.362801      0.000581
8.400000      0.242292      -0.000375      0.362097      -0.024362      0.362916      0.000562
8.500000      0.242365      -0.000363      0.338829      -0.130320      0.363026      0.000544
