# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
0.000000      1.000000      -0.000000      1.000000      -0.000000      1.000000      -0.000000
0.100000      0.938811      -0.068232      0.940044      -0.070636      0.940214      -0.068334
0.200000      0.787468      -0.104210      0.789667      -0.119346      0.791732      -0.104775
0.300000      0.610935      -0.103946      0.610381      -0.139701      0.617293      -0.105028
0.400000      0.456998      -0.084079      0.450599      -0.139387      0.463879      -0.085345
0.500000      0.341682      -0.060765      0.328892      -0.129461      0.347994      -0.061887
0.600000      0.261683      -0.041540      0.243455      -0.117602      0.267028      -0.042388
0.700000      0.207980      -0.027780      0.185405      -0.107390      0.212375      -0.028367
0.800000      0.172248      -0.018502      0.145983      -0.099872      0.175865      -0.018891
0.900000      0.148426      -0.012362      0.118652      -0.094972      0.151455      -0.012615
1.000000      0.132469      -0.008290      0.099023      -0.092250      0.135071      -0.008453
1.100000      0.121758      -0.005557      0.084266      -0.091219      0.124055      -0.005661
1.200000      0.114597      -0.003693      0.072566      -0.091445      0.116679      -0.003760
1.300000      0.109879      -0.002404      0.062759      -0.092568      0.111811      -0.002446
1.400000      0.106865      -0.001500      0.054087      -0.094291      0.108692      -0.001526
1.500000      0.105051      -0.000861      0.046055      -0.096373      0.106808      -0.000875
1.600000      0.104091      -0.000406      0.038338      -0.098612      0.105802      -0.000413
1.700000      0.103738      -0.000082      0.030730      -0.100842      0.105420      -0.000084
1.800000      0.103817      0.000147      0.023102      -0.102923      0.105484      0.000149
1.900000      0.104201      0.000308      0.015380      -0.104738      0.105861      0.000313
2.000000      0.104797      0.000419      0.007531      -0.106192      0.106458      0.000426
2.100000      0.105538      0.000493      -0.000451      -0.107203      0.107203      0.000501
2.200000      0.106373      0.000540      -0.008549      -0.107709      0.108046      0.000549
2.300000      0.107265      0.000568      -0.016734      -0.107658      0.108949      0.000576
2.400000      0.108188      0.000580      -0.024966      -0.107011      0.109883      0.000589
2.500000      0.109120      0.000582      -0.033197      -0.105741      0.110828      0.000591
2.600000      0.110048      0.000576      -0.041375      -0.103830      0.111769      0.000585
2.700000      0.110961      0.000564      -0.049446      -0.101271      0.112696      0.000573
2.800000      0.111852      0.000549      -0.057351      -0.098062      0.113600      0.000557
2.900000      0.112716      0.000531      -0.065036      -0.094211      0.114477      0.000539
3.000000      0.113550      0.000511      -0.072444      -0.089731      0.115324      0.000519
3.100000      0.114351      0.000490      -0.079521      -0.084644      0.116138      0.000498
3.200000      0.115120      0.000470      -0.086215      -0.078974      0.116918      0.000477
3.300000      0.115854      0.000449      -0.092477      -0.072754      0.117664      0.000456
3.400000      0.116555      0.000428      -0.098259      -0.066017      0.118376      0.000435
3.500000      0.117224      0.000408      -0.103520      -0.058804      0.119055      0.000414
3.600000      0.117860      0.000388      -0.108220      -0.051159      0.119702      0.000394
3.700000      0.118467      0.000370      -0.112324      -0.043127      0.120318      0.000375
3.800000      0.119043      0.000351      -0.115801      -0.034757      0.120904      0.000357
3.900000      0.119591      0.000334      -0.118624      -0.026102      0.121461      0.000339
4.000000      0.120113      0.000318      -0.120770      -0.017215      0.121991      0.000323
4.100000      0.120609      0.000302      -0.122223      -0.008151      0.122495      0.000307
4.200000      0.121080      0.000287      -0.122969      0.001034      0.122973      0.000292
4.300000      0.121528      0.000273      -0.123000      0.010283      0.123429      0.000278
4.400000      0.121955      0.000260      -0.122312      0.019539      0.123862      0.000264
4.500000      0.122360      0.000247      -0.120905      0.028744      0.124275      0.000251
4.600000      0.122747      0.000236      -0.118785      0.037842      0.124667      0.000239
4.700000      0.123114      0.000224      -0.115962      0.046776      0.125041      0.000228
4.800000      0.123465      0.000214      -0.112451      0.055491      0.125396      0.000217
4.900000      0.123798      0.000204      -0.108268      0.063933      0.125736      0.000207
5.000000      0.124116      0.000194      -0.103439      0.072050      0.126059      0.000197
5.100000      0.124420      0.000185      -0.097988      0.079793      0.126367      0.000188
5.200000      0.124709      0.000177      -0.091947      0.087113      0.126661      0.000180
5.300000      0.124986      0.000169      -0.085350      0.093966      0.126942      0.000171
5.400000      0.125249      0.000161      -0.078234      0.100308      0.127210      0.000164
5.500000      0.125502      0.000154      -0.070640      0.106102      0.127466      0.000156
5.600000      0.125743      0.000147      -0.062612      0.111310      0.127711      0.000150
5.700000      0.125973      0.000141      -0.054194      0.115901      0.127945      0.000143
5.800000      0.126194      0.000135      -0.045437      0.119845      0.128169      0.000137
5.900000      0.126405      0.000129      -0.036390      0.123118      0.128384      0.000131
6.000000      0.126607      0.000124      -0.027106      0.125700      0.128589      0.000126
6.100000      0.126801      0.000119      -0.017638      0.127573      0.128786      0.000120
6.200000      0.126986      0.000114      -0.008041      0.128724      0.128975      0.000115
6.300000      0.127165      0.000109      0.001629      0.129145      0.129156      0.000111
6.400000      0.127335      0.000105      0.011316      0.128833      0.129329      0.000106
6.500000      0.127500      0.000101      0.020965      0.127788      0.129496      0.000102
6.600000      0.127657      0.000097      0.030519      0.126013      0.129656      0.000098
6.700000      0.127809      0.000093      0.039922      0.123519      0.129810      0.000094
6.800000      0.127954      0.000089      0.049121      0.120317      0.129958      0.000091
6.900000      0.128094      0.000086      0.058062      0.116425      0.130100      0.000087
7.000000      0.128229      0.000083      0.066692      0.111865      0.130237      0.000084
7.100000      0.128358      0.000079      0.074963      0.106661      0.130369      0.000081
7.200000      0.128483      0.000077      0.082824      0.100842      0.130495      0.000078
7.300000      0.128603      0.000074      0.090232      0.094441      0.130617      0.000075
7.400000      0.128719      0.000071      0.097142      0.087493      0.130735      0.000072
7.500000      0.128831      0.000069      0.103515      0.080038      0.130849      0.000070
7.600000      0.128939      0.000066      0.109312      0.072117      0.130958      0.000067
7.700000      0.129042      0.000064      0.114501      0.063775      0.131064      0.000065
7.800000      0.129143      0.000062      0.119050      0.055059      0.131165      0.000063
7.900000      0.129240      0.000059      0.122933      0.046018      0.131264      0.000060
8.000000      0.129333      0.000057      0.126127      0.036704      0.131359      0.000058
8.100000      0.129423      0.000056      0.128612      0.027169      0.131451      0.000056
8.200000      0.129511      0.000054      0.130374      0.017467      0.131539      0.000055
8.300000      0.129595      0.000052      0.131402      0.007654      0.131625      0.000053
8.400000      0.129677      0.000050      0.131689      -0.002215      0.131708      0.000051
8.500000      0.129756      0.000049      0.131233      -0.012083      0.131788      0.000049
8.600000      0.129832      0.000047      0.130036      -0.021895      0.131866      0.000048
8.700000      0.129906      0.000046      0.128102      -0.031595      0.131941      0.000046
8.800000      0.129978      0.000044      0.125444      -0.041128      0.132014      0.000045
8.900000      0.130048      0.000043      0.122075      -0.050439      0.132085      0.000043
9.000000      0.130115      0.000041      0.118013      -0.059475      0.132153      0.000042
9.100000      0.130180      0.000040      0.113282      -0.068184      0.132219      0.000041
9.200000      0.130243      0.000039      0.107907      -0.076518      0.132283      0.000040
9.300000      0.130305      0.000038      0.101918      -0.084428      0.132346      0.000038
9.400000      0.130364      0.000037      0.095349      -0.091869      0.132406      0.000037
9.500000      0.130422      0.000036      0.088236      -0.098799      0.132465      0.000036
9.600000      0.130478      0.000035      0.080620      -0.105178      0.132522      0.000035
9.700000      0.130532      0.000034      0.072542      -0.110970      0.132577      0.000034
9.800000      0.130585      0.000033      0.064050      -0.116140      0.132631      0.000033
9.900000      0.130637      0.000032      0.055189      -0.120661      0.132683      0.000032
10.000000      0.130687      0.000031      0.046010      -0.124504      0.132734      0.000031
10.100000      0.130735      0.000030      0.036565      -0.127649      0.132783      0.000030
10.200000      0.130782      0.000029      0.026908      -0.130077      0.132831      0.000030
10.300000      0.130828      0.000028      0.017091      -0.131774      0.132878      0.000029
