# time        F_Re_MC      F_Im_MC      F_Re_E17      F_Im_E17     F_CL
0.00000000000000000000       1.0000000000       0.0000000000       1.0000000000       0.0000000000     1.0000000000
0.00000000000000100000       0.9994759098       0.0000042113       0.9965716970       -0.0761376851     0.9999800339
0.00000000000000200000       0.9979057078       0.0000336310       0.9863277897       -0.1515694361     0.9999201446
0.00000000000000300000       0.9952955801       0.0001131712       0.9693905438       -0.2255998187     0.9998203592
0.00000000000000400000       0.9916557741       0.0002671561       0.9459612882       -0.2975541745     0.9996807226
0.00000000000000500000       0.9870005038       0.0005190385       0.9163168090       -0.3667884534     0.9995012978
0.00000000000000600000       0.9813478215       0.0008911300       0.8808044259       -0.4326983986     0.9992821653
0.00000000000000700000       0.9747194541       0.0014043472       0.8398358737       -0.4947278966     0.9990234237
0.00000000000000800000       0.9671406106       0.0020779782       0.7938801364       -0.5523763280     0.9987251888
0.00000000000000900000       0.9586397602       0.0029294734       0.7434554062       -0.6052047842     0.9983875940
0.00000000000001000000       0.9492483872       0.0039742609       0.6891203570       -0.6528410441     0.9980107899
0.00000000000001100000       0.9390007242       0.0052255915       0.6314649339       -0.6949832402     0.9975949440
0.00000000000001200000       0.9279334696       0.0066944127       0.5711008651       -0.7314021746     0.9971402406
0.00000000000001300000       0.9160854914       0.0083892740       0.5086521047       -0.7619422838     0.9966468803
0.00000000000001400000       0.9034975228       0.0103162637       0.4447454059       -0.7865212793     0.9961150803
0.00000000000001500000       0.8902118534       0.0124789769       0.3800012170       -0.8051285263     0.9955450733
0.00000000000001600000       0.8762720199       0.0148785151       0.3150250709       -0.8178222470     0.9949371077
0.00000000000001700000       0.8617224994       0.0175135145       0.2503996248       -0.8247256617     0.9942914473
0.00000000000001800000       0.8466084105       0.0203802039       0.1866774788       -0.8260221984     0.9936083705
0.00000000000001900000       0.8309752237       0.0234724885       0.1243748789       -0.8219499191     0.9928881703
0.00000000000002000000       0.8148684852       0.0267820577       0.0639663823       -0.8127953179     0.9921311537
0.00000000000002100000       0.7983335563       0.0302985154       0.0058805352       -0.7988866543     0.9913376415
0.00000000000002200000       0.7814153703       0.0340095289       -0.0495034122       -0.7805869851     0.9905079676
0.00000000000002300000       0.7641582091       0.0379009936       -0.1018577575       -0.7582870506     0.9896424785
