# Frequency w         I(w)
1.000000       -0.00000000793332340143
1.000100       -0.00000000793370354924
1.000200       -0.00000000793408344004
1.000300       -0.00000000793446492729
1.000400       -0.00000000793484480450
1.000500       -0.00000000793522591893
1.000600       -0.00000000793560671705
1.000700       -0.00000000793598754605
1.000800       -0.00000000793636853632
1.000900       -0.00000000793674972358
1.001000       -0.00000000793713105198
1.001100       -0.00000000793751402484
1.001200       -0.00000000793789634229
1.001300       -0.00000000793827813410
1.001400       -0.00000000793866019441
1.001500       -0.00000000793904288674
1.001600       -0.00000000793942587279
1.001700       -0.00000000793980923753
1.001800       -0.00000000794019126903
1.001900       -0.00000000794057416082
1.002000       -0.00000000794095715708
1.002100       -0.00000000794134128262
1.002200       -0.00000000794172525020
1.002300       -0.00000000794210987894
1.002400       -0.00000000794249368744
1.002500       -0.00000000794287783989
1.002600       -0.00000000794326274099
1.002700       -0.00000000794364792547
1.002800       -0.00000000794403316256
1.002900       -0.00000000794441707470
1.003000       -0.00000000794480193844
1.003100       -0.00000000794518701264
1.003200       -0.00000000794557179913
1.003300       -0.00000000794595907741
1.003400       -0.00000000794634566558
1.003500       -0.00000000794673159299
1.003600       -0.00000000794711794445
1.003700       -0.00000000794750420054
1.003800       -0.00000000794789104574
1.003900       -0.00000000794827836857
1.004000       -0.00000000794866517051
1.004100       -0.00000000794905173832
1.004200       -0.00000000794943825853
1.004300       -0.00000000794982613772
1.004400       -0.00000000795021413376
1.004500       -0.00000000795060274128
1.004600       -0.00000000795099125464
1.004700       -0.00000000795137916221
1.004800       -0.00000000795176763028
1.004900       -0.00000000795215643008
1.005000       -0.00000000795254509454
1.005100       -0.00000000795293495485
1.005200       -0.00000000795332292121
1.005300       -0.00000000795371026275
1.005400       -0.00000000795410160024
1.005500       -0.00000000795449150729
1.005600       -0.00000000795488197247
1.005700       -0.00000000795527214587
1.005800       -0.00000000795566236103
1.005900       -0.00000000795605269393
1.006000       -0.00000000795644345913
1.006100       -0.00000000795683438184
1.006200       -0.00000000795722406418
1.006300       -0.00000000795761551085
1.006400       -0.00000000795800673022
1.006500       -0.00000000795839834161
1.006600       -0.00000000795879032002
1.006700       -0.00000000795918264672
1.006800       -0.00000000795957449329
1.006900       -0.00000000795996688931
1.007000       -0.00000000796035849841
1.007100       -0.00000000796075209748
1.007200       -0.00000000796114504338
1.007300       -0.00000000796153825289
1.007400       -0.00000000796193045657
1.007500       -0.00000000796232325346
1.007600       -0.00000000796271646703
1.007700       -0.00000000796310954483
1.007800       -0.00000000796350552119
1.007900       -0.00000000796389954025
1.008000       -0.00000000796429358854
1.008100       -0.00000000796468871376
1.008200       -0.00000000796508252356
1.008300       -0.00000000796547783597
1.008400       -0.00000000796587189183
1.008500       -0.00000000796626678787
1.008600       -0.00000000796666200876
1.008700       -0.00000000796705749752
1.008800       -0.00000000796745325496
1.008900       -0.00000000796784943521
1.009000       -0.00000000796824549713
1.009100       -0.00000000796864167138
1.009200       -0.00000000796903746186
1.009300       -0.00000000796943484584
1.009400       -0.00000000796983119047
1.009500       -0.00000000797022743681
1.009600       -0.00000000797062484969
1.009700       -0.00000000797102200417
1.009800       -0.00000000797141891039
1.009900       -0.00000000797181754023
1.010000       -0.00000000797221542191
1.010100       -0.00000000797261361619
1.010200       -0.00000000797301175570
1.010300       -0.00000000797341058488
1.010400       -0.00000000797380928260
1.010500       -0.00000000797420768739
1.010600       -0.00000000797460615295
1.010700       -0.00000000797500602868
1.010800       -0.00000000797540376155
1.010900       -0.00000000797580295582
1.011000       -0.00000000797620362926
1.011100       -0.00000000797660292792
1.011200       -0.00000000797700232477
1.011300       -0.00000000797740327593
1.011400       -0.00000000797780359867
1.011500       -0.00000000797820386729
1.011600       -0.00000000797860507661
1.011700       -0.00000000797900509738
1.011800       -0.00000000797940619171
1.011900       -0.00000000797980753822
1.012000       -0.00000000798020942215
1.012100       -0.00000000798061054595
1.012200       -0.00000000798101240259
1.012300       -0.00000000798141442521
1.012400       -0.00000000798181694292
1.012500       -0.00000000798221849496
1.012600       -0.00000000798262192501
1.012700       -0.00000000798302449170
1.012800       -0.00000000798342695334
1.012900       -0.00000000798382997824
1.013000       -0.00000000798423325207
1.013100       -0.00000000798463640263
1.013200       -0.00000000798503997162
1.013300       -0.00000000798544389702
1.013400       -0.00000000798584703835
1.013500       -0.00000000798625089904
1.013600       -0.00000000798665602134
1.013700       -0.00000000798706053147
1.013800       -0.00000000798746536354
1.013900       -0.00000000798786960114
1.014000       -0.00000000798827329081
1.014100       -0.00000000798868009111
1.014200       -0.00000000798908491700
1.014300       -0.00000000798949078526
1.014400       -0.00000000798989640888
1.014500       -0.00000000799030221491
1.014600       -0.00000000799070856986
1.014700       -0.00000000799111560202
1.014800       -0.00000000799152210382
1.014900       -0.00000000799192852030
1.015000       -0.00000000799233462054
1.015100       -0.00000000799274125540
1.015200       -0.00000000799314871740
1.015300       -0.00000000799355642689
1.015400       -0.00000000799396376553
1.015500       -0.00000000799437055278
1.015600       -0.00000000799477868502
1.015700       -0.00000000799518701721
1.015800       -0.00000000799559556961
1.015900       -0.00000000799600403182
1.016000       -0.00000000799641277546
1.016100       -0.00000000799682059643
1.016200       -0.00000000799722944901
1.016300       -0.00000000799763963518
1.016400       -0.00000000799804876860
1.016500       -0.00000000799845808871
1.016600       -0.00000000799886687722
1.016700       -0.00000000799927675701
1.016800       -0.00000000799968708079
1.016900       -0.00000000800009821031
1.017000       -0.00000000800050853469
1.017100       -0.00000000800091872547
1.017200       -0.00000000800132895640
1.017300       -0.00000000800174038877
1.017400       -0.00000000800215165375
1.017500       -0.00000000800256358686
1.017600       -0.00000000800297485461
1.017700       -0.00000000800338508557
1.017800       -0.00000000800379694446
1.017900       -0.00000000800420880307
1.018000       -0.00000000800462171129
1.018100       -0.00000000800503457901
1.018200       -0.00000000800544704287
1.018300       -0.00000000800585931566
1.018400       -0.00000000800627234628
1.018500       -0.00000000800668615750
1.018600       -0.00000000800709970592
1.018700       -0.00000000800751242367
1.018800       -0.00000000800792567990
1.018900       -0.00000000800833904448
1.019000       -0.00000000800875244034
1.019100       -0.00000000800916744607
1.019200       -0.00000000800958254745
1.019300       -0.00000000800999713247
1.019400       -0.00000000801041141866
1.019500       -0.00000000801082574543
1.019600       -0.00000000801124165620
1.019700       -0.00000000801165688438
1.019800       -0.00000000801207217306
1.019900       -0.00000000801248671468
1.020000       -0.00000000801290216491
1.020100       -0.00000000801331834850
1.020200       -0.00000000801373524312
1.020300       -0.00000000801415249031
1.020400       -0.00000000801456859509
1.020500       -0.00000000801498451116
1.020600       -0.00000000801540136661
1.020700       -0.00000000801581847711
1.020800       -0.00000000801623605390
1.020900       -0.00000000801665189759
1.021000       -0.00000000801707111143
1.021100       -0.00000000801748725506
1.021200       -0.00000000801790595482
1.021300       -0.00000000801832401874
1.021400       -0.00000000801874314939
1.021500       -0.00000000801916133798
1.021600       -0.00000000801957956693
1.021700       -0.00000000801999831237
1.021800       -0.00000000802041764849
1.021900       -0.00000000802083731733
1.022000       -0.00000000802125655447
1.022100       -0.00000000802167520893
1.022200       -0.00000000802209462646
1.022300       -0.00000000802251413816
1.022400       -0.00000000802293592861
1.022500       -0.00000000802335668934
1.022600       -0.00000000802377703165
1.022700       -0.00000000802419587042
1.022800       -0.00000000802461731610
1.022900       -0.00000000802503806260
1.023000       -0.00000000802545959718
1.023100       -0.00000000802588131019
1.023200       -0.00000000802630292635
1.023300       -0.00000000802672372336
1.023400       -0.00000000802714527268
1.023500       -0.00000000802756760308
1.023600       -0.00000000802799083086
1.023700       -0.00000000802841348653
1.023800       -0.00000000802883556265
1.023900       -0.00000000802925730005
1.024000       -0.00000000802968122025
1.024100       -0.00000000803010450657
1.024200       -0.00000000803052839597
1.024300       -0.00000000803095149500
1.024400       -0.00000000803137441891
1.024500       -0.00000000803179773655
1.024600       -0.00000000803222312242
1.024700       -0.00000000803264821227
1.024800       -0.00000000803307229372
1.024900       -0.00000000803349711397
1.025000       -0.00000000803392073513
1.025100       -0.00000000803434503319
1.025200       -0.00000000803477040982
1.025300       -0.00000000803519654355
1.025400       -0.00000000803562118550
1.025500       -0.00000000803604690608
1.025600       -0.00000000803647219499
1.025700       -0.00000000803689845735
1.025800       -0.00000000803732571177
1.025900       -0.00000000803775224222
1.026000       -0.00000000803817857415
1.026100       -0.00000000803860471795
1.026200       -0.00000000803903165447
1.026300       -0.00000000803945918240
1.026400       -0.00000000803988637089
1.026500       -0.00000000804031367062
1.026600       -0.00000000804074065021
1.026700       -0.00000000804116841719
1.026800       -0.00000000804159729182
1.026900       -0.00000000804202622597
1.027000       -0.00000000804245450907
1.027100       -0.00000000804288303978
1.027200       -0.00000000804331042879
1.027300       -0.00000000804373868323
1.027400       -0.00000000804416854479
1.027500       -0.00000000804459781779
1.027600       -0.00000000804502749618
1.027700       -0.00000000804545653294
1.027800       -0.00000000804588626392
1.027900       -0.00000000804631672502
1.028000       -0.00000000804674758308
1.028100       -0.00000000804717803252
1.028200       -0.00000000804760798436
1.028300       -0.00000000804803823510
1.028400       -0.00000000804846941540
1.028500       -0.00000000804890004301
1.028600       -0.00000000804933232177
1.028700       -0.00000000804976287506
1.028800       -0.00000000805019381179
1.028900       -0.00000000805062591794
1.029000       -0.00000000805105859698
1.029100       -0.00000000805149161240
1.029200       -0.00000000805192391269
1.029300       -0.00000000805235611831
1.029400       -0.00000000805278710056
1.029500       -0.00000000805322048742
1.029600       -0.00000000805365358666
1.029700       -0.00000000805408717998
1.029800       -0.00000000805452062615
1.029900       -0.00000000805495372394
1.030000       -0.00000000805538719411
1.030100       -0.00000000805582187007
1.030200       -0.00000000805625647431
1.030300       -0.00000000805669093190
1.030400       -0.00000000805712559720
1.030500       -0.00000000805755913301
1.030600       -0.00000000805799381174
1.030700       -0.00000000805842917119
1.030800       -0.00000000805886493363
1.030900       -0.00000000805929966880
1.031000       -0.00000000805973489387
1.031100       -0.00000000806017047997
1.031200       -0.00000000806060697793
1.031300       -0.00000000806104419617
1.031400       -0.00000000806148147542
1.031500       -0.00000000806191577455
1.031600       -0.00000000806235289589
1.031700       -0.00000000806278896266
1.031800       -0.00000000806322605625
1.031900       -0.00000000806366361743
1.032000       -0.00000000806410109109
1.032100       -0.00000000806453794305
1.032200       -0.00000000806497563595
1.032300       -0.00000000806541359229
1.032400       -0.00000000806585310356
1.032500       -0.00000000806629140036
1.032600       -0.00000000806672948439
1.032700       -0.00000000806716675016
1.032800       -0.00000000806760555867
1.032900       -0.00000000806804496979
1.033000       -0.00000000806848477017
1.033100       -0.00000000806892406064
1.033200       -0.00000000806936288655
1.033300       -0.00000000806980256966
1.033400       -0.00000000807024243758
1.033500       -0.00000000807068438384
1.033600       -0.00000000807112441807
1.033700       -0.00000000807156399895
1.033800       -0.00000000807200373755
1.033900       -0.00000000807244401391
1.034000       -0.00000000807288579281
1.034100       -0.00000000807332773857
1.034200       -0.00000000807376915239
1.034300       -0.00000000807420930638
1.034400       -0.00000000807465065394
1.034500       -0.00000000807509411325
1.034600       -0.00000000807553669216
1.034700       -0.00000000807597906783
1.034800       -0.00000000807642042070
1.034900       -0.00000000807686177781
1.035000       -0.00000000807730472618
1.035100       -0.00000000807774826872
1.035200       -0.00000000807819198870
1.035300       -0.00000000807863511874
1.035400       -0.00000000807907738967
1.035500       -0.00000000807952109680
1.035600       -0.00000000807996590267
1.035700       -0.00000000808041081056
1.035800       -0.00000000808085548033
1.035900       -0.00000000808129843510
1.036000       -0.00000000808174271309
1.036100       -0.00000000808218726160
1.036200       -0.00000000808263209485
1.036300       -0.00000000808307869279
1.036400       -0.00000000808352376220
1.036500       -0.00000000808396820952
1.036600       -0.00000000808441414858
1.036700       -0.00000000808486027802
1.036800       -0.00000000808530690597
1.036900       -0.00000000808575334649
1.037000       -0.00000000808619979502
1.037100       -0.00000000808664493960
1.037200       -0.00000000808709143268
1.037300       -0.00000000808753871359
1.037400       -0.00000000808798640568
1.037500       -0.00000000808843391692
1.037600       -0.00000000808887948964
1.037700       -0.00000000808932789082
1.037800       -0.00000000808977643284
1.037900       -0.00000000809022468525
1.038000       -0.00000000809067346688
1.038100       -0.00000000809112130178
1.038200       -0.00000000809156880667
1.038300       -0.00000000809201733582
1.038400       -0.00000000809246618773
1.038500       -0.00000000809291658673
1.038600       -0.00000000809336660932
1.038700       -0.00000000809381490288
1.038800       -0.00000000809426420416
1.038900       -0.00000000809471400026
1.039000       -0.00000000809516567725
1.039100       -0.00000000809561524537
1.039200       -0.00000000809606514670
1.039300       -0.00000000809651521664
1.039400       -0.00000000809696517415
1.039500       -0.00000000809741613728
1.039600       -0.00000000809786820378
1.039700       -0.00000000809831978751
1.039800       -0.00000000809877110206
1.039900       -0.00000000809922246867
1.040000       -0.00000000809967426496
1.040100       -0.00000000810012547939
1.040200       -0.00000000810057892289
1.040300       -0.00000000810103116126
1.040400       -0.00000000810148308247
1.040500       -0.00000000810193507682
1.040600       -0.00000000810238781555
1.040700       -0.00000000810284167848
1.040800       -0.00000000810329529874
1.040900       -0.00000000810374862453
1.041000       -0.00000000810420204490
1.041100       -0.00000000810465550378
1.041200       -0.00000000810511014833
1.041300       -0.00000000810556436651
1.041400       -0.00000000810601848633
1.041500       -0.00000000810647284957
1.041600       -0.00000000810692720140
1.041700       -0.00000000810738175981
1.041800       -0.00000000810783757003
1.041900       -0.00000000810829321570
1.042000       -0.00000000810874834593
1.042100       -0.00000000810920402376
1.042200       -0.00000000810965901240
1.042300       -0.00000000811011581034
1.042400       -0.00000000811057193169
1.042500       -0.00000000811102819231
1.042600       -0.00000000811148350432
1.042700       -0.00000000811194034029
1.042800       -0.00000000811239758154
1.042900       -0.00000000811285460445
1.043000       -0.00000000811331226128
1.043100       -0.00000000811376932599
1.043200       -0.00000000811422728229
1.043300       -0.00000000811468440137
1.043400       -0.00000000811514303350
1.043500       -0.00000000811560057026
1.043600       -0.00000000811605964071
1.043700       -0.00000000811651723443
1.043800       -0.00000000811697595535
1.043900       -0.00000000811743468616
1.044000       -0.00000000811789427450
1.044100       -0.00000000811835365618
1.044200       -0.00000000811881336157
1.044300       -0.00000000811927271364
1.044400       -0.00000000811973225971
1.044500       -0.00000000812019235575
1.044600       -0.00000000812065276946
1.044700       -0.00000000812111185158
1.044800       -0.00000000812157241972
1.044900       -0.00000000812203294338
1.045000       -0.00000000812249419566
1.045100       -0.00000000812295543598
1.045200       -0.00000000812341643796
1.045300       -0.00000000812387871836
1.045400       -0.00000000812433973407
1.045500       -0.00000000812480196855
1.045600       -0.00000000812526380128
1.045700       -0.00000000812572371834
1.045800       -0.00000000812618786955
1.045900       -0.00000000812664975497
1.046000       -0.00000000812711236415
1.046100       -0.00000000812757549778
1.046200       -0.00000000812803878462
1.046300       -0.00000000812850214085
1.046400       -0.00000000812896573718
1.046500       -0.00000000812942944219
1.046600       -0.00000000812989311782
1.046700       -0.00000000813035693100
1.046800       -0.00000000813082045360
1.046900       -0.00000000813128464334
1.047000       -0.00000000813174886845
1.047100       -0.00000000813221378997
1.047200       -0.00000000813267855336
1.047300       -0.00000000813314391102
1.047400       -0.00000000813360914530
1.047500       -0.00000000813407431418
1.047600       -0.00000000813454012199
1.047700       -0.00000000813500643518
1.047800       -0.00000000813547139849
1.047900       -0.00000000813593782961
1.048000       -0.00000000813640371518
1.048100       -0.00000000813687044996
1.048200       -0.00000000813733653554
1.048300       -0.00000000813780359907
1.048400       -0.00000000813827105863
1.048500       -0.00000000813873797906
1.048600       -0.00000000813920556577
1.048700       -0.00000000813967345740
1.048800       -0.00000000814014095764
1.048900       -0.00000000814060826988
1.049000       -0.00000000814107658590
1.049100       -0.00000000814154485834
1.049200       -0.00000000814201299718
1.049300       -0.00000000814248135085
1.049400       -0.00000000814295034716
1.049500       -0.00000000814342021461
1.049600       -0.00000000814388926064
1.049700       -0.00000000814435920323
1.049800       -0.00000000814482761455
1.049900       -0.00000000814529722024
1.050000       -0.00000000814576725829
1.050100       -0.00000000814623784961
1.050200       -0.00000000814670816043
1.050300       -0.00000000814717837296
1.050400       -0.00000000814764836246
1.050500       -0.00000000814811902578
1.050600       -0.00000000814859070615
1.050700       -0.00000000814906231666
1.050800       -0.00000000814953375414
1.050900       -0.00000000815000506104
1.051000       -0.00000000815047662305
1.051100       -0.00000000815094832486
1.051200       -0.00000000815142056283
1.051300       -0.00000000815189289505
1.051400       -0.00000000815236469732
1.051500       -0.00000000815283763264
1.051600       -0.00000000815331082525
1.051700       -0.00000000815378376847
1.051800       -0.00000000815425719935
1.051900       -0.00000000815472988375
1.052000       -0.00000000815520383350
1.052100       -0.00000000815567676100
1.052200       -0.00000000815615120820
1.052300       -0.00000000815662539887
1.052400       -0.00000000815710030862
