# Frequency w         I(w)
1.000000       -0.00000000000000024210
1.000100       -0.00000000000000025484
1.000200       -0.00000000000000020387
1.000300       -0.00000000000000019538
1.000400       -0.00000000000000034828
1.000500       -0.00000000000000004672
1.000600       -0.00000000000000010194
1.000700       -0.00000000000000022511
1.000800       0.00000000000000006371
1.000900       -0.00000000000000041624
1.001000       -0.00000000000000038651
1.001100       -0.00000000000000041200
1.001200       -0.00000000000000019963
1.001300       -0.00000000000000017414
1.001400       -0.00000000000000018264
1.001500       -0.00000000000000020387
1.001600       -0.00000000000000021237
1.001700       -0.00000000000000025909
1.001800       -0.00000000000000011893
1.001900       0.00000000000000005097
1.002000       -0.00000000000000009344
1.002100       -0.00000000000000019538
1.002200       -0.00000000000000023361
1.002300       -0.00000000000000035678
1.002400       -0.00000000000000037377
1.002500       -0.00000000000000025484
1.002600       -0.00000000000000009769
1.002700       -0.00000000000000017414
1.002800       -0.00000000000000002548
1.002900       -0.00000000000000044173
1.003000       -0.00000000000000014866
1.003100       -0.00000000000000018688
1.003200       -0.00000000000000017839
1.003300       -0.00000000000000064135
1.003400       -0.00000000000000016990
1.003500       -0.00000000000000025909
1.003600       -0.00000000000000024635
1.003700       -0.00000000000000002973
1.003800       -0.00000000000000014866
1.003900       -0.00000000000000025484
1.004000       -0.00000000000000043748
1.004100       0.00000000000000032280
1.004200       -0.00000000000000022511
1.004300       -0.00000000000000025909
1.004400       0.00000000000000005522
1.004500       0.00000000000000002548
1.004600       -0.00000000000000017414
1.004700       -0.00000000000000020812
1.004800       -0.00000000000000025909
1.004900       -0.00000000000000012317
1.005000       -0.00000000000000027183
1.005100       -0.00000000000000005946
1.005200       -0.00000000000000003398
1.005300       -0.00000000000000013592
1.005400       -0.00000000000000019113
1.005500       0.00000000000000000849
1.005600       -0.00000000000000039076
1.005700       -0.00000000000000067109
1.005800       0.00000000000000001699
1.005900       -0.00000000000000007221
1.006000       -0.00000000000000009769
1.006100       -0.00000000000000017839
1.006200       -0.00000000000000011893
1.006300       0.00000000000000001274
1.006400       0.00000000000000000425
1.006500       -0.00000000000000004247
1.006600       -0.00000000000000013167
1.006700       -0.00000000000000024210
1.006800       -0.00000000000000039925
1.006900       -0.00000000000000020812
1.007000       -0.00000000000000039501
1.007100       -0.00000000000000011893
1.007200       -0.00000000000000042474
1.007300       -0.00000000000000005946
1.007400       -0.00000000000000001699
1.007500       -0.00000000000000037377
1.007600       -0.00000000000000014441
1.007700       -0.00000000000000019113
1.007800       0.00000000000000003398
1.007900       -0.00000000000000070506
1.008000       -0.00000000000000026758
1.008100       -0.00000000000000016990
1.008200       -0.00000000000000023361
1.008300       -0.00000000000000007645
1.008400       -0.00000000000000007645
1.008500       -0.00000000000000028457
1.008600       -0.00000000000000029732
