# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0002495635       0.0000000000       0.0012708950       0.0000000000
0.0000000000       0.0002495024       -0.0000045444       0.0012708339       -0.0000045444
0.0000000000       0.0002493191       -0.0000090846       0.0012706506       -0.0000090846
0.0000000000       0.0002490140       -0.0000136165       0.0012703455       -0.0000136165
0.0000000000       0.0002485873       -0.0000181359       0.0012699188       -0.0000181359
0.0000000000       0.0002480397       -0.0000226386       0.0012693713       -0.0000226386
0.0000000000       0.0002473719       -0.0000271206       0.0012687035       -0.0000271206
0.0000000000       0.0002465848       -0.0000315777       0.0012679163       -0.0000315777
0.0000000000       0.0002456794       -0.0000360059       0.0012670109       -0.0000360059
0.0000000000       0.0002446568       -0.0000404013       0.0012659883       -0.0000404013
0.0000000000       0.0002435185       -0.0000447598       0.0012648500       -0.0000447598
0.0000000000       0.0002422658       -0.0000490776       0.0012635974       -0.0000490776
0.0000000000       0.0002409006       -0.0000533509       0.0012622321       -0.0000533509
0.0000000000       0.0002394244       -0.0000575759       0.0012607559       -0.0000575759
0.0000000000       0.0002378393       -0.0000617490       0.0012591708       -0.0000617490
0.0000000000       0.0002361473       -0.0000658664       0.0012574788       -0.0000658664
0.0000000000       0.0002343506       -0.0000699248       0.0012556821       -0.0000699248
0.0000000000       0.0002324515       -0.0000739207       0.0012537830       -0.0000739207
0.0000000000       0.0002304525       -0.0000778508       0.0012517840       -0.0000778508
0.0000000000       0.0002283561       -0.0000817118       0.0012496876       -0.0000817118
0.0000000000       0.0002261651       -0.0000855006       0.0012474966       -0.0000855006
0.0000000000       0.0002238823       -0.0000892143       0.0012452138       -0.0000892143
0.0000000000       0.0002215105       -0.0000928500       0.0012428420       -0.0000928500
0.0000000000       0.0002190529       -0.0000964048       0.0012403844       -0.0000964048
0.0000000000       0.0002165124       -0.0000998762       0.0012378439       -0.0000998762
0.0000000000       0.0002138924       -0.0001032616       0.0012352239       -0.0001032616
0.0000000000       0.0002111961       -0.0001065586       0.0012325276       -0.0001065586
0.0000000000       0.0002084269       -0.0001097651       0.0012297584       -0.0001097651
0.0000000000       0.0002055883       -0.0001128788       0.0012269199       -0.0001128788
0.0000000000       0.0002026839       -0.0001158978       0.0012240154       -0.0001158978
0.0000000000       0.0001997171       -0.0001188204       0.0012210486       -0.0001188204
0.0000000000       0.0001966917       -0.0001216447       0.0012180232       -0.0001216447
0.0000000000       0.0001936114       -0.0001243693       0.0012149429       -0.0001243693
0.0000000000       0.0001904800       -0.0001269928       0.0012118115       -0.0001269928
0.0000000000       0.0001873012       -0.0001295140       0.0012086327       -0.0001295140
0.0000000000       0.0001840788       -0.0001319317       0.0012054103       -0.0001319317
0.0000000000       0.0001808168       -0.0001342452       0.0012021484       -0.0001342452
0.0000000000       0.0001775191       -0.0001364535       0.0011988506       -0.0001364535
0.0000000000       0.0001741895       -0.0001385561       0.0011955210       -0.0001385561
0.0000000000       0.0001708319       -0.0001405524       0.0011921634       -0.0001405524
0.0000000000       0.0001674502       -0.0001424424       0.0011887818       -0.0001424424
0.0000000000       0.0001640485       -0.0001442256       0.0011853800       -0.0001442256
0.0000000000       0.0001606304       -0.0001459023       0.0011819620       -0.0001459023
0.0000000000       0.0001572001       -0.0001474724       0.0011785316       -0.0001474724
0.0000000000       0.0001537612       -0.0001489364       0.0011750927       -0.0001489364
0.0000000000       0.0001503176       -0.0001502947       0.0011716491       -0.0001502947
0.0000000000       0.0001468732       -0.0001515478       0.0011682047       -0.0001515478
0.0000000000       0.0001434316       -0.0001526967       0.0011647632       -0.0001526967
0.0000000000       0.0001399967       -0.0001537421       0.0011613282       -0.0001537421
0.0000000000       0.0001365719       -0.0001546851       0.0011579034       -0.0001546851
0.0000000000       0.0001331610       -0.0001555269       0.0011544925       -0.0001555269
0.0000000000       0.0001297675       -0.0001562689       0.0011510990       -0.0001562689
0.0000000000       0.0001263948       -0.0001569124       0.0011477263       -0.0001569124
0.0000000000       0.0001230463       -0.0001574591       0.0011443778       -0.0001574591
0.0000000000       0.0001197253       -0.0001579106       0.0011410568       -0.0001579106
0.0000000000       0.0001164350       -0.0001582689       0.0011377665       -0.0001582689
0.0000000000       0.0001131786       -0.0001585359       0.0011345101       -0.0001585359
0.0000000000       0.0001099591       -0.0001587137       0.0011312906       -0.0001587137
0.0000000000       0.0001067794       -0.0001588043       0.0011281109       -0.0001588043
0.0000000000       0.0001036424       -0.0001588103       0.0011249739       -0.0001588103
0.0000000000       0.0001005507       -0.0001587338       0.0011218822       -0.0001587338
0.0000000000       0.0000975071       -0.0001585775       0.0011188386       -0.0001585775
0.0000000000       0.0000945139       -0.0001583440       0.0011158454       -0.0001583440
0.0000000000       0.0000915736       -0.0001580358       0.0011129052       -0.0001580358
0.0000000000       0.0000886885       -0.0001576557       0.0011100200       -0.0001576557
0.0000000000       0.0000858605       -0.0001572066       0.0011071921       -0.0001572066
0.0000000000       0.0000830919       -0.0001566914       0.0011044234       -0.0001566914
0.0000000000       0.0000803843       -0.0001561130       0.0011017159       -0.0001561130
0.0000000000       0.0000777397       -0.0001554745       0.0010990712       -0.0001554745
0.0000000000       0.0000751594       -0.0001547789       0.0010964910       -0.0001547789
0.0000000000       0.0000726452       -0.0001540294       0.0010939767       -0.0001540294
0.0000000000       0.0000701981       -0.0001532291       0.0010915296       -0.0001532291
0.0000000000       0.0000678196       -0.0001523812       0.0010891511       -0.0001523812
0.0000000000       0.0000655105       -0.0001514890       0.0010868420       -0.0001514890
0.0000000000       0.0000632718       -0.0001505558       0.0010846034       -0.0001505558
0.0000000000       0.0000611044       -0.0001495847       0.0010824359       -0.0001495847
0.0000000000       0.0000590087       -0.0001485792       0.0010803402       -0.0001485792
0.0000000000       0.0000569853       -0.0001475424       0.0010783168       -0.0001475424
0.0000000000       0.0000550346       -0.0001464777       0.0010763661       -0.0001464777
0.0000000000       0.0000531567       -0.0001453884       0.0010744882       -0.0001453884
0.0000000000       0.0000513517       -0.0001442777       0.0010726832       -0.0001442777
0.0000000000       0.0000496196       -0.0001431489       0.0010709511       -0.0001431489
0.0000000000       0.0000479600       -0.0001420052       0.0010692915       -0.0001420052
