# Frequency w         I(w)
1.000000       -0.00000000831116432904
1.000100       -0.00000000831156262514
1.000200       -0.00000000831196062463
1.000300       -0.00000000831236021896
1.000400       -0.00000000831275825188
1.000500       -0.00000000831315749893
1.000600       -0.00000000831355643974
1.000700       -0.00000000831395538289
1.000800       -0.00000000831435451146
1.000900       -0.00000000831475393356
1.001000       -0.00000000831515339004
1.001100       -0.00000000831555456774
1.001200       -0.00000000831595510375
1.001300       -0.00000000831635504551
1.001400       -0.00000000831675535031
1.001500       -0.00000000831715622789
1.001600       -0.00000000831755746600
1.001700       -0.00000000831795909480
1.001800       -0.00000000831835934569
1.001900       -0.00000000831876045841
1.002000       -0.00000000831916175628
1.002100       -0.00000000831956413905
1.002200       -0.00000000831996638558
1.002300       -0.00000000832036926951
1.002400       -0.00000000832077141497
1.002500       -0.00000000832117386688
1.002600       -0.00000000832157708244
1.002700       -0.00000000832198059878
1.002800       -0.00000000832238413715
1.002900       -0.00000000832278637665
1.003000       -0.00000000832318961678
1.003100       -0.00000000832359303411
1.003200       -0.00000000832399618230
1.003300       -0.00000000832440186181
1.003400       -0.00000000832480679905
1.003500       -0.00000000832521110348
1.003600       -0.00000000832561587073
1.003700       -0.00000000832602050768
1.003800       -0.00000000832642578475
1.003900       -0.00000000832683156258
1.004000       -0.00000000832723678266
1.004100       -0.00000000832764178613
1.004200       -0.00000000832804674688
1.004300       -0.00000000832845311576
1.004400       -0.00000000832885955524
1.004500       -0.00000000832926664394
1.004600       -0.00000000832967364564
1.004700       -0.00000000833008003886
1.004800       -0.00000000833048703936
1.004900       -0.00000000833089430903
1.005000       -0.00000000833130153683
1.005100       -0.00000000833170993772
1.005200       -0.00000000833211637081
1.005300       -0.00000000833252224090
1.005400       -0.00000000833293214408
1.005500       -0.00000000833334060421
1.005600       -0.00000000833374968639
1.005700       -0.00000000833415844193
1.005800       -0.00000000833456723956
1.005900       -0.00000000833497615025
1.006000       -0.00000000833538551490
1.006100       -0.00000000833579506315
1.006200       -0.00000000833620337957
1.006300       -0.00000000833661346427
1.006400       -0.00000000833702328734
1.006500       -0.00000000833743357470
1.006600       -0.00000000833784419197
1.006700       -0.00000000833825520512
1.006800       -0.00000000833866571569
1.006900       -0.00000000833907680288
1.007000       -0.00000000833948706067
1.007100       -0.00000000833989938293
1.007200       -0.00000000834031100142
1.007300       -0.00000000834072297599
1.007400       -0.00000000834113390381
1.007500       -0.00000000834154537929
1.007600       -0.00000000834195733316
1.007700       -0.00000000834236915912
1.007800       -0.00000000834278392012
1.007900       -0.00000000834319673630
1.008000       -0.00000000834360952045
1.008100       -0.00000000834402345458
1.008200       -0.00000000834443604344
1.008300       -0.00000000834485019434
1.008400       -0.00000000834526305729
1.008500       -0.00000000834567675215
1.008600       -0.00000000834609077457
1.008700       -0.00000000834650513063
1.008800       -0.00000000834691969937
1.008900       -0.00000000834733475435
1.009000       -0.00000000834774967005
1.009100       -0.00000000834816470045
1.009200       -0.00000000834857938118
1.009300       -0.00000000834899566239
1.009400       -0.00000000834941089327
1.009500       -0.00000000834982603984
1.009600       -0.00000000835024235646
1.009700       -0.00000000835065841240
1.009800       -0.00000000835107426339
1.009900       -0.00000000835149183760
1.010000       -0.00000000835190866826
1.010100       -0.00000000835232582635
1.010200       -0.00000000835274294407
1.010300       -0.00000000835316068591
1.010400       -0.00000000835357843020
1.010500       -0.00000000835399580078
1.010600       -0.00000000835441325564
1.010700       -0.00000000835483214439
1.010800       -0.00000000835524889903
1.010900       -0.00000000835566711961
1.011000       -0.00000000835608680739
1.011100       -0.00000000835650512920
1.011200       -0.00000000835692360231
1.011300       -0.00000000835734357668
1.011400       -0.00000000835776297138
1.011500       -0.00000000835818234190
1.011600       -0.00000000835860262747
1.011700       -0.00000000835902170923
1.011800       -0.00000000835944191702
1.011900       -0.00000000835986241105
1.012000       -0.00000000836028337116
1.012100       -0.00000000836070365574
1.012200       -0.00000000836112464907
1.012300       -0.00000000836154578946
1.012400       -0.00000000836196751329
1.012500       -0.00000000836238817366
1.012600       -0.00000000836281076687
1.012700       -0.00000000836323255114
1.012800       -0.00000000836365417390
1.012900       -0.00000000836407637667
1.013000       -0.00000000836449885828
1.013100       -0.00000000836492122011
1.013200       -0.00000000836534402583
1.013300       -0.00000000836576714036
1.013400       -0.00000000836618954576
1.013500       -0.00000000836661265097
1.013600       -0.00000000836703702788
1.013700       -0.00000000836746081106
1.013800       -0.00000000836788488211
1.013900       -0.00000000836830839669
1.014000       -0.00000000836873139783
1.014100       -0.00000000836915751630
1.014200       -0.00000000836958162342
1.014300       -0.00000000837000680922
1.014400       -0.00000000837043175569
1.014500       -0.00000000837085686421
1.014600       -0.00000000837128261195
1.014700       -0.00000000837170894456
1.014800       -0.00000000837213484844
1.014900       -0.00000000837256062628
1.015000       -0.00000000837298606423
1.015100       -0.00000000837341207838
1.015200       -0.00000000837383894691
1.015300       -0.00000000837426602084
1.015400       -0.00000000837469276906
1.015500       -0.00000000837511897922
1.015600       -0.00000000837554659262
1.015700       -0.00000000837597436251
1.015800       -0.00000000837640237569
1.015900       -0.00000000837683025097
1.016000       -0.00000000837725843395
1.016100       -0.00000000837768574064
1.016200       -0.00000000837811404583
1.016300       -0.00000000837854371203
1.016400       -0.00000000837897234415
1.016500       -0.00000000837940119393
1.016600       -0.00000000837982950866
1.016700       -0.00000000838025886131
1.016800       -0.00000000838068872302
1.016900       -0.00000000838111941320
1.017000       -0.00000000838154929463
1.017100       -0.00000000838197900997
1.017200       -0.00000000838240882365
