# Time    F_t_Re (QM_E17)      F_t_Im (QM_E17)       F_t_Re_erf       F_t_Im_erf  
0.00000000000000000000        1.000000        0.000000         0.463623         -0.000314     
0.00000000000000100000        0.999532        -0.012628         0.463156         -0.012942     
0.00000000000000200000        0.998132        -0.025207         0.461756         -0.025520     
0.00000000000000300000        0.995806        -0.037685         0.459430         -0.037999     
0.00000000000000400000        0.992566        -0.050016         0.456189         -0.050330     
0.00000000000000500000        0.988428        -0.062151         0.452051         -0.062465     
0.00000000000000600000        0.983411        -0.074044         0.447035         -0.074358     
0.00000000000000700000        0.977542        -0.085651         0.441165         -0.085965     
0.00000000000000800000        0.970847        -0.096931         0.434471         -0.097245     
0.00000000000000900000        0.963359        -0.107844         0.426983         -0.108157     
0.00000000000001000000        0.955113        -0.118353         0.418737         -0.118667     
0.00000000000001100000        0.946148        -0.128426         0.409771         -0.128740     
0.00000000000001200000        0.936503        -0.138033         0.400126         -0.138347     
0.00000000000001300000        0.926221        -0.147146         0.389845         -0.147460     
0.00000000000001400000        0.915349        -0.155742         0.378972         -0.156056     
0.00000000000001500000        0.903931        -0.163802         0.367555         -0.164116     
0.00000000000001600000        0.892016        -0.171310         0.355639         -0.171624     
0.00000000000001700000        0.879651        -0.178252         0.343275         -0.178566     
0.00000000000001800000        0.866886        -0.184621         0.330509         -0.184935     
0.00000000000001900000        0.853768        -0.190411         0.317391         -0.190725     
0.00000000000002000000        0.840345        -0.195619         0.303969         -0.195933     
0.00000000000002100000        0.826666        -0.200247         0.290290         -0.200561     
0.00000000000002200000        0.812778        -0.204299         0.276401         -0.204613     
0.00000000000002300000        0.798724        -0.207782         0.262347         -0.208096     
0.00000000000002400000        0.784550        -0.210706         0.248173         -0.211020     
0.00000000000002500000        0.770298        -0.213082         0.233921         -0.213396     
0.00000000000002600000        0.756008        -0.214926         0.219631         -0.215240     
0.00000000000002700000        0.741719        -0.216253         0.205342         -0.216567     
0.00000000000002800000        0.727467        -0.217082         0.191091         -0.217396     
0.00000000000002900000        0.713287        -0.217433         0.176911         -0.217746     
0.00000000000003000000        0.699211        -0.217325         0.162834         -0.217639     
0.00000000000003100000        0.685267        -0.216781         0.148891         -0.217095     
0.00000000000003200000        0.671484        -0.215825         0.135108         -0.216139     
0.00000000000003300000        0.657886        -0.214478         0.121510         -0.214792     
0.00000000000003400000        0.644497        -0.212764         0.108120         -0.213078     
0.00000000000003500000        0.631336        -0.210708         0.094959         -0.211022     
