# Frequency w         I(w)
1.500000       -0.00000434387580557403
1.500100       -0.00000434448107184959
1.500200       -0.00000434508651699792
1.500300       -0.00000434569214857704
1.500400       -0.00000434629796416647
1.500500       -0.00000434690397084146
1.500600       -0.00000434751015579522
1.500700       -0.00000434811652621963
1.500800       -0.00000434872308466540
1.500900       -0.00000434932982867484
1.501000       -0.00000434993676198665
1.501100       -0.00000435054387472805
1.501200       -0.00000435115117375863
1.501300       -0.00000435175866287411
1.501400       -0.00000435236633439377
1.501500       -0.00000435297419267342
1.501600       -0.00000435358223728020
1.501700       -0.00000435419046747751
1.501800       -0.00000435479888631501
1.501900       -0.00000435540748857328
1.502000       -0.00000435601627840375
1.502100       -0.00000435662525534094
1.502200       -0.00000435723441664599
1.502300       -0.00000435784376669264
1.502400       -0.00000435845330499458
1.502500       -0.00000435906304557811
1.502600       -0.00000435967293563350
1.502700       -0.00000436028303250561
1.502800       -0.00000436089331531808
1.502900       -0.00000436150378615266
1.503000       -0.00000436211444435547
1.503100       -0.00000436272528866723
1.503200       -0.00000436333632290754
1.503300       -0.00000436394754178029
1.503400       -0.00000436455894972651
1.503500       -0.00000436517054146608
1.503600       -0.00000436578232485658
1.503700       -0.00000436639429405429
1.503800       -0.00000436700645322501
1.503900       -0.00000436761879752772
1.504000       -0.00000436823133333898
1.504100       -0.00000436884405261484
1.504200       -0.00000436945696080601
1.504300       -0.00000437007006006814
1.504400       -0.00000437068334670932
1.504500       -0.00000437129682031696
1.504600       -0.00000437191048420820
1.504700       -0.00000437252433263486
1.504800       -0.00000437313837131379
1.504900       -0.00000437375259823800
1.505000       -0.00000437436701637533
1.505100       -0.00000437498162370118
1.505200       -0.00000437559641870315
1.505300       -0.00000437621140001286
1.505400       -0.00000437682657314297
1.505500       -0.00000437744193156706
1.505600       -0.00000437805748455395
1.505700       -0.00000437867322539300
1.505800       -0.00000437928915565206
1.505900       -0.00000437990527172006
1.506000       -0.00000438052158001601
1.506100       -0.00000438113807743936
1.506200       -0.00000438175476587824
1.506300       -0.00000438237164488449
1.506400       -0.00000438298870826350
1.506500       -0.00000438360596758285
1.506600       -0.00000438422341360522
1.506700       -0.00000438484105302987
1.506800       -0.00000438545887421873
1.506900       -0.00000438607689370774
1.507000       -0.00000438669510270561
1.507100       -0.00000438731349759600
1.507200       -0.00000438793208615012
1.507300       -0.00000438855086534304
1.507400       -0.00000438916983372819
1.507500       -0.00000438978899384368
1.507600       -0.00000439040834491122
1.507700       -0.00000439102788599583
1.507800       -0.00000439164761603745
1.507900       -0.00000439226753993587
1.508000       -0.00000439288765567163
1.508100       -0.00000439350795931888
1.508200       -0.00000439412845811044
1.508300       -0.00000439474914462268
1.508400       -0.00000439537002665393
1.508500       -0.00000439599109360870
1.508600       -0.00000439661235793297
1.508700       -0.00000439723381066689
1.508800       -0.00000439785545631067
1.508900       -0.00000439847729481123
1.509000       -0.00000439909932249289
1.509100       -0.00000439972154471602
1.509200       -0.00000440034395482684
1.509300       -0.00000440096656176513
1.509400       -0.00000440158936472970
1.509500       -0.00000440221234865019
1.509600       -0.00000440283553326040
1.509700       -0.00000440345890683700
1.509800       -0.00000440408247507987
1.509900       -0.00000440470623393712
1.510000       -0.00000440533018562248
1.510100       -0.00000440595432889078
1.510200       -0.00000440657866520724
1.510300       -0.00000440720319987636
1.510400       -0.00000440782792327519
1.510500       -0.00000440845283933788
1.510600       -0.00000440907795039181
1.510700       -0.00000440970325367607
1.510800       -0.00000441032874961465
1.510900       -0.00000441095443956400
1.511000       -0.00000441158032194686
1.511100       -0.00000441220639875827
1.511200       -0.00000441283267393118
1.511300       -0.00000441345913365827
1.511400       -0.00000441408579038010
1.511500       -0.00000441471264071104
1.511600       -0.00000441533968804871
1.511700       -0.00000441596692791129
1.511800       -0.00000441659436303037
1.511900       -0.00000441722198919622
1.512000       -0.00000441784981138961
1.512100       -0.00000441847783034674
1.512200       -0.00000441910603804842
1.512300       -0.00000441973445013323
1.512400       -0.00000442036304659183
1.512500       -0.00000442099184100357
1.512600       -0.00000442162082950956
1.512700       -0.00000442225001518165
1.512800       -0.00000442287939509312
1.512900       -0.00000442350896922405
1.513000       -0.00000442413873665135
1.513100       -0.00000442476870334514
1.513200       -0.00000442539886304628
1.513300       -0.00000442602922144452
1.513400       -0.00000442665976946176
1.513500       -0.00000442729051689153
1.513600       -0.00000442792145750042
1.513700       -0.00000442855259747570
1.513800       -0.00000442918392988386
1.513900       -0.00000442981545851244
1.514000       -0.00000443044718194488
1.514100       -0.00000443107910084518
1.514200       -0.00000443171122141686
1.514300       -0.00000443234353311771
1.514400       -0.00000443297604174994
1.514500       -0.00000443360875147860
1.514600       -0.00000443424165393817
1.514700       -0.00000443487475214168
1.514800       -0.00000443550804840834
1.514900       -0.00000443614154448516
1.515000       -0.00000443677523024641
1.515100       -0.00000443740911447996
1.515200       -0.00000443804319725632
1.515300       -0.00000443867747637291
1.515400       -0.00000443931195251390
1.515500       -0.00000443994662800882
1.515600       -0.00000444058149916355
1.515700       -0.00000444121656671411
1.515800       -0.00000444185183132836
1.515900       -0.00000444248729650804
1.516000       -0.00000444312295585277
1.516100       -0.00000444375881511302
1.516200       -0.00000444439487087296
1.516300       -0.00000444503112364305
1.516400       -0.00000444566757852584
1.516500       -0.00000444630422862943
1.516600       -0.00000444694107309369
1.516700       -0.00000444757812174851
1.516800       -0.00000444821536568450
1.516900       -0.00000444885280700055
1.517000       -0.00000444949044947017
1.517100       -0.00000445012828519434
1.517200       -0.00000445076632732851
1.517300       -0.00000445140456292129
1.517400       -0.00000445204299869986
1.517500       -0.00000445268163517535
1.517600       -0.00000445332046812984
1.517700       -0.00000445395949960246
1.517800       -0.00000445459873221653
1.517900       -0.00000445523816277099
1.518000       -0.00000445587779392082
1.518100       -0.00000445651762690014
1.518200       -0.00000445715765286117
1.518300       -0.00000445779787856433
1.518400       -0.00000445843830793191
1.518500       -0.00000445907893430730
1.518600       -0.00000445971975861974
1.518700       -0.00000446036079171609
1.518800       -0.00000446100201714596
1.518900       -0.00000446164344220225
1.519000       -0.00000446228506965405
1.519100       -0.00000446292689675455
1.519200       -0.00000446356892477376
1.519300       -0.00000446421115267891
1.519400       -0.00000446485357982281
1.519500       -0.00000446549621002445
1.519600       -0.00000446613904999425
1.519700       -0.00000446678207027067
1.519800       -0.00000446742530160159
1.519900       -0.00000446806873282150
1.520000       -0.00000446871236599427
1.520100       -0.00000446935619777979
1.520200       -0.00000447000023622748
1.520300       -0.00000447064447004049
1.520400       -0.00000447128890931157
1.520500       -0.00000447193354777857
1.520600       -0.00000447257838761324
1.520700       -0.00000447322342912665
1.520800       -0.00000447386867441483
1.520900       -0.00000447451411709583
1.521000       -0.00000447515976544468
1.521100       -0.00000447580561551468
1.521200       -0.00000447645166718287
1.521300       -0.00000447709791949569
1.521400       -0.00000447774437493875
1.521500       -0.00000447839103216816
1.521600       -0.00000447903789236149
1.521700       -0.00000447968495375043
1.521800       -0.00000448033221903734
1.521900       -0.00000448097968626488
1.522000       -0.00000448162735651484
1.522100       -0.00000448227522991433
1.522200       -0.00000448292330398793
1.522300       -0.00000448357158620653
1.522400       -0.00000448422006128496
1.522500       -0.00000448486874894710
1.522600       -0.00000448551763720862
1.522700       -0.00000448616672960753
1.522800       -0.00000448681602276737
1.522900       -0.00000448746552300032
1.523000       -0.00000448811522384898
1.523100       -0.00000448876512672208
1.523200       -0.00000448941523582069
1.523300       -0.00000449006555075551
1.523400       -0.00000449071606708899
1.523500       -0.00000449136678717625
1.523600       -0.00000449201771182145
1.523700       -0.00000449266884376062
1.523800       -0.00000449332017412949
1.523900       -0.00000449397170944688
