# FQM_w,     FQM_I,     DCL_I,     ACL_I
-20.000000       -0.000304       0.004929       -0.000212
-19.990000       -0.000304       0.001763       -0.000213
-19.980000       -0.000304       -0.001567       -0.000213
-19.970000       -0.000303       -0.004763       -0.000213
-19.960000       -0.000303       -0.007539       -0.000213
-19.950000       -0.000301       -0.009647       -0.000212
-19.940000       -0.000300       -0.010899       -0.000211
-19.930000       -0.000297       -0.011184       -0.000209
-19.920000       -0.000295       -0.010474       -0.000206
-19.910000       -0.000292       -0.008835       -0.000204
-19.900000       -0.000289       -0.006411       -0.000201
-19.890000       -0.000286       -0.003420       -0.000198
-19.880000       -0.000283       -0.000129       -0.000195
-19.870000       -0.000280       0.003169       -0.000192
-19.860000       -0.000277       0.006179       -0.000190
-19.850000       -0.000275       0.008632       -0.000188
-19.840000       -0.000274       0.010309       -0.000187
-19.830000       -0.000273       0.011060       -0.000187
-19.820000       -0.000272       0.010818       -0.000186
-19.810000       -0.000272       0.009604       -0.000187
-19.800000       -0.000272       0.007528       -0.000187
-19.790000       -0.000272       0.004774       -0.000188
-19.780000       -0.000272       0.001588       -0.000189
-19.770000       -0.000272       -0.001745       -0.000189
-19.760000       -0.000272       -0.004928       -0.000190
-19.750000       -0.000271       -0.007675       -0.000190
-19.740000       -0.000270       -0.009742       -0.000189
-19.730000       -0.000268       -0.010944       -0.000188
-19.720000       -0.000266       -0.011173       -0.000186
-19.710000       -0.000264       -0.010408       -0.000183
-19.700000       -0.000261       -0.008719       -0.000181
-19.690000       -0.000258       -0.006255       -0.000178
-19.680000       -0.000255       -0.003236       -0.000175
-19.670000       -0.000252       0.000067       -0.000172
-19.660000       -0.000249       0.003360       -0.000170
-19.650000       -0.000247       0.006349       -0.000168
-19.640000       -0.000245       0.008767       -0.000166
-19.630000       -0.000244       0.010397       -0.000165
-19.620000       -0.000243       0.011095       -0.000165
-19.610000       -0.000243       0.010797       -0.000165
-19.600000       -0.000243       0.009530       -0.000165
-19.590000       -0.000243       0.007407       -0.000166
-19.580000       -0.000243       0.004618       -0.000167
-19.570000       -0.000243       0.001412       -0.000168
-19.560000       -0.000243       -0.001926       -0.000168
-19.550000       -0.000243       -0.005095       -0.000169
-19.540000       -0.000243       -0.007815       -0.000169
-19.530000       -0.000242       -0.009841       -0.000168
-19.520000       -0.000240       -0.010992       -0.000167
-19.510000       -0.000238       -0.011166       -0.000165
-19.500000       -0.000236       -0.010346       -0.000163
-19.490000       -0.000233       -0.008606       -0.000160
-19.480000       -0.000230       -0.006101       -0.000158
-19.470000       -0.000228       -0.003054       -0.000155
-19.460000       -0.000225       0.000262       -0.000152
-19.450000       -0.000222       0.003551       -0.000150
-19.440000       -0.000220       0.006520       -0.000148
-19.430000       -0.000219       0.008903       -0.000147
-19.420000       -0.000217       0.010487       -0.000146
-19.410000       -0.000217       0.011131       -0.000145
-19.400000       -0.000216       0.010777       -0.000146
-19.390000       -0.000216       0.009456       -0.000146
-19.380000       -0.000217       0.007287       -0.000147
-19.370000       -0.000217       0.004462       -0.000148
-19.360000       -0.000217       0.001234       -0.000149
-19.350000       -0.000218       -0.002108       -0.000150
-19.340000       -0.000218       -0.005266       -0.000150
-19.330000       -0.000217       -0.007958       -0.000150
-19.320000       -0.000216       -0.009943       -0.000150
-19.310000       -0.000215       -0.011044       -0.000149
-19.300000       -0.000213       -0.011162       -0.000147
-19.290000       -0.000211       -0.010287       -0.000145
-19.280000       -0.000208       -0.008495       -0.000142
-19.270000       -0.000206       -0.005948       -0.000140
-19.260000       -0.000203       -0.002873       -0.000137
-19.250000       -0.000200       0.000457       -0.000135
-19.240000       -0.000198       0.003743       -0.000132
-19.230000       -0.000196       0.006693       -0.000130
-19.220000       -0.000194       0.009041       -0.000129
-19.210000       -0.000193       0.010579       -0.000128
-19.200000       -0.000193       0.011170       -0.000128
-19.190000       -0.000193       0.010759       -0.000129
-19.180000       -0.000193       0.009383       -0.000129
-19.170000       -0.000193       0.007166       -0.000130
-19.160000       -0.000194       0.004305       -0.000131
-19.150000       -0.000194       0.001055       -0.000132
