# FQM_w,     FQM_I,     DCL_I,     ACL_I
-20.000000       -0.004731       -0.014060       -0.003091
-19.990000       -0.004719       -0.015171       -0.003082
-19.980000       -0.004708       -0.015036       -0.003072
-19.970000       -0.004696       -0.013667       -0.003063
-19.960000       -0.004685       -0.011187       -0.003053
-19.950000       -0.004674       -0.007816       -0.003044
-19.940000       -0.004662       -0.003856       -0.003035
-19.930000       -0.004651       0.000339       -0.003025
-19.920000       -0.004640       0.004396       -0.003016
-19.910000       -0.004628       0.007952       -0.003007
-19.900000       -0.004617       0.010691       -0.002997
-19.890000       -0.004606       0.012370       -0.002988
-19.880000       -0.004595       0.012839       -0.002979
-19.870000       -0.004584       0.012058       -0.002970
-19.860000       -0.004573       0.010099       -0.002961
-19.850000       -0.004562       0.007136       -0.002952
-19.840000       -0.004551       0.003437       -0.002942
-19.830000       -0.004540       -0.000668       -0.002933
-19.820000       -0.004529       -0.004812       -0.002924
-19.810000       -0.004519       -0.008624       -0.002915
-19.800000       -0.004508       -0.011763       -0.002906
-19.790000       -0.004497       -0.013949       -0.002897
-19.780000       -0.004486       -0.014987       -0.002888
-19.770000       -0.004475       -0.014784       -0.002879
-19.760000       -0.004464       -0.013359       -0.002870
-19.750000       -0.004453       -0.010839       -0.002862
-19.740000       -0.004443       -0.007449       -0.002853
-19.730000       -0.004432       -0.003492       -0.002844
-19.720000       -0.004421       0.000678       -0.002835
-19.710000       -0.004410       0.004691       -0.002826
-19.700000       -0.004400       0.008187       -0.002817
-19.690000       -0.004389       0.010856       -0.002809
-19.680000       -0.004378       0.012459       -0.002800
-19.670000       -0.004368       0.012856       -0.002791
-19.660000       -0.004357       0.012012       -0.002782
-19.650000       -0.004347       0.010003       -0.002774
-19.640000       -0.004336       0.007009       -0.002765
-19.630000       -0.004326       0.003299       -0.002756
-19.620000       -0.004315       -0.000794       -0.002748
-19.610000       -0.004305       -0.004905       -0.002739
-19.600000       -0.004294       -0.008667       -0.002731
-19.590000       -0.004284       -0.011742       -0.002722
-19.580000       -0.004273       -0.013857       -0.002713
-19.570000       -0.004263       -0.014822       -0.002705
-19.560000       -0.004253       -0.014551       -0.002696
-19.550000       -0.004242       -0.013070       -0.002688
-19.540000       -0.004232       -0.010509       -0.002680
-19.530000       -0.004222       -0.007099       -0.002671
-19.520000       -0.004211       -0.003143       -0.002663
-19.510000       -0.004201       0.001005       -0.002654
-19.500000       -0.004191       0.004975       -0.002646
-19.490000       -0.004181       0.008414       -0.002638
-19.480000       -0.004170       0.011015       -0.002629
-19.470000       -0.004160       0.012545       -0.002621
-19.460000       -0.004150       0.012871       -0.002613
-19.450000       -0.004140       0.011963       -0.002604
-19.440000       -0.004130       0.009904       -0.002596
-19.430000       -0.004120       0.006878       -0.002588
-19.420000       -0.004110       0.003156       -0.002580
-19.410000       -0.004099       -0.000928       -0.002572
-19.400000       -0.004089       -0.005009       -0.002563
-19.390000       -0.004079       -0.008722       -0.002555
-19.380000       -0.004069       -0.011736       -0.002547
-19.370000       -0.004059       -0.013781       -0.002539
-19.360000       -0.004050       -0.014674       -0.002531
-19.350000       -0.004040       -0.014337       -0.002523
-19.340000       -0.004030       -0.012799       -0.002515
-19.330000       -0.004020       -0.010197       -0.002507
-19.320000       -0.004010       -0.006765       -0.002499
-19.310000       -0.004000       -0.002808       -0.002491
-19.300000       -0.003990       0.001320       -0.002483
-19.290000       -0.003980       0.005251       -0.002475
-19.280000       -0.003971       0.008635       -0.002467
-19.270000       -0.003961       0.011169       -0.002459
-19.260000       -0.003951       0.012628       -0.002451
-19.250000       -0.003941       0.012883       -0.002443
-19.240000       -0.003932       0.011912       -0.002436
-19.230000       -0.003922       0.009802       -0.002428
-19.220000       -0.003912       0.006742       -0.002420
-19.210000       -0.003903       0.003008       -0.002412
-19.200000       -0.003893       -0.001069       -0.002404
-19.190000       -0.003883       -0.005121       -0.002397
-19.180000       -0.003874       -0.008789       -0.002389
-19.170000       -0.003864       -0.011743       -0.002381
-19.160000       -0.003855       -0.013720       -0.002373
-19.150000       -0.003845       -0.014543       -0.002366
-19.140000       -0.003836       -0.014139       -0.002358
-19.130000       -0.003826       -0.012544       -0.002350
-19.120000       -0.003817       -0.009901       -0.002343
-19.110000       -0.003807       -0.006445       -0.002335
-19.100000       -0.003798       -0.002485       -0.002328
-19.090000       -0.003788       0.001625       -0.002320
-19.080000       -0.003779       0.005519       -0.002313
-19.070000       -0.003770       0.008849       -0.002305
-19.060000       -0.003760       0.011319       -0.002297
-19.050000       -0.003751       0.012708       -0.002290
-19.040000       -0.003742       0.012893       -0.002283
-19.030000       -0.003732       0.011859       -0.002275
-19.020000       -0.003723       0.009697       -0.002268
-19.010000       -0.003714       0.006604       -0.002260
-19.000000       -0.003704       0.002854       -0.002253
-18.990000       -0.003695       -0.001216       -0.002245
-18.980000       -0.003686       -0.005243       -0.002238
-18.970000       -0.003677       -0.008867       -0.002231
-18.960000       -0.003668       -0.011763       -0.002223
-18.950000       -0.003659       -0.013673       -0.002216
-18.940000       -0.003649       -0.014427       -0.002209
-18.930000       -0.003640       -0.013957       -0.002201
-18.920000       -0.003631       -0.012305       -0.002194
-18.910000       -0.003622       -0.009618       -0.002187
-18.900000       -0.003613       -0.006137       -0.002180
-18.890000       -0.003604       -0.002173       -0.002172
-18.880000       -0.003595       0.001922       -0.002165
-18.870000       -0.003586       0.005780       -0.002158
-18.860000       -0.003577       0.009059       -0.002151
-18.850000       -0.003568       0.011465       -0.002144
-18.840000       -0.003559       0.012785       -0.002137
-18.830000       -0.003550       0.012901       -0.002130
-18.820000       -0.003541       0.011803       -0.002122
-18.810000       -0.003533       0.009591       -0.002115
-18.800000       -0.003524       0.006461       -0.002108
-18.790000       -0.003515       0.002695       -0.002101
-18.780000       -0.003506       -0.001371       -0.002094
-18.770000       -0.003497       -0.005374       -0.002087
-18.760000       -0.003489       -0.008955       -0.002080
-18.750000       -0.003480       -0.011795       -0.002073
-18.740000       -0.003471       -0.013639       -0.002066
-18.730000       -0.003462       -0.014324       -0.002059
-18.720000       -0.003454       -0.013788       -0.002052
-18.710000       -0.003445       -0.012078       -0.002045
-18.700000       -0.003436       -0.009348       -0.002039
-18.690000       -0.003428       -0.005841       -0.002032
-18.680000       -0.003419       -0.001870       -0.002025
-18.670000       -0.003410       0.002210       -0.002018
-18.660000       -0.003402       0.006035       -0.002011
-18.650000       -0.003393       0.009264       -0.002004
-18.640000       -0.003385       0.011609       -0.001997
-18.630000       -0.003376       0.012861       -0.001991
-18.620000       -0.003368       0.012908       -0.001984
-18.610000       -0.003359       0.011747       -0.001977
-18.600000       -0.003351       0.009482       -0.001970
-18.590000       -0.003342       0.006316       -0.001964
-18.580000       -0.003334       0.002532       -0.001957
-18.570000       -0.003325       -0.001532       -0.001950
-18.560000       -0.003317       -0.005512       -0.001944
-18.550000       -0.003308       -0.009053       -0.001937
-18.540000       -0.003300       -0.011837       -0.001930
-18.530000       -0.003292       -0.013617       -0.001924
-18.520000       -0.003283       -0.014234       -0.001917
-18.510000       -0.003275       -0.013631       -0.001910
-18.500000       -0.003267       -0.011864       -0.001904
-18.490000       -0.003258       -0.009089       -0.001897
-18.480000       -0.003250       -0.005554       -0.001891
-18.470000       -0.003242       -0.001575       -0.001884
-18.460000       -0.003234       0.002492       -0.001878
-18.450000       -0.003225       0.006285       -0.001871
-18.440000       -0.003217       0.009466       -0.001865
-18.430000       -0.003209       0.011750       -0.001858
-18.420000       -0.003201       0.012935       -0.001852
-18.410000       -0.003193       0.012913       -0.001845
-18.400000       -0.003185       0.011689       -0.001839
-18.390000       -0.003177       0.009371       -0.001832
-18.380000       -0.003168       0.006167       -0.001826
-18.370000       -0.003160       0.002364       -0.001819
-18.360000       -0.003152       -0.001699       -0.001813
-18.350000       -0.003144       -0.005658       -0.001807
-18.340000       -0.003136       -0.009159       -0.001800
-18.330000       -0.003128       -0.011890       -0.001794
-18.320000       -0.003120       -0.013606       -0.001788
-18.310000       -0.003112       -0.014155       -0.001781
-18.300000       -0.003104       -0.013486       -0.001775
-18.290000       -0.003096       -0.011660       -0.001769
-18.280000       -0.003089       -0.008839       -0.001763
-18.270000       -0.003081       -0.005276       -0.001756
-18.260000       -0.003073       -0.001288       -0.001750
-18.250000       -0.003065       0.002768       -0.001744
-18.240000       -0.003057       0.006532       -0.001738
-18.230000       -0.003049       0.009665       -0.001731
-18.220000       -0.003041       0.011890       -0.001725
-18.210000       -0.003034       0.013007       -0.001719
-18.200000       -0.003026       0.012918       -0.001713
-18.190000       -0.003018       0.011629       -0.001707
-18.180000       -0.003010       0.009258       -0.001701
-18.170000       -0.003003       0.006016       -0.001694
-18.160000       -0.002995       0.002192       -0.001688
-18.150000       -0.002987       -0.001871       -0.001682
-18.140000       -0.002980       -0.005810       -0.001676
-18.130000       -0.002972       -0.009274       -0.001670
-18.120000       -0.002964       -0.011952       -0.001664
-18.110000       -0.002957       -0.013606       -0.001658
-18.100000       -0.002949       -0.014086       -0.001652
-18.090000       -0.002941       -0.013351       -0.001646
-18.080000       -0.002934       -0.011466       -0.001640
-18.070000       -0.002926       -0.008599       -0.001634
-18.060000       -0.002919       -0.005006       -0.001628
-18.050000       -0.002911       -0.001007       -0.001622
-18.040000       -0.002904       0.003040       -0.001616
-18.030000       -0.002896       0.006774       -0.001610
-18.020000       -0.002889       0.009862       -0.001604
-18.010000       -0.002881       0.012028       -0.001598
-18.000000       -0.002874       0.013079       -0.001592
-17.990000       -0.002866       0.012921       -0.001587
-17.980000       -0.002859       0.011569       -0.001581
-17.970000       -0.002852       0.009143       -0.001575
-17.960000       -0.002844       0.005861       -0.001569
-17.950000       -0.002837       0.002016       -0.001563
-17.940000       -0.002830       -0.002049       -0.001557
-17.930000       -0.002822       -0.005970       -0.001552
-17.920000       -0.002815       -0.009397       -0.001546
-17.910000       -0.002808       -0.012023       -0.001540
-17.900000       -0.002800       -0.013614       -0.001534
-17.890000       -0.002793       -0.014027       -0.001528
-17.880000       -0.002786       -0.013226       -0.001523
-17.870000       -0.002779       -0.011281       -0.001517
-17.860000       -0.002771       -0.008366       -0.001511
-17.850000       -0.002764       -0.004742       -0.001506
-17.840000       -0.002757       -0.000731       -0.001500
-17.830000       -0.002750       0.003308       -0.001494
-17.820000       -0.002743       0.007014       -0.001489
-17.810000       -0.002736       0.010057       -0.001483
-17.800000       -0.002729       0.012165       -0.001477
-17.790000       -0.002721       0.013150       -0.001472
-17.780000       -0.002714       0.012924       -0.001466
-17.770000       -0.002707       0.011507       -0.001460
-17.760000       -0.002700       0.009027       -0.001455
-17.750000       -0.002693       0.005704       -0.001449
-17.740000       -0.002686       0.001836       -0.001444
-17.730000       -0.002679       -0.002232       -0.001438
-17.720000       -0.002672       -0.006136       -0.001432
-17.710000       -0.002665       -0.009527       -0.001427
-17.700000       -0.002658       -0.012102       -0.001421
-17.690000       -0.002651       -0.013631       -0.001416
-17.680000       -0.002644       -0.013977       -0.001410
-17.670000       -0.002638       -0.013108       -0.001405
-17.660000       -0.002631       -0.011103       -0.001399
-17.650000       -0.002624       -0.008140       -0.001394
-17.640000       -0.002617       -0.004484       -0.001388
-17.630000       -0.002610       -0.000460       -0.001383
-17.620000       -0.002603       0.003572       -0.001378
-17.610000       -0.002596       0.007252       -0.001372
-17.600000       -0.002590       0.010251       -0.001367
-17.590000       -0.002583       0.012302       -0.001361
-17.580000       -0.002576       0.013221       -0.001356
-17.570000       -0.002569       0.012926       -0.001351
-17.560000       -0.002563       0.011445       -0.001345
-17.550000       -0.002556       0.008909       -0.001340
-17.540000       -0.002549       0.005544       -0.001334
