# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
0.000000      1.000000      -0.000000      1.000000      -0.000000      1.000000      -0.000000
0.100000      0.977590      -0.071050      0.982585      -0.073832      0.982763      -0.071426
0.200000      0.919336      -0.121661      0.934723      -0.141270      0.937167      -0.124021
0.300000      0.844932      -0.143759      0.867132      -0.198465      0.876951      -0.149207
0.400000      0.771948      -0.142024      0.791708      -0.244904      0.815042      -0.149953
0.500000      0.709708      -0.126214      0.717469      -0.282415      0.759140      -0.135006
0.600000      0.660600      -0.104864      0.649305      -0.313650      0.712174      -0.113051
0.700000      0.623496      -0.083282      0.588728      -0.341003      0.674366      -0.090077
0.800000      0.596165      -0.064038      0.535240      -0.366177      0.644802      -0.069263
0.900000      0.576385      -0.048007      0.487455      -0.390171      0.622222      -0.051825
1.000000      0.562294      -0.035189      0.443792      -0.413435      0.605346      -0.037883
1.100000      0.552438      -0.025211      0.402812      -0.436050      0.593013      -0.027063
1.200000      0.545710      -0.017587      0.363348      -0.457876      0.584224      -0.018828
1.300000      0.541281      -0.011841      0.324519      -0.478653      0.578153      -0.012648
1.400000      0.538534      -0.007559      0.285703      -0.498071      0.574139      -0.008059
1.500000      0.537010      -0.004400      0.246496      -0.515811      0.571663      -0.004684
1.600000      0.536370      -0.002092      0.206662      -0.531567      0.570323      -0.002225
1.700000      0.536361      -0.000426      0.166101      -0.545065      0.569811      -0.000453
1.800000      0.536797      0.000761      0.124811      -0.556062      0.569896      0.000807
1.900000      0.537543      0.001590      0.082869      -0.564355      0.570404      0.001687
2.000000      0.538495      0.002154      0.040406      -0.569778      0.571204      0.002285
2.100000      0.539581      0.002523      -0.002405      -0.572202      0.572201      0.002675
2.200000      0.540745      0.002748      -0.045362      -0.571532      0.573321      0.002913
2.300000      0.541948      0.002868      -0.088243      -0.567705      0.574515      0.003040
2.400000      0.543162      0.002912      -0.130812      -0.560693      0.575742      0.003086
2.500000      0.544366      0.002902      -0.172826      -0.550492      0.576976      0.003075
2.600000      0.545546      0.002853      -0.214040      -0.537129      0.578197      0.003024
2.700000      0.546692      0.002779      -0.254210      -0.520655      0.579392      0.002945
2.800000      0.547797      0.002687      -0.293093      -0.501144      0.580552      0.002847
2.900000      0.548859      0.002584      -0.330454      -0.478693      0.581670      0.002738
3.000000      0.549875      0.002474      -0.366067      -0.453421      0.582742      0.002622
3.100000      0.550844      0.002363      -0.399715      -0.425464      0.583768      0.002504
3.200000      0.551766      0.002251      -0.431192      -0.394978      0.584746      0.002385
3.300000      0.552642      0.002140      -0.460307      -0.362134      0.585677      0.002268
3.400000      0.553474      0.002032      -0.486881      -0.327118      0.586562      0.002154
3.500000      0.554263      0.001928      -0.510753      -0.290132      0.587402      0.002044
3.600000      0.555010      0.001829      -0.531777      -0.251386      0.588199      0.001938
3.700000      0.555719      0.001733      -0.549823      -0.211104      0.588954      0.001837
3.800000      0.556390      0.001643      -0.564780      -0.169518      0.589670      0.001741
3.900000      0.557026      0.001557      -0.576557      -0.126868      0.590348      0.001650
4.000000      0.557629      0.001476      -0.585078      -0.083401      0.590991      0.001564
4.100000      0.558200      0.001399      -0.590291      -0.039367      0.591600      0.001482
4.200000      0.558741      0.001326      -0.592158      0.004979      0.592178      0.001406
4.300000      0.559254      0.001258      -0.590666      0.049380      0.592725      0.001333
4.400000      0.559741      0.001194      -0.585819      0.093582      0.593245      0.001265
4.500000      0.560203      0.001133      -0.577639      0.137328      0.593738      0.001201
4.600000      0.560642      0.001076      -0.566172      0.180367      0.594206      0.001140
4.700000      0.561059      0.001022      -0.551478      0.222449      0.594651      0.001084
4.800000      0.561455      0.000972      -0.533638      0.263333      0.595074      0.001030
4.900000      0.561832      0.000924      -0.512753      0.302782      0.595476      0.000980
5.000000      0.562190      0.000880      -0.488938      0.340570      0.595858      0.000932
5.100000      0.562531      0.000838      -0.462326      0.376478      0.596222      0.000888
5.200000      0.562856      0.000798      -0.433069      0.410300      0.596569      0.000846
5.300000      0.563166      0.000761      -0.401330      0.441841      0.596899      0.000806
5.400000      0.563462      0.000725      -0.367288      0.470919      0.597214      0.000769
5.500000      0.563743      0.000692      -0.331137      0.497366      0.597514      0.000734
5.600000      0.564012      0.000661      -0.293079      0.521029      0.597801      0.000700
5.700000      0.564269      0.000631      -0.253330      0.541773      0.598075      0.000669
5.800000      0.564515      0.000603      -0.212116      0.559477      0.598337      0.000640
5.900000      0.564750      0.000577      -0.169669      0.574038      0.598587      0.000612
6.000000      0.564974      0.000552      -0.126230      0.585371      0.598826      0.000585
6.100000      0.565189      0.000529      -0.082045      0.593411      0.599055      0.000560
6.200000      0.565395      0.000506      -0.037364      0.598109      0.599275      0.000537
6.300000      0.565593      0.000485      0.007560      0.599437      0.599485      0.000514
6.400000      0.565782      0.000465      0.052472      0.597387      0.599686      0.000493
6.500000      0.565963      0.000446      0.097118      0.591966      0.599880      0.000473
6.600000      0.566137      0.000428      0.141244      0.583205      0.600065      0.000454
6.700000      0.566304      0.000411      0.184601      0.571151      0.600243      0.000436
6.800000      0.566465      0.000395      0.226943      0.555872      0.600414      0.000419
6.900000      0.566619      0.000380      0.268030      0.537451      0.600578      0.000402
7.000000      0.566767      0.000365      0.307628      0.515993      0.600736      0.000387
7.100000      0.566910      0.000351      0.345514      0.491616      0.600887      0.000372
7.200000      0.567047      0.000338      0.381472      0.464457      0.601034      0.000358
7.300000      0.567179      0.000325      0.415298      0.434670      0.601174      0.000345
7.400000      0.567306      0.000313      0.446801      0.402420      0.601309      0.000332
7.500000      0.567429      0.000302      0.475801      0.367890      0.601440      0.000320
7.600000      0.567547      0.000291      0.502135      0.331274      0.601566      0.000308
7.700000      0.567661      0.000281      0.525651      0.292776      0.601687      0.000298
7.800000      0.567771      0.000271      0.546217      0.252616      0.601804      0.000287
7.900000      0.567877      0.000261      0.563716      0.211017      0.601916      0.000277
8.000000      0.567979      0.000252      0.578047      0.168215      0.602025      0.000267
8.100000      0.568078      0.000244      0.589129      0.124451      0.602130      0.000258
8.200000      0.568174      0.000235      0.596899      0.079972      0.602232      0.000250
8.300000      0.568266      0.000228      0.601311      0.035027      0.602330      0.000241
8.400000      0.568355      0.000220      0.602340      -0.010129      0.602425      0.000233
8.500000      0.568442      0.000213      0.599979      -0.055242      0.602517      0.000226
8.600000      0.568525      0.000206      0.594241      -0.100058      0.602606      0.000218
8.700000      0.568606      0.000199      0.585156      -0.144323      0.602692      0.000211
8.800000      0.568684      0.000193      0.572776      -0.187789      0.602775      0.000205
8.900000      0.568760      0.000187      0.557169      -0.230210      0.602855      0.000198
9.000000      0.568833      0.000181      0.538423      -0.271347      0.602933      0.000192
9.100000      0.568904      0.000175      0.516642      -0.310967      0.603009      0.000186
9.200000      0.568973      0.000170      0.491949      -0.348847      0.603082      0.000180
9.300000      0.569040      0.000165      0.464482      -0.384773      0.603153      0.000175
9.400000      0.569105      0.000160      0.434395      -0.418542      0.603222      0.000170
9.500000      0.569168      0.000155      0.401857      -0.449965      0.603289      0.000165
9.600000      0.569229      0.000151      0.367051      -0.478862      0.603354      0.000160
9.700000      0.569288      0.000146      0.330173      -0.505072      0.603416      0.000155
9.800000      0.569346      0.000142      0.291429      -0.528445      0.603478      0.000151
9.900000      0.569401      0.000138      0.251038      -0.548850      0.603537      0.000146
10.000000      0.569456      0.000134      0.209227      -0.566172      0.603595      0.000142
10.100000      0.569508      0.000130      0.166231      -0.580311      0.603651      0.000138
10.200000      0.569560      0.000127      0.122293      -0.591189      0.603705      0.000134
10.300000      0.569609      0.000123      0.077658      -0.598743      0.603758      0.000130
10.400000      0.569658      0.000120      0.032579      -0.602930      0.603809      0.000127
10.500000      0.569705      0.000116      -0.012691      -0.603726      0.603860      0.000123
10.600000      0.569751      0.000113      -0.057897      -0.601127      0.603908      0.000120
10.700000      0.569796      0.000110      -0.102785      -0.595145      0.603956      0.000117
10.800000      0.569839      0.000107      -0.147101      -0.585815      0.604002      0.000114
10.900000      0.569881      0.000105      -0.190597      -0.573189      0.604047      0.000111
11.000000      0.569923      0.000102      -0.233027      -0.557336      0.604091      0.000108
11.100000      0.569963      0.000099      -0.274152      -0.538347      0.604133      0.000105
11.200000      0.570002      0.000097      -0.313741      -0.516327      0.604175      0.000102
11.300000      0.570040      0.000094      -0.351571      -0.491400      0.604215      0.000100
11.400000      0.570077      0.000092      -0.387428      -0.463706      0.604255      0.000097
11.500000      0.570113      0.000090      -0.421111      -0.433400      0.604293      0.000095
11.600000      0.570149      0.000087      -0.452430      -0.400653      0.604331      0.000093
11.700000      0.570183      0.000085      -0.481208      -0.365648      0.604367      0.000090
11.800000      0.570217      0.000083      -0.507283      -0.328583      0.604403      0.000088
11.900000      0.570249      0.000081      -0.530508      -0.289665      0.604438      0.000086
12.000000      0.570281      0.000079      -0.550752      -0.249114      0.604472      0.000084
12.100000      0.570313      0.000077      -0.567901      -0.207157      0.604505      0.000082
12.200000      0.570343      0.000075      -0.581858      -0.164031      0.604537      0.000080
12.300000      0.570373      0.000074      -0.592544      -0.119978      0.604569      0.000078
12.400000      0.570402      0.000072      -0.599899      -0.075245      0.604599      0.000076
12.500000      0.570430      0.000070      -0.603881      -0.030085      0.604630      0.000074
12.600000      0.570458      0.000069      -0.604467      0.015249      0.604659      0.000073
12.700000      0.570485      0.000067      -0.601653      0.060502      0.604688      0.000071
12.800000      0.570512      0.000066      -0.595456      0.105418      0.604716      0.000069
12.900000      0.570537      0.000064      -0.585910      0.149746      0.604743      0.000068
13.000000      0.570563      0.000063      -0.573068      0.193236      0.604770      0.000066
13.100000      0.570588      0.000061      -0.557002      0.235643      0.604797      0.000065
13.200000      0.570612      0.000060      -0.537803      0.276728      0.604822      0.000064
13.300000      0.570635      0.000059      -0.515577      0.316260      0.604847      0.000062
13.400000      0.570659      0.000057      -0.490450      0.354018      0.604872      0.000061
13.500000      0.570681      0.000056      -0.462563      0.389787      0.604896      0.000059
13.600000      0.570703      0.000055      -0.432073      0.423368      0.604920      0.000058
13.700000      0.570725      0.000054      -0.399151      0.454570      0.604943      0.000057
13.800000      0.570746      0.000053      -0.363982      0.483219      0.604965      0.000056
13.900000      0.570767      0.000052      -0.326763      0.509152      0.604987      0.000055
14.000000      0.570787      0.000050      -0.287704      0.532224      0.605009      0.000053
14.100000      0.570807      0.000049      -0.247025      0.552304      0.605030      0.000052
14.200000      0.570827      0.000048      -0.204953      0.569281      0.605051      0.000051
14.300000      0.570846      0.000047      -0.161726      0.583057      0.605071      0.000050
14.400000      0.570865      0.000046      -0.117587      0.593556      0.605091      0.000049
14.500000      0.570883      0.000045      -0.072784      0.600717      0.605110      0.000048
14.600000      0.570901      0.000045      -0.027569      0.604501      0.605129      0.000047
14.700000      0.570919      0.000044      0.017804      0.604886      0.605148      0.000046
14.800000      0.570936      0.000043      0.063080      0.601870      0.605166      0.000045
