# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
0.000000      1.000000      -0.000000      1.000000      -0.000000      1.000000      -0.000000
0.100000      0.753085      -0.216338      0.757684      -0.234379      0.762277      -0.218979
0.200000      0.373376      -0.182143      0.357178      -0.244359      0.388954      -0.189742
0.300000      0.166226      -0.086665      0.124984      -0.157500      0.178288      -0.092954
0.400000      0.083801      -0.034587      0.035859      -0.092234      0.091474      -0.037754
0.500000      0.052147      -0.013421      0.004174      -0.058860      0.057146      -0.014708
0.600000      0.040101      -0.004768      -0.010004      -0.042879      0.043723      -0.005199
0.700000      0.036658      -0.000713      -0.020016      -0.034224      0.039640      -0.000771
0.800000      0.037713      0.001512      -0.029868      -0.027360      0.040472      0.001623
0.900000      0.041424      0.002818      -0.040064      -0.018939      0.044213      0.003008
1.000000      0.046669      0.003507      -0.049289      -0.007026      0.049647      0.003731
1.100000      0.052590      0.003717      -0.055293      0.008833      0.055854      0.003948
1.200000      0.058520      0.003574      -0.055806      0.027539      0.062115      0.003793
1.300000      0.064001      0.003208      -0.049374      0.046778      0.067930      0.003405
1.400000      0.068777      0.002737      -0.035825      0.063689      0.073015      0.002905
1.500000      0.072758      0.002247      -0.016296      0.075568      0.077268      0.002386
1.600000      0.075972      0.001792      0.007064      0.080420      0.080708      0.001904
1.700000      0.078501      0.001398      0.031535      0.077243      0.083419      0.001485
1.800000      0.080453      0.001072      0.054280      0.066089      0.085515      0.001139
1.900000      0.081939      0.000811      0.072715      0.047973      0.087110      0.000862
2.000000      0.083055      0.000606      0.084794      0.024676      0.088310      0.000644
2.100000      0.083883      0.000448      0.089190      -0.001500      0.089201      0.000477
2.200000      0.084493      0.000328      0.085386      -0.027995      0.089858      0.000349
2.300000      0.084936      0.000237      0.073689      -0.052254      0.090335      0.000252
2.400000      0.085254      0.000169      0.055164      -0.071968      0.090678      0.000180
2.500000      0.085478      0.000118      0.031516      -0.085283      0.090920      0.000126
2.600000      0.085634      0.000080      0.004915      -0.090955      0.091087      0.000085
2.700000      0.085736      0.000052      -0.022211      -0.088453      0.091199      0.000056
2.800000      0.085801      0.000032      -0.047395      -0.077999      0.091270      0.000034
2.900000      0.085839      0.000017      -0.068359      -0.060536      0.091310      0.000018
3.000000      0.085856      0.000006      -0.083213      -0.037639      0.091330      0.000007
3.100000      0.085859      -0.000001      -0.090623      -0.011367      0.091333      -0.000002
3.200000      0.085852      -0.000007      -0.089927      0.015921      0.091326      -0.000007
3.300000      0.085837      -0.000011      -0.081193      0.041778      0.091311      -0.000011
3.400000      0.085818      -0.000013      -0.065206      0.063892      0.091291      -0.000014
