# Analytical correlation function
# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
0.000000      0.000000      0.000000      1.000000      0.000000      1.000000      0.000000
0.050000      0.000000      0.000000      0.992659      0.033724      0.992659      0.033721
0.100000      0.000000      0.000000      0.970962      0.066050      0.970963      0.066029
0.150000      0.000000      0.000000      0.935864      0.095678      0.935871      0.095612
0.200000      0.000000      0.000000      0.888878      0.121494      0.888898      0.121348
0.250000      0.000000      0.000000      0.831965      0.142642      0.832010      0.142376
0.300000      0.000000      0.000000      0.767394      0.158565      0.767481      0.158145
0.350000      0.000000      0.000000      0.697596      0.169029      0.697741      0.168428
0.400000      0.000000      0.000000      0.625008      0.174108      0.625229      0.173312
0.450000      0.000000      0.000000      0.551936      0.174151      0.552247      0.173162
0.500000      0.000000      0.000000      0.480443      0.169735      0.480854      0.168568
0.550000      0.000000      0.000000      0.412263      0.161593      0.412776      0.160278
0.600000      0.000000      0.000000      0.348752      0.150552      0.349363      0.149128
0.650000      0.000000      0.000000      0.290869      0.137463      0.291568      0.135975
0.700000      0.000000      0.000000      0.239194      0.123144      0.239963      0.121639
0.750000      0.000000      0.000000      0.193955      0.108338      0.194773      0.106861
0.800000      0.000000      0.000000      0.155088      0.093675      0.155932      0.092264
0.850000      0.000000      0.000000      0.122296      0.079657      0.123140      0.078345
0.900000      0.000000      0.000000      0.095108      0.066655      0.095932      0.065464
0.950000      0.000000      0.000000      0.072950      0.054911      0.073733      0.053855
1.000000      0.000000      0.000000      0.055188      0.044555      0.055914      0.043640
1.050000      0.000000      0.000000      0.041180      0.035622      0.041840      0.034845
1.100000      0.000000      0.000000      0.030308      0.028072      0.030894      0.027426
1.150000      0.000000      0.000000      0.022002      0.021813      0.022512      0.021286
1.200000      0.000000      0.000000      0.015754      0.016717      0.016189      0.016295
1.250000      0.000000      0.000000      0.011125      0.012639      0.011490      0.012308
1.300000      0.000000      0.000000      0.007748      0.009430      0.008048      0.009175
1.350000      0.000000      0.000000      0.005321      0.006944      0.005564      0.006751
1.400000      0.000000      0.000000      0.003604      0.005049      0.003796      0.004905
1.450000      0.000000      0.000000      0.002406      0.003624      0.002556      0.003520
1.500000      0.000000      0.000000      0.001583      0.002570      0.001699      0.002495
1.550000      0.000000      0.000000      0.001026      0.001800      0.001114      0.001747
1.600000      0.000000      0.000000      0.000655      0.001246      0.000721      0.001209
1.650000      0.000000      0.000000      0.000412      0.000852      0.000460      0.000827
1.700000      0.000000      0.000000      0.000254      0.000576      0.000289      0.000559
1.750000      0.000000      0.000000      0.000155      0.000385      0.000180      0.000374
1.800000      0.000000      0.000000      0.000092      0.000254      0.000110      0.000247
1.850000      0.000000      0.000000      0.000054      0.000166      0.000066      0.000161
1.900000      0.000000      0.000000      0.000031      0.000107      0.000039      0.000104
1.950000      0.000000      0.000000      0.000017      0.000068      0.000023      0.000067
2.000000      0.000000      0.000000      0.000009      0.000043      0.000013      0.000042
2.050000      0.000000      0.000000      0.000005      0.000027      0.000007      0.000026
2.100000      0.000000      0.000000      0.000002      0.000017      0.000004      0.000016
2.150000      0.000000      0.000000      0.000001      0.000010      0.000002      0.000010
2.200000      0.000000      0.000000      0.000000      0.000006      0.000001      0.000006
2.250000      0.000000      0.000000      0.000000      0.000004      0.000001      0.000004
2.300000      0.000000      0.000000      0.000000      0.000002      0.000000      0.000002
2.350000      0.000000      0.000000      -0.000000      0.000001      0.000000      0.000001
2.400000      0.000000      0.000000      -0.000000      0.000001      0.000000      0.000001
2.450000      0.000000      0.000000      -0.000000      0.000000      0.000000      0.000000
2.500000      0.000000      0.000000      -0.000000      0.000000      0.000000      0.000000
2.550000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.600000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.650000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.700000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.750000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.800000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.850000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.900000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
2.950000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.000000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.050000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.100000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.150000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.200000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.250000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.300000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.350000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.400000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.450000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.500000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.550000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.600000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.650000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.700000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.750000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.800000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.850000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.900000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
3.950000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.000000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.050000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.100000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.150000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.200000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.250000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.300000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.350000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.400000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.450000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.500000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.550000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.600000      0.000000      0.000000      -0.000000      0.000000      -0.000000      0.000000
4.650000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.700000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.750000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.800000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.850000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.900000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
4.950000      0.000000      0.000000      -0.000000      -0.000000      -0.000000      0.000000
