# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-20.000000       0.000108       -0.003643 
-19.980000       -0.003740       -0.003620 
-19.960000       -0.007479       -0.003596 
-19.940000       -0.007649       -0.003572 
-19.920000       -0.004070       -0.003548 
-19.900000       -0.000010       -0.003524 
-19.880000       0.000820       -0.003501 
-19.860000       -0.002324       -0.003478 
-19.840000       -0.006532       -0.003455 
-19.820000       -0.007912       -0.003433 
-19.800000       -0.005174       -0.003410 
-19.780000       -0.000811       -0.003386 
-19.760000       0.001185       -0.003364 
-19.740000       -0.001002       -0.003342 
-19.720000       -0.005342       -0.003320 
-19.700000       -0.007825       -0.003298 
-19.680000       -0.006146       -0.003276 
-19.660000       -0.001826       -0.003253 
-19.640000       0.001183       -0.003231 
-19.620000       0.000134       -0.003210 
-19.600000       -0.003992       -0.003189 
-19.580000       -0.007382       -0.003168 
-19.560000       -0.006898       -0.003147 
-19.540000       -0.002964       -0.003125 
-19.520000       0.000825       -0.003104 
-19.500000       0.001002       -0.003083 
-19.480000       -0.002578       -0.003062 
-19.460000       -0.006606       -0.003042 
-19.440000       -0.007360       -0.003022 
-19.420000       -0.004124       -0.003001 
-19.400000       0.000147       -0.002981 
-19.380000       0.001544       -0.002960 
-19.360000       -0.001201       -0.002941 
-19.340000       -0.005549       -0.002921 
-19.320000       -0.007482       -0.002902 
-19.300000       -0.005204       -0.002882 
-19.280000       -0.000788       -0.002862 
-19.260000       0.001724       -0.002842 
-19.240000       0.000037       -0.002823 
-19.220000       -0.004282       -0.002805 
-19.200000       -0.007246       -0.002786 
-19.180000       -0.006110       -0.002767 
-19.160000       -0.001898       -0.002748 
-19.140000       0.001535       -0.002729 
-19.120000       0.001049       -0.002710 
-19.100000       -0.002895       -0.002692 
-19.080000       -0.006657       -0.002674 
-19.060000       -0.006758       -0.002656 
-19.040000       -0.003086       -0.002638 
-19.020000       0.001001       -0.002619 
-19.000000       0.001762       -0.002601 
-18.980000       -0.001491       -0.002584 
-18.960000       -0.005752       -0.002567 
-18.940000       -0.007087       -0.002549 
-18.920000       -0.004249       -0.002532 
-18.900000       0.000171       -0.002514 
-18.880000       0.002126       -0.002496 
-18.860000       -0.000170       -0.002479 
-18.840000       -0.004593       -0.002463 
-18.820000       -0.007060       -0.002446 
-18.800000       -0.005286       -0.002429 
-18.780000       -0.000882       -0.002412 
-18.760000       0.002118       -0.002395 
-18.740000       0.000969       -0.002379 
-18.720000       -0.003261       -0.002363 
-18.700000       -0.006670       -0.002347 
-18.680000       -0.006105       -0.002331 
-18.660000       -0.002068       -0.002314 
-18.640000       0.001747       -0.002298 
-18.620000       0.001844       -0.002282 
-18.600000       -0.001855       -0.002267 
-18.580000       -0.005936       -0.002252 
-18.560000       -0.006633       -0.002236 
-18.540000       -0.003285       -0.002220 
-18.520000       0.001046       -0.002204 
-18.500000       0.002391       -0.002189 
-18.480000       -0.000476       -0.002174 
-18.460000       -0.004908       -0.002160 
-18.440000       -0.006817       -0.002145 
-18.420000       -0.004429       -0.002130 
-18.400000       0.000077       -0.002114 
-18.380000       0.002572       -0.002099 
-18.360000       0.000772       -0.002085 
-18.340000       -0.003658       -0.002071 
-18.320000       -0.006633       -0.002057 
-18.300000       -0.005401       -0.002042 
-18.280000       -0.001078       -0.002028 
-18.260000       0.002377       -0.002013 
-18.240000       0.001796       -0.001999 
-18.220000       -0.002277       -0.001986 
-18.200000       -0.006087       -0.001972 
-18.180000       -0.006116       -0.001958 
-18.160000       -0.002320       -0.001944 
-18.140000       0.001826       -0.001930 
-18.120000       0.002521       -0.001917 
-18.100000       -0.000866       -0.001904 
-18.080000       -0.005212       -0.001891 
