# time   C_FQM_Re    C_FQM_Im    C_FQM_Re_erf    C_FQM_Im_erf 
0.000000       1.000000       0.000000       0.754536      -0.000003 
0.100000       0.899742       -0.268696       0.654277      -0.268699 
0.200000       0.683580       -0.397118       0.438116      -0.397121 
0.300000       0.486223       -0.388481       0.240759      -0.388484 
0.400000       0.359177       -0.320005       0.113713      -0.320008 
0.500000       0.289328       -0.245683       0.043864      -0.245686 
0.600000       0.252485       -0.183977       0.007021      -0.183980 
0.700000       0.232615       -0.136651       -0.012849      -0.136654 
0.800000       0.221447       -0.101032       -0.024017      -0.101035 
0.900000       0.215008       -0.074221       -0.030456      -0.074224 
1.000000       0.211348       -0.053966       -0.034116      -0.053969 
1.100000       0.209440       -0.038635       -0.036024      -0.038638 
1.200000       0.208686       -0.027042       -0.036779      -0.027045 
1.300000       0.208703       -0.018306       -0.036761      -0.018309 
1.400000       0.209237       -0.011759       -0.036227      -0.011762 
1.500000       0.210107       -0.006888       -0.035357      -0.006891 
1.600000       0.211189       -0.003296       -0.034275      -0.003298 
1.700000       0.212397       -0.000675       -0.033067      -0.000678 
1.800000       0.213670       0.001211       -0.031794      0.001208 
1.900000       0.214968       0.002543       -0.030496      0.002540 
2.000000       0.216262       0.003460       -0.029202      0.003458 
2.100000       0.217533       0.004068       -0.027931      0.004065 
2.200000       0.218771       0.004447       -0.026693      0.004444 
2.300000       0.219966       0.004656       -0.025498      0.004653 
2.400000       0.221115       0.004742       -0.024349      0.004739 
2.500000       0.222214       0.004739       -0.023250      0.004736 
2.600000       0.223263       0.004672       -0.022201      0.004669 
2.700000       0.224262       0.004560       -0.021202      0.004557 
2.800000       0.225211       0.004419       -0.020253      0.004416 
2.900000       0.226112       0.004258       -0.019352      0.004255 
3.000000       0.226967       0.004086       -0.018497      0.004083 
3.100000       0.227776       0.003908       -0.017688      0.003905 
3.200000       0.228543       0.003729       -0.016921      0.003726 
3.300000       0.229269       0.003552       -0.016195      0.003549 
3.400000       0.229956       0.003378       -0.015508      0.003375 
3.500000       0.230606       0.003210       -0.014858      0.003207 
3.600000       0.231222       0.003048       -0.014242      0.003045 
3.700000       0.231805       0.002892       -0.013659      0.002890 
3.800000       0.232357       0.002744       -0.013107      0.002742 
3.900000       0.232880       0.002604       -0.012584      0.002601 
4.000000       0.233376       0.002470       -0.012089      0.002467 
4.100000       0.233845       0.002344       -0.011619      0.002341 
4.200000       0.234291       0.002224       -0.011173      0.002222 
4.300000       0.234714       0.002112       -0.010751      0.002109 
4.400000       0.235115       0.002005       -0.010349      0.002003 
4.500000       0.235496       0.001905       -0.009968      0.001902 
4.600000       0.235858       0.001811       -0.009606      0.001808 
4.700000       0.236202       0.001722       -0.009262      0.001719 
4.800000       0.236530       0.001638       -0.008934      0.001635 
4.900000       0.236842       0.001559       -0.008623      0.001556 
5.000000       0.237138       0.001484       -0.008326      0.001481 
5.100000       0.237421       0.001414       -0.008043      0.001411 
5.200000       0.237691       0.001348       -0.007773      0.001345 
5.300000       0.237948       0.001285       -0.007516      0.001283 
5.400000       0.238193       0.001227       -0.007271      0.001224 
5.500000       0.238428       0.001171       -0.007037      0.001168 
5.600000       0.238651       0.001118       -0.006813      0.001116 
5.700000       0.238865       0.001069       -0.006599      0.001066 
5.800000       0.239070       0.001022       -0.006394      0.001019 
5.900000       0.239266       0.000978       -0.006198      0.000975 
6.000000       0.239453       0.000936       -0.006011      0.000933 
6.100000       0.239633       0.000896       -0.005831      0.000894 
6.200000       0.239805       0.000859       -0.005659      0.000856 
6.300000       0.239970       0.000823       -0.005494      0.000820 
