# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-20.000000       0.003532       -0.001286 
-19.980000       0.002149       -0.001276 
-19.960000       -0.002387       -0.001267 
-19.940000       -0.005901       -0.001258 
-19.920000       -0.005148       -0.001249 
-19.900000       -0.000806       -0.001240 
-19.880000       0.003143       -0.001231 
-19.860000       0.003075       -0.001222 
-19.840000       -0.000948       -0.001213 
-19.820000       -0.005221       -0.001204 
-19.800000       -0.005805       -0.001196 
-19.780000       -0.002149       -0.001187 
-19.760000       0.002399       -0.001178 
-19.740000       0.003663       -0.001170 
-19.720000       0.000482       -0.001161 
-19.700000       -0.004216       -0.001153 
-19.680000       -0.006103       -0.001144 
-19.660000       -0.003431       -0.001136 
-19.640000       0.001358       -0.001128 
-19.620000       0.003867       -0.001120 
-19.600000       0.001792       -0.001111 
-19.580000       -0.002958       -0.001103 
-19.560000       -0.006010       -0.001095 
-19.540000       -0.004545       -0.001087 
-19.520000       0.000105       -0.001079 
-19.500000       0.003673       -0.001071 
-19.480000       0.002881       -0.001064 
-19.460000       -0.001542       -0.001056 
-19.440000       -0.005526       -0.001048 
-19.420000       -0.005396       -0.001040 
-19.400000       -0.001259       -0.001033 
-19.380000       0.003094       -0.001025 
-19.360000       0.003664       -0.001018 
-19.340000       -0.000074       -0.001010 
-19.320000       -0.004680       -0.001003 
-19.300000       -0.005911       -0.000996 
-19.280000       -0.002621       -0.000988 
-19.260000       0.002178       -0.000981 
-19.240000       0.004078       -0.000974 
-19.220000       0.001333       -0.000967 
-19.200000       -0.003533       -0.000959 
-19.180000       -0.006040       -0.000952 
-19.160000       -0.003870       -0.000945 
-19.140000       0.000996       -0.000938 
-19.120000       0.004091       -0.000932 
-19.100000       0.002570       -0.000925 
-19.080000       -0.002170       -0.000918 
-19.060000       -0.005766       -0.000911 
-19.040000       -0.004901       -0.000904 
-19.020000       -0.000357       -0.000898 
-19.000000       0.003699       -0.000891 
-18.980000       0.003538       -0.000884 
-18.960000       -0.000693       -0.000878 
-18.940000       -0.005103       -0.000871 
-18.920000       -0.005627       -0.000865 
-18.900000       -0.001770       -0.000859 
-18.880000       0.002933       -0.000852 
-18.860000       0.004162       -0.000846 
-18.840000       0.000784       -0.000840 
-18.820000       -0.004094       -0.000833 
-18.800000       -0.005981       -0.000827 
-18.780000       -0.003129       -0.000821 
-18.760000       0.001853       -0.000815 
-18.740000       0.004390       -0.000809 
-18.720000       0.002147       -0.000803 
-18.700000       -0.002815       -0.000797 
-18.680000       -0.005930       -0.000791 
-18.660000       -0.004321       -0.000785 
-18.640000       0.000545       -0.000779 
-18.620000       0.004202       -0.000773 
-18.600000       0.003288       -0.000768 
-18.580000       -0.001361       -0.000762 
-18.560000       -0.005468       -0.000756 
-18.540000       -0.005247       -0.000751 
-18.520000       -0.000887       -0.000745 
-18.500000       0.003612       -0.000739 
-18.480000       0.004116       -0.000734 
-18.460000       0.000157       -0.000728 
-18.440000       -0.004625       -0.000723 
-18.420000       -0.005826       -0.000718 
-18.400000       -0.002328       -0.000712 
-18.380000       0.002664       -0.000707 
-18.360000       0.004564       -0.000702 
-18.340000       0.001622       -0.000696 
-18.320000       -0.003460       -0.000691 
-18.300000       -0.006005       -0.000686 
-18.280000       -0.003659       -0.000681 
-18.260000       0.001433       -0.000676 
-18.240000       0.004595       -0.000671 
-18.220000       0.002918       -0.000665 
-18.200000       -0.002061       -0.000660 
-18.180000       -0.005761       -0.000656 
-18.160000       -0.004770       -0.000651 
-18.140000       0.000015       -0.000646 
-18.120000       0.004202       -0.000641 
-18.100000       0.003941       -0.000636 
-18.080000       -0.000533       -0.000631 
-18.060000       -0.005108       -0.000626 
-18.040000       -0.005568       -0.000622 
-18.020000       -0.001477       -0.000617 
-18.000000       0.003415       -0.000612 
-17.980000       0.004610       -0.000608 
-17.960000       0.001006       -0.000603 
-17.940000       -0.004088       -0.000599 
-17.920000       -0.005981       -0.000594 
-17.900000       -0.002920       -0.000590 
-17.880000       0.002293       -0.000585 
-17.860000       0.004868       -0.000581 
-17.840000       0.002435       -0.000576 
-17.820000       -0.002776       -0.000572 
-17.800000       -0.005970       -0.000568 
-17.780000       -0.004198       -0.000563 
-17.760000       0.000923       -0.000559 
-17.740000       0.004692       -0.000555 
-17.720000       0.003640       -0.000550 
-17.700000       -0.001271       -0.000546 
-17.680000       -0.005527       -0.000542 
-17.660000       -0.005204       -0.000538 
-17.640000       -0.000586       -0.000534 
-17.620000       0.004091       -0.000530 
-17.600000       0.004525       -0.000526 
-17.580000       0.000311       -0.000522 
-17.560000       -0.004680       -0.000518 
-17.540000       -0.005851       -0.000514 
-17.520000       -0.002113       -0.000510 
-17.500000       0.003110       -0.000506 
-17.480000       0.005016       -0.000502 
-17.460000       0.001848       -0.000498 
-17.440000       -0.003488       -0.000495 
-17.420000       -0.006081       -0.000491 
-17.400000       -0.003534       -0.000487 
-17.380000       0.001823       -0.000483 
-17.360000       0.005071       -0.000480 
-17.340000       0.003217       -0.000476 
-17.320000       -0.002041       -0.000472 
-17.300000       -0.005867       -0.000469 
-17.280000       -0.004734       -0.000465 
-17.260000       0.000332       -0.000462 
-17.240000       0.004679       -0.000458 
-17.220000       0.004308       -0.000454 
-17.200000       -0.000448       -0.000451 
-17.180000       -0.005219       -0.000448 
-17.160000       -0.005609       -0.000444 
-17.140000       -0.001246       -0.000441 
-17.120000       0.003869       -0.000437 
-17.100000       0.005033       -0.000434 
-17.080000       0.001167       -0.000431 
-17.060000       -0.004179       -0.000427 
-17.040000       -0.006085       -0.000424 
-17.020000       -0.002784       -0.000421 
-17.000000       0.002700       -0.000417 
-16.980000       0.005329       -0.000414 
-16.960000       0.002677       -0.000411 
-16.940000       -0.002824       -0.000408 
-16.920000       -0.006115       -0.000405 
-16.900000       -0.004157       -0.000402 
-16.880000       0.001262       -0.000399 
-16.860000       0.005167       -0.000395 
-16.840000       0.003961       -0.000392 
-16.820000       -0.001256       -0.000389 
-16.800000       -0.005688       -0.000386 
-16.780000       -0.005251       -0.000383 
-16.760000       -0.000332       -0.000380 
-16.740000       0.004555       -0.000377 
-16.720000       0.004914       -0.000375 
-16.700000       0.000405       -0.000372 
-16.680000       -0.004831       -0.000369 
-16.660000       -0.005973       -0.000366 
-16.640000       -0.001956       -0.000363 
-16.620000       0.003538       -0.000360 
-16.600000       0.005457       -0.000357 
-16.580000       0.002029       -0.000355 
-16.560000       -0.003603       -0.000352 
-16.540000       -0.006257       -0.000349 
-16.520000       -0.003479       -0.000346 
-16.500000       0.002190       -0.000344 
-16.480000       0.005541       -0.000341 
-16.460000       0.003486       -0.000338 
-16.440000       -0.002095       -0.000336 
-16.420000       -0.006072       -0.000333 
-16.400000       -0.004776       -0.000331 
-16.380000       0.000616       -0.000328 
-16.360000       0.005154       -0.000325 
-16.340000       0.004659       -0.000323 
-16.320000       -0.000423       -0.000320 
-16.300000       -0.005425       -0.000318 
-16.280000       -0.005738       -0.000315 
-16.260000       -0.001060       -0.000313 
-16.240000       0.004319       -0.000310 
-16.220000       0.005450       -0.000308 
-16.200000       0.001284       -0.000306 
-16.180000       -0.004358       -0.000303 
-16.160000       -0.006282       -0.000301 
-16.140000       -0.002705       -0.000298 
-16.120000       0.003098       -0.000296 
-16.100000       0.005792       -0.000294 
-16.080000       0.002890       -0.000292 
-16.060000       -0.002949       -0.000289 
-16.040000       -0.006355       -0.000287 
