# Temperature (K)   alpha   beta    WidthQM_E17(eV)   FreqShiftQM_E17(eV)
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.000083     0.999999
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.000083     0.999999
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.000083     0.999999
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.239290     1.290240
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.240985     1.290737
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.243674     1.291398
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.000083     0.999999
0.000000     0      10      0.248016     1.292143
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.222292     1.249628
0.000000     0      10      0.251573     1.293053
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.000083     0.999999
0.000000     0      9      0.227090     1.250703
0.000000     0      10      0.254344     1.294459
0.000000     0      1      0.000083     0.999999
0.000000     0      2      0.000083     0.999999
0.000000     0      3      0.000083     0.999999
0.000000     0      4      0.000083     0.999999
0.000000     0      5      0.000083     0.999999
0.000000     0      6      0.000083     0.999999
0.000000     0      7      0.000083     0.999999
0.000000     0      8      0.214393     1.178660
0.000000     0      9      0.236312     1.252523
0.000000     0      10      0.256660     1.296444
0.000000     1      1      0.000083     0.999999
0.000000     1      2      0.000083     0.999999
0.000000     1      3      0.000083     0.999999
0.000000     1      4      0.000083     0.999999
0.000000     1      5      0.000083     0.999999
0.000000     1      6      0.000083     0.999999
0.000000     1      7      0.169232     1.138544
0.000000     1      8      0.211912     1.180645
0.000000     1      9      0.234699     1.255087
0.000000     1      10      0.258521     1.299752
