# time   C_FQM_Re    C_FQM_Im    C_FQM_Re_erf    C_FQM_Im_erf 
0.000000       1.000000       0.000000       1.000000      0.000000 
0.100000       0.938961       0.009196       0.938961      0.009196 
0.200000       0.788413       0.058221       0.788413      0.058221 
0.300000       0.606549       0.139387       0.606549      0.139387 
0.400000       0.428408       0.218809       0.428408      0.218809 
0.500000       0.265535       0.271223       0.265535      0.271223 
0.600000       0.121802       0.287682       0.121802      0.287682 
0.700000       0.000525       0.269783       0.000525      0.269783 
0.800000       -0.095049       0.224080       -0.095049      0.224080 
0.900000       -0.162661       0.158992       -0.162661      0.158992 
1.000000       -0.201617       0.083253       -0.201617      0.083253 
1.100000       -0.212913       0.005116       -0.212913      0.005116 
1.200000       -0.199108       -0.068095       -0.199108      -0.068095 
1.300000       -0.164097       -0.130248       -0.164097      -0.130248 
1.400000       -0.112832       -0.176599       -0.112832      -0.176599 
1.500000       -0.051026       -0.203933       -0.051026      -0.203933 
1.600000       0.015193       -0.210668       0.015193      -0.210668 
1.700000       0.079654       -0.196897       0.079654      -0.196897 
1.800000       0.136548       -0.164351       0.136548      -0.164351 
1.900000       0.180835       -0.116260       0.180835      -0.116260 
2.000000       0.208614       -0.057108       0.208614      -0.057108 
2.100000       0.217434       0.007721       0.217434      0.007721 
2.200000       0.206499       0.072377       0.206499      0.072377 
2.300000       0.176742       0.131032       0.176742      0.131032 
2.400000       0.130756       0.178374       0.130756      0.178374 
2.500000       0.072588       0.210078       0.072588      0.210078 
2.600000       0.007387       0.223190       0.007387      0.223190 
2.700000       -0.059035       0.216401       -0.059035      0.216401 
2.800000       -0.120721       0.190174       -0.120721      0.190174 
2.900000       -0.172097       0.146723       -0.172097      0.146723 
3.000000       -0.208478       0.089821       -0.208478      0.089821 
3.100000       -0.226491       0.024477       -0.226491      0.024477 
3.200000       -0.224395       -0.043506       -0.224395      -0.043506 
3.300000       -0.202242       -0.108050       -0.202242      -0.108050 
3.400000       -0.161891       -0.163348       -0.161891      -0.163348 
3.500000       -0.106845       -0.204386       -0.106845      -0.204386 
3.600000       -0.041952       -0.227405       -0.041952      -0.227405 
3.700000       0.027031       -0.230242       0.027031      -0.230242 
3.800000       0.093946       -0.212536       0.093946      -0.212536 
3.900000       0.152790       -0.175770       0.152790      -0.175770 
4.000000       0.198256       -0.123146       0.198256      -0.123146 
4.100000       0.226213       -0.059303       0.226213      -0.059303 
4.200000       0.234084       0.010091       0.234084      0.010091 
4.300000       0.221083       0.078849       0.221083      0.078849 
4.400000       0.188294       0.140813       0.188294      0.140813 
4.500000       0.138578       0.190415       0.138578      0.190415 
4.600000       0.076327       0.223174       0.076327      0.223174 
4.700000       0.007067       0.236103       0.007067      0.236103 
4.800000       -0.063025       0.227984       -0.063025      0.227984 
4.900000       -0.127684       0.199482       -0.127684      0.199482 
5.000000       -0.181109       0.153089       -0.181109      0.153089 
5.100000       -0.218493       0.092907       -0.218493      0.092907 
5.200000       -0.236451       0.024284       -0.236451      0.024284 
5.300000       -0.233331       -0.046664       -0.233331      -0.046664 
5.400000       -0.209363       -0.113598       -0.209363      -0.113598 
5.500000       -0.166646       -0.170523       -0.166646      -0.170523 
5.600000       -0.108960       -0.212328       -0.108960      -0.212328 
5.700000       -0.041433       -0.235247       -0.041433      -0.235247 
5.800000       0.029915       -0.237193       0.029915      -0.237193 
5.900000       0.098714       -0.217955       0.098714      -0.217955 
6.000000       0.158808       -0.179217       0.158808      -0.179217 
6.100000       0.204809       -0.124410       0.204809      -0.124410 
6.200000       0.232585       -0.058407       0.232585      -0.058407 
6.300000       0.239624       0.012908       0.239624      0.012908 
6.400000       0.225267       0.083167       0.225267      0.083167 
6.500000       0.190769       0.146090       0.190769      0.146090 
6.600000       0.139185       0.196042       0.139185      0.196042 
6.700000       0.075106       0.228542       0.075106      0.228542 
6.800000       0.004243       0.240664       0.004243      0.240664 
6.900000       -0.067078       0.231301       -0.067078      0.231301 
7.000000       -0.132484       0.201265       -0.132484      0.201265 
7.100000       -0.186121       0.153219       -0.186121      0.153219 
7.200000       -0.223186       0.091438       -0.223186      0.091438 
7.300000       -0.240348       0.021429       -0.240348      0.021429 
7.400000       -0.236055       -0.050558       -0.236055      -0.050558 
7.500000       -0.210671       -0.118092       -0.210671      -0.118092 
