#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 40733.680000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999838   -0.00376769
      0.01     0.999354   -0.00752974
     0.015     0.998547   -0.0112807
      0.02     0.997419   -0.0150153
     0.025     0.995972   -0.0187281
      0.03     0.994208   -0.0224139
     0.035      0.99213   -0.0260675
      0.04     0.989741   -0.0296839
     0.045     0.987044    -0.033258
      0.05     0.984043    -0.036785
     0.055     0.980744   -0.0402603
      0.06      0.97715   -0.0436792
     0.065     0.973268   -0.0470375
      0.07     0.969104   -0.0503309
     0.075     0.964662   -0.0535553
      0.08      0.95995   -0.0567071
     0.085     0.954975   -0.0597825
      0.09     0.949744   -0.0627783
     0.095     0.944264   -0.0656911
       0.1     0.938542   -0.0685182
     0.105     0.932588   -0.0712568
      0.11     0.926408   -0.0739043
     0.115     0.920012   -0.0764587
      0.12     0.913407   -0.0789179
     0.125     0.906603   -0.0812801
      0.13     0.899608   -0.0835439
     0.135     0.892432   -0.0857079
      0.14     0.885083   -0.0877713
     0.145      0.87757   -0.0897331
      0.15     0.869902   -0.0915928
     0.155      0.86209   -0.0933501
      0.16     0.854141   -0.0950048
     0.165     0.846065   -0.0965571
      0.17      0.83787   -0.0980074
     0.175     0.829567    -0.099356
      0.18     0.821164    -0.100604
     0.185     0.812669    -0.101752
      0.19     0.804092      -0.1028
     0.195     0.795441    -0.103752
       0.2     0.786724    -0.104607
     0.205      0.77795    -0.105367
      0.21     0.769127    -0.106034
     0.215     0.760263     -0.10661
      0.22     0.751366    -0.107097
     0.225     0.742443    -0.107496
      0.23     0.733502    -0.107811
     0.235     0.724549    -0.108043
      0.24     0.715593    -0.108194
     0.245     0.706638    -0.108267
      0.25     0.697693    -0.108264
     0.255     0.688762    -0.108189
      0.26     0.679853    -0.108042
     0.265     0.670971    -0.107828
      0.27     0.662121    -0.107548
     0.275     0.653309    -0.107206
      0.28      0.64454    -0.106803
     0.285     0.635818    -0.106343
      0.29     0.627148    -0.105827
     0.295     0.618535    -0.105259
       0.3     0.609982    -0.104642
     0.305     0.601493    -0.103977
      0.31     0.593073    -0.103268
     0.315     0.584724    -0.102516
      0.32     0.576449    -0.101725
     0.325     0.568252    -0.100897
      0.33     0.560136    -0.100033
     0.335     0.552102   -0.0991367
      0.34     0.544153   -0.0982101
     0.345     0.536292   -0.0972552
      0.35      0.52852   -0.0962742
     0.355      0.52084   -0.0952693
      0.36     0.513252   -0.0942424
     0.365     0.505758   -0.0931954
      0.37      0.49836   -0.0921302
     0.375     0.491058   -0.0910488
      0.38     0.483854   -0.0899527
     0.385     0.476748   -0.0888437
      0.39     0.469742   -0.0877234
     0.395     0.462835   -0.0865934
       0.4     0.456028   -0.0854551
     0.405     0.449322     -0.08431
      0.41     0.442717   -0.0831594
     0.415     0.436212   -0.0820046
      0.42     0.429807   -0.0808469
     0.425     0.423504   -0.0796874
      0.43     0.417301   -0.0785272
     0.435     0.411197   -0.0773674
      0.44     0.405194    -0.076209
     0.445      0.39929   -0.0750529
      0.45     0.393485   -0.0739001
     0.455     0.387778   -0.0727514
      0.46     0.382168   -0.0716075
     0.465     0.376655   -0.0704692
      0.47     0.371239   -0.0693372
     0.475     0.365917   -0.0682122
      0.48      0.36069   -0.0670948
     0.485     0.355557   -0.0659855
      0.49     0.350516   -0.0648848
     0.495     0.345567   -0.0637933
       0.5     0.340708   -0.0627115
     0.505     0.335938   -0.0616397
      0.51     0.331258   -0.0605783
     0.515     0.326664   -0.0595277
      0.52     0.322156   -0.0584882
     0.525     0.317734     -0.05746
      0.53     0.313395   -0.0564436
     0.535      0.30914    -0.055439
      0.54     0.304965   -0.0544465
     0.545     0.300871   -0.0534664
      0.55     0.296856   -0.0524986
     0.555     0.292919   -0.0515435
      0.56     0.289059    -0.050601
     0.565     0.285274   -0.0496714
      0.57     0.281563   -0.0487546
     0.575     0.277925   -0.0478507
      0.58     0.274359   -0.0469598
     0.585     0.270863   -0.0460819
      0.59     0.267436   -0.0452169
     0.595     0.264078   -0.0443649
       0.6     0.260786   -0.0435259
     0.605      0.25756   -0.0426997
      0.61     0.254399   -0.0418863
     0.615       0.2513   -0.0410857
      0.62     0.248264   -0.0402978
     0.625     0.245288   -0.0395224
      0.63     0.242373   -0.0387595
     0.635     0.239516    -0.038009
      0.64     0.236716   -0.0372707
     0.645     0.233973   -0.0365444
      0.65     0.231285   -0.0358302
     0.655     0.228651   -0.0351277
      0.66      0.22607   -0.0344369
     0.665     0.223541   -0.0337575
      0.67     0.221064   -0.0330895
     0.675     0.218636   -0.0324327
      0.68     0.216258   -0.0317868
     0.685     0.213927   -0.0311518
      0.69     0.211644   -0.0305274
     0.695     0.209406   -0.0299134
       0.7     0.207214   -0.0293097
     0.705     0.205066   -0.0287162
      0.71     0.202962   -0.0281325
     0.715     0.200899   -0.0275586
      0.72     0.198879   -0.0269943
     0.725     0.196899   -0.0264393
      0.73     0.194959   -0.0258936
     0.735     0.193059    -0.025357
      0.74     0.191196   -0.0248293
     0.745     0.189371   -0.0243103
      0.75     0.187583   -0.0237999
     0.755      0.18583    -0.023298
      0.76     0.184113   -0.0228043
     0.765      0.18243   -0.0223188
      0.77      0.18078   -0.0218413
     0.775     0.179164   -0.0213718
      0.78      0.17758     -0.02091
     0.785     0.176028   -0.0204558
      0.79     0.174506   -0.0200092
     0.795     0.173014     -0.01957
       0.8     0.171552   -0.0191382
     0.805     0.170119   -0.0187136
      0.81     0.168715   -0.0182961
     0.815     0.167338   -0.0178857
      0.82     0.165988   -0.0174823
     0.825     0.164664   -0.0170858
      0.83     0.163366    -0.016696
     0.835     0.162094    -0.016313
      0.84     0.160847   -0.0159367
     0.845     0.159623    -0.015567
      0.85     0.158423   -0.0152038
     0.855     0.157247   -0.0148471
      0.86     0.156093   -0.0144968
     0.865     0.154961   -0.0141528
      0.87     0.153851   -0.0138151
     0.875     0.152763   -0.0134836
      0.88     0.151694   -0.0131582
     0.885     0.150647   -0.0128389
      0.89     0.149619   -0.0125257
     0.895      0.14861   -0.0122184
       0.9     0.147621    -0.011917
     0.905      0.14665   -0.0116214
      0.91     0.145697   -0.0113315
     0.915     0.144762   -0.0110473
      0.92     0.143844   -0.0107687
     0.925     0.142944   -0.0104956
      0.93      0.14206    -0.010228
     0.935     0.141193   -0.00996578
      0.94     0.140341   -0.00970883
     0.945     0.139506   -0.0094571
      0.95     0.138685   -0.0092105
     0.955      0.13788   -0.00896895
      0.96     0.137089   -0.00873239
     0.965     0.136313   -0.00850071
      0.97     0.135551   -0.00827385
     0.975     0.134802   -0.00805172
      0.98     0.134067   -0.00783425
     0.985     0.133346   -0.00762134
      0.99     0.132638   -0.00741293
     0.995     0.131942   -0.00720893
         1     0.131259   -0.00700926
     1.005     0.130588   -0.00681386
      1.01     0.129929   -0.00662264
     1.015     0.129282   -0.00643553
