#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 35782.920000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999911   0.00405195
      0.01     0.999643   0.00810179
     0.015     0.999197    0.0121475
      0.02     0.998573     0.016187
     0.025     0.997771    0.0202183
      0.03     0.996791    0.0242394
     0.035     0.995635    0.0282482
      0.04     0.994303    0.0322427
     0.045     0.992795     0.036221
      0.05     0.991113     0.040181
     0.055     0.989257    0.0441207
      0.06     0.987228    0.0480383
     0.065     0.985027    0.0519318
      0.07     0.982656    0.0557993
     0.075     0.980116    0.0596388
      0.08     0.977408    0.0634486
     0.085     0.974533    0.0672267
      0.09     0.971494    0.0709714
     0.095     0.968291    0.0746809
       0.1     0.964927    0.0783533
     0.105     0.961403    0.0819871
      0.11     0.957721    0.0855804
     0.115     0.953882    0.0891316
      0.12      0.94989    0.0926392
     0.125     0.945746    0.0961014
      0.13     0.941452    0.0995167
     0.135     0.937011     0.102884
      0.14     0.932424     0.106201
     0.145     0.927695     0.109467
      0.15     0.922825      0.11268
     0.155     0.917817     0.115839
      0.16     0.912673     0.118943
     0.165     0.907397      0.12199
      0.17     0.901991     0.124979
     0.175     0.896458     0.127909
      0.18     0.890799     0.130779
     0.185     0.885019     0.133588
      0.19      0.87912     0.136335
     0.195     0.873106     0.139018
       0.2     0.866978     0.141637
     0.205      0.86074     0.144191
      0.21     0.854395      0.14668
     0.215     0.847946     0.149101
      0.22     0.841396     0.151455
     0.225     0.834749     0.153741
      0.23     0.828007     0.155959
     0.235     0.821174     0.158107
      0.24     0.814253     0.160185
     0.245     0.807247     0.162192
      0.25     0.800159      0.16413
     0.255     0.792993     0.165995
      0.26     0.785751      0.16779
     0.265     0.778438     0.169513
      0.27     0.771057     0.171164
     0.275      0.76361     0.172742
      0.28     0.756102     0.174249
     0.285     0.748535     0.175683
      0.29     0.740912     0.177045
     0.295     0.733238     0.178335
       0.3     0.725514     0.179552
     0.305     0.717746     0.180697
      0.31     0.709935     0.181771
     0.315     0.702085     0.182773
      0.32       0.6942     0.183703
     0.325     0.686282     0.184562
      0.33     0.678336     0.185351
     0.335     0.670363     0.186069
      0.34     0.662367     0.186717
     0.345     0.654351     0.187296
      0.35     0.646319     0.187806
     0.355     0.638273     0.188247
      0.36     0.630217     0.188621
     0.365     0.622153     0.188928
      0.37     0.614084     0.189168
     0.375     0.606014     0.189342
      0.38     0.597945     0.189452
     0.385      0.58988     0.189498
      0.39     0.581823      0.18948
     0.395     0.573775       0.1894
       0.4     0.565739     0.189258
     0.405     0.557718     0.189055
      0.41     0.549716     0.188793
     0.415     0.541733     0.188472
      0.42     0.533774     0.188093
     0.425      0.52584     0.187658
      0.43     0.517933     0.187166
     0.435     0.510057     0.186621
      0.44     0.502213     0.186021
     0.445     0.494405     0.185369
      0.45     0.486633     0.184666
     0.455       0.4789     0.183912
      0.46     0.471209      0.18311
     0.465      0.46356      0.18226
      0.47     0.455958     0.181363
     0.475     0.448402      0.18042
      0.48     0.440896     0.179433
     0.485      0.43344     0.178404
      0.49     0.426038     0.177332
     0.495     0.418689      0.17622
       0.5     0.411397     0.175068
     0.505     0.404162     0.173879
      0.51     0.396987     0.172652
     0.515     0.389872      0.17139
      0.52     0.382819     0.170094
     0.525     0.375829     0.168764
      0.53     0.368904     0.167403
     0.535     0.362045     0.166011
      0.54     0.355253      0.16459
     0.545     0.348529     0.163141
      0.55     0.341875     0.161665
     0.555      0.33529     0.160163
      0.56     0.328776     0.158637
     0.565     0.322335     0.157088
      0.57     0.315966     0.155517
     0.575     0.309671     0.153926
      0.58      0.30345     0.152314
     0.585     0.297304     0.150685
      0.59     0.291234     0.149038
     0.595      0.28524     0.147376
       0.6     0.279322     0.145699
     0.605     0.273481     0.144008
      0.61     0.267718     0.142304
     0.615     0.262032     0.140589
      0.62     0.256425     0.138864
     0.625     0.250895     0.137129
      0.63     0.245445     0.135386
     0.635     0.240072     0.133636
      0.64     0.234779      0.13188
     0.645     0.229564     0.130119
      0.65     0.224429     0.128353
     0.655     0.219372     0.126584
      0.66     0.214394     0.124814
     0.665     0.209494     0.123041
      0.67     0.204673     0.121269
     0.675      0.19993     0.119496
      0.68     0.195265     0.117725
     0.685     0.190679     0.115957
      0.69     0.186169     0.114191
     0.695     0.181737     0.112429
       0.7     0.177382     0.110672
     0.705     0.173103      0.10892
      0.71       0.1689     0.107174
     0.715     0.164773     0.105435
      0.72     0.160721     0.103703
     0.725     0.156744      0.10198
      0.73      0.15284     0.100265
     0.735      0.14901    0.0985596
      0.74     0.145253    0.0968644
     0.745     0.141568    0.0951798
      0.75     0.137955    0.0935063
     0.755     0.134413    0.0918446
      0.76     0.130942    0.0901951
     0.765      0.12754    0.0885583
      0.77     0.124207    0.0869346
     0.775     0.120942    0.0853247
      0.78     0.117745    0.0837288
     0.785     0.114614    0.0821474
      0.79     0.111549    0.0805809
     0.795      0.10855    0.0790296
       0.8     0.105615    0.0774939
     0.805     0.102744    0.0759742
      0.81     0.099935    0.0744707
     0.815    0.0971882    0.0729837
      0.82    0.0945026    0.0715135
     0.825    0.0918773    0.0700603
      0.83    0.0893113    0.0686244
     0.835     0.086804    0.0672061
      0.84    0.0843543    0.0658054
     0.845    0.0819614    0.0644226
      0.85    0.0796245    0.0630578
     0.855    0.0773427    0.0617113
      0.86    0.0751151     0.060383
     0.865    0.0729409    0.0590732
      0.87    0.0708191     0.057782
     0.875    0.0687489    0.0565094
      0.88    0.0667294    0.0552554
     0.885    0.0647598    0.0540203
      0.89    0.0628391    0.0528039
     0.895    0.0609665    0.0516064
       0.9    0.0591411    0.0504277
     0.905     0.057362    0.0492678
      0.91    0.0556285    0.0481268
     0.915    0.0539396    0.0470046
