#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 4000
#Runtime in seconds    : 11728.480000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999919   3.14405e-05
      0.01     0.999676   6.28276e-05
     0.015     0.999272   9.4152e-05
      0.02     0.998706   0.000125405
     0.025     0.997979   0.000156576
      0.03     0.997091   0.000187658
     0.035     0.996043   0.000218641
      0.04     0.994835   0.000249516
     0.045     0.993467   0.000280274
      0.05     0.991941   0.000310908
     0.055     0.990257   0.000341409
      0.06     0.988416   0.000371768
     0.065     0.986419   0.000401978
      0.07     0.984267   0.00043203
     0.075      0.98196   0.000461917
      0.08     0.979501   0.000491631
     0.085     0.976889   0.000521166
      0.09     0.974127   0.000550513
     0.095     0.971216   0.000579667
       0.1     0.968158   0.00060862
     0.105     0.964952   0.000637365
      0.11     0.961602   0.000665898
     0.115     0.958109   0.000694211
      0.12     0.954475   0.000722299
     0.125       0.9507   0.000750156
      0.13     0.946788   0.000777777
     0.135     0.942739   0.000805156
      0.14     0.938557   0.00083229
     0.145     0.934242   0.000859172
      0.15     0.929796   0.000885799
     0.155     0.925223   0.000912167
      0.16     0.920524   0.00093827
     0.165     0.915701   0.000964106
      0.17     0.910756   0.00098967
     0.175     0.905692   0.00101496
      0.18     0.900511   0.00103997
     0.185     0.895215    0.0010647
      0.19     0.889808   0.00108914
     0.195      0.88429    0.0011133
       0.2     0.878665   0.00113717
     0.205     0.872936   0.00116074
      0.21     0.867104   0.00118401
     0.215     0.861173   0.00120699
      0.22     0.855145   0.00122967
     0.225     0.849022   0.00125204
      0.23     0.842808   0.00127411
     0.235     0.836505   0.00129587
      0.24     0.830115   0.00131732
     0.245     0.823642   0.00133845
      0.25     0.817089   0.00135927
     0.255     0.810457   0.00137977
      0.26      0.80375   0.00139995
     0.265     0.796971   0.00141981
      0.27     0.790123   0.00143935
     0.275     0.783208   0.00145855
      0.28     0.776229   0.00147743
     0.285     0.769189   0.00149597
      0.29      0.76209   0.00151417
     0.295     0.754937   0.00153204
       0.3     0.747731   0.00154956
     0.305     0.740475   0.00156674
      0.31     0.733172   0.00158356
     0.315     0.725826   0.00160004
      0.32     0.718438   0.00161615
     0.325     0.711012   0.00163191
      0.33      0.70355    0.0016473
     0.335     0.696056   0.00166232
      0.34     0.688531   0.00167696
     0.345      0.68098   0.00169122
      0.35     0.673404   0.00170511
     0.355     0.665806    0.0017186
      0.36     0.658189   0.00173169
     0.365     0.650555   0.00174439
      0.37     0.642908   0.00175668
     0.375      0.63525   0.00176856
      0.38     0.627583   0.00178002
     0.385      0.61991   0.00179106
      0.39     0.612234   0.00180166
     0.395     0.604557   0.00181183
       0.4     0.596881   0.00182156
     0.405     0.589209   0.00183084
      0.41     0.581544   0.00183965
     0.415     0.573888   0.00184801
      0.42     0.566243   0.00185589
     0.425     0.558611   0.00186329
      0.43     0.550995   0.00187021
     0.435     0.543397   0.00187664
      0.44     0.535819   0.00188256
     0.445     0.528263   0.00188798
      0.45     0.520732   0.00189288
     0.455     0.513227   0.00189726
      0.46      0.50575   0.00190111
     0.465     0.498304   0.00190442
      0.47     0.490891   0.00190719
     0.475     0.483511   0.00190941
      0.48     0.476168   0.00191107
     0.485     0.468862   0.00191217
      0.49     0.461596   0.00191269
     0.495     0.454371   0.00191264
       0.5     0.447189     0.001912
     0.505     0.440052   0.00191077
      0.51     0.432961   0.00190895
     0.515     0.425917   0.00190653
