#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 40560.230000
#time       real_part      imaginary_part
         0            1            0
     0.005     0.999843   -0.00374421
      0.01     0.999373    -0.007484
     0.015     0.998591   -0.0112141
      0.02     0.997497   -0.0149293
     0.025     0.996094   -0.0186245
      0.03     0.994383   -0.0222946
     0.035     0.992368   -0.0259345
      0.04      0.99005   -0.0295393
     0.045     0.987434   -0.0331041
      0.05     0.984523   -0.0366243
     0.055     0.981321   -0.0400953
      0.06     0.977834   -0.0435125
     0.065     0.974066   -0.0468718
      0.07     0.970023   -0.0501689
     0.075      0.96571   -0.0533999
      0.08     0.961134   -0.0565611
     0.085       0.9563   -0.0596488
      0.09     0.951216   -0.0626598
     0.095     0.945889   -0.0655907
       0.1     0.940325   -0.0684387
     0.105     0.934533   -0.0712009
      0.11      0.92852    -0.073875
     0.115     0.922293   -0.0764585
      0.12     0.915861   -0.0789494
     0.125     0.909232    -0.081346
      0.13     0.902415   -0.0836464
     0.135     0.895417   -0.0858495
      0.14     0.888248    -0.087954
     0.145     0.880916   -0.0899589
      0.15     0.873429   -0.0918637
     0.155     0.865796   -0.0936678
      0.16     0.858027   -0.0953708
     0.165     0.850129   -0.0969729
      0.17     0.842111    -0.098474
     0.175     0.833982   -0.0998746
      0.18     0.825751    -0.101175
     0.185     0.817426    -0.102376
      0.19     0.809014    -0.103479
     0.195     0.800526    -0.104485
       0.2     0.791968    -0.105394
     0.205     0.783349    -0.106209
      0.21     0.774677     -0.10693
     0.215     0.765958    -0.107559
      0.22     0.757202    -0.108099
     0.225     0.748415    -0.108551
      0.23     0.739604    -0.108917
     0.235     0.730777    -0.109199
      0.24      0.72194    -0.109399
     0.245       0.7131     -0.10952
      0.25     0.704263    -0.109564
     0.255     0.695436    -0.109533
      0.26     0.686623     -0.10943
     0.265     0.677832    -0.109256
      0.27     0.669067    -0.109016
     0.275     0.660335    -0.108711
      0.28     0.651639    -0.108343
     0.285     0.642985    -0.107916
      0.29     0.634377    -0.107432
     0.295      0.62582    -0.106893
       0.3     0.617318    -0.106303
     0.305     0.608875    -0.105663
      0.31     0.600494    -0.104976
     0.315      0.59218    -0.104244
      0.32     0.583935    -0.103471
     0.325     0.575763    -0.102658
      0.33     0.567667    -0.101808
     0.335     0.559649    -0.100924
      0.34     0.551712    -0.100007
     0.345     0.543858   -0.0990595
      0.35      0.53609   -0.0980841
     0.355     0.528409   -0.0970828
      0.36     0.520817   -0.0960576
     0.365     0.513316   -0.0950107
      0.37     0.505908   -0.0939438
     0.375     0.498593   -0.0928589
      0.38     0.491374   -0.0917578
     0.385      0.48425   -0.0906423
      0.39     0.477224    -0.089514
     0.395     0.470295   -0.0883746
       0.4     0.463464   -0.0872256
     0.405     0.456732   -0.0860685
      0.41     0.450099   -0.0849047
     0.415     0.443566   -0.0837357
      0.42     0.437133   -0.0825626
     0.425     0.430799   -0.0813867
      0.43     0.424564   -0.0802093
     0.435      0.41843   -0.0790314
      0.44     0.412394   -0.0778541
     0.445     0.406458   -0.0766784
      0.45     0.400619   -0.0755053
     0.455     0.394879   -0.0743356
      0.46     0.389237   -0.0731702
     0.465     0.383691   -0.0720099
      0.47     0.378241   -0.0708555
     0.475     0.372887   -0.0697077
      0.48     0.367627   -0.0685671
     0.485     0.362461   -0.0674344
      0.49     0.357387   -0.0663102
     0.495     0.352405    -0.065195
       0.5     0.347514   -0.0640893
     0.505     0.342713   -0.0629937
      0.51        0.338   -0.0619085
     0.515     0.333375   -0.0608343
      0.52     0.328836   -0.0597713
     0.525     0.324382     -0.05872
      0.53     0.320012   -0.0576806
     0.535     0.315724   -0.0566536
      0.54     0.311518   -0.0556391
     0.545     0.307393   -0.0546375
      0.55     0.303346    -0.053649
     0.555     0.299378   -0.0526737
      0.56     0.295485    -0.051712
     0.565     0.291668   -0.0507639
      0.57     0.287925   -0.0498296
     0.575     0.284255   -0.0489093
      0.58     0.280656    -0.048003
     0.585     0.277128   -0.0471109
      0.59     0.273668    -0.046233
     0.595     0.270276   -0.0453694
       0.6      0.26695   -0.0445201
     0.605      0.26369   -0.0436851
      0.61     0.260494   -0.0428646
     0.615      0.25736   -0.0420583
      0.62     0.254289   -0.0412664
     0.625     0.251278   -0.0404887
      0.63     0.248326   -0.0397253
     0.635     0.245433   -0.0389759
      0.64     0.242596   -0.0382406
     0.645     0.239816   -0.0375193
      0.65      0.23709   -0.0368117
     0.655     0.234419   -0.0361178
      0.66       0.2318   -0.0354374
     0.665     0.229233   -0.0347704
      0.67     0.226717   -0.0341165
     0.675     0.224251   -0.0334756
      0.68     0.221833   -0.0328475
     0.685     0.219463   -0.0322319
      0.69      0.21714   -0.0316287
     0.695     0.214863   -0.0310376
       0.7     0.212631   -0.0304583
     0.705     0.210443   -0.0298906
