#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 2
#Number of timestamps  : 8000
#Runtime in seconds    : 32594.090000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999736     -0.01503
      0.01     0.998947   -0.0300345
     0.015     0.997633   -0.0449808
      0.02     0.995801   -0.0598365
     0.025     0.993456   -0.0745699
      0.03     0.990608   -0.0891494
     0.035     0.987267    -0.103545
      0.04     0.983444    -0.117726
     0.045     0.979154    -0.131665
      0.05     0.974411    -0.145335
     0.055     0.969233    -0.158709
      0.06     0.963638    -0.171762
     0.065     0.957645    -0.184472
      0.07     0.951275    -0.196816
     0.075     0.944548    -0.208776
      0.08     0.937488    -0.220333
     0.085     0.930116     -0.23147
      0.09     0.922457    -0.242172
     0.095     0.914533    -0.252428
       0.1      0.90637    -0.262226
     0.105     0.897991    -0.271556
      0.11      0.88942    -0.280412
     0.115      0.88068    -0.288786
      0.12     0.871797    -0.296677
     0.125     0.862792     -0.30408
      0.13     0.853689    -0.310995
     0.135      0.84451    -0.317423
      0.14     0.835276    -0.323365
     0.145     0.826008    -0.328827
      0.15     0.816727    -0.333811
     0.155      0.80745    -0.338324
      0.16     0.798196    -0.342373
     0.165     0.788983    -0.345967
      0.17     0.779827    -0.349114
     0.175     0.770742    -0.351823
      0.18     0.761742    -0.354107
     0.185     0.752842    -0.355975
      0.19     0.744052     -0.35744
     0.195     0.735383    -0.358514
       0.2     0.726846    -0.359209
     0.205     0.718449     -0.35954
      0.21     0.710201    -0.359518
     0.215     0.702107    -0.359158
      0.22     0.694174    -0.358473
     0.225     0.686408    -0.357476
      0.23     0.678811    -0.356183
     0.235     0.671388    -0.354605
      0.24     0.664142    -0.352757
     0.245     0.657073    -0.350653
      0.25     0.650183    -0.348304
     0.255     0.643473    -0.345726
      0.26     0.636943    -0.342929
     0.265     0.630591    -0.339928
      0.27     0.624417    -0.336734
     0.275     0.618419    -0.333359
      0.28     0.612596    -0.329815
     0.285     0.606943    -0.326114
      0.29      0.60146    -0.322266
     0.295     0.596143    -0.318283
       0.3     0.590988    -0.314174
     0.305     0.585992    -0.309949
      0.31     0.581151    -0.305619
     0.315     0.576462    -0.301193
      0.32      0.57192    -0.296679
     0.325     0.567522    -0.292086
      0.33     0.563263    -0.287423
     0.335     0.559138    -0.282697
      0.34     0.555145    -0.277916
     0.345     0.551278    -0.273088
      0.35     0.547533    -0.268219
     0.355     0.543907    -0.263317
      0.36     0.540395    -0.258386
     0.365     0.536993    -0.253434
      0.37     0.533697    -0.248467
     0.375     0.530503    -0.243489
      0.38     0.527409    -0.238507
     0.385     0.524409    -0.233524
      0.39     0.521501    -0.228546
     0.395     0.518681    -0.223577
       0.4     0.515946    -0.218622
     0.405     0.513292    -0.213685
      0.41     0.510718    -0.208768
     0.415      0.50822    -0.203877
      0.42     0.505794    -0.199013
     0.425      0.50344    -0.194181
      0.43     0.501154    -0.189383
     0.435     0.498933    -0.184623
      0.44     0.496777    -0.179902
     0.445     0.494682    -0.175223
      0.45     0.492647    -0.170588
     0.455     0.490669       -0.166
      0.46     0.488748    -0.161461
     0.465     0.486881    -0.156971
      0.47     0.485067    -0.152533
     0.475     0.483304    -0.148148
      0.48     0.481592    -0.143818
     0.485     0.479928    -0.139544
      0.49     0.478313    -0.135327
     0.495     0.476743    -0.131167
       0.5      0.47522    -0.127066
     0.505     0.473741    -0.123025
      0.51     0.472306    -0.119044
     0.515     0.470913    -0.115124
      0.52     0.469563    -0.111264
     0.525     0.468254    -0.107467
      0.53     0.466986    -0.103731
     0.535     0.465757    -0.100057
      0.54     0.464568   -0.0964459
     0.545     0.463418   -0.0928967
      0.55     0.462306   -0.0894099
     0.555     0.461232   -0.0859853
      0.56     0.460195   -0.0826229
     0.565     0.459195   -0.0793226
      0.57     0.458232   -0.0760841
     0.575     0.457304   -0.0729072
      0.58     0.456411   -0.0697915
     0.585     0.455554   -0.0667369
      0.59     0.454732   -0.0637429
     0.595     0.453944   -0.0608091
       0.6      0.45319   -0.0579352
     0.605     0.452469   -0.0551206
      0.61     0.451782    -0.052365
     0.615     0.451128   -0.0496677
      0.62     0.450507   -0.0470284
     0.625     0.449918   -0.0444464
      0.63     0.449361   -0.0419213
     0.635     0.448836   -0.0394523
      0.64     0.448342    -0.037039
     0.645     0.447879   -0.0346808
      0.65     0.447446   -0.0323769
     0.655     0.447044   -0.0301268
      0.66     0.446673   -0.0279299
     0.665      0.44633   -0.0257854
      0.67     0.446017   -0.0236927
     0.675     0.445733   -0.0216511
      0.68     0.445478   -0.0196599
     0.685     0.445251   -0.0177184
      0.69     0.445051   -0.0158259
     0.695     0.444879   -0.0139818
       0.7     0.444734   -0.0121852
