#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 40223.860000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999843   -0.00372689
      0.01     0.999371   -0.00744855
     0.015     0.998586   -0.0111579
      0.02     0.997489   -0.0148477
     0.025     0.996082   -0.0185112
      0.03     0.994365   -0.0221412
     0.035     0.992344   -0.0257311
      0.04     0.990019   -0.0292741
     0.045     0.987396   -0.0327636
      0.05     0.984478   -0.0361934
     0.055     0.981269   -0.0395572
      0.06     0.977775   -0.0428491
     0.065     0.974001   -0.0460634
      0.07     0.969953   -0.0491946
     0.075     0.965636   -0.0522375
      0.08     0.961057    -0.055187
     0.085     0.956223   -0.0580386
      0.09      0.95114   -0.0607879
     0.095     0.945817   -0.0634308
       0.1      0.94026   -0.0659636
     0.105     0.934478   -0.0683828
      0.11     0.928479   -0.0706854
     0.115      0.92227   -0.0728686
      0.12      0.91586   -0.0749298
     0.125     0.909257   -0.0768671
      0.13     0.902471   -0.0786786
     0.135      0.89551    -0.080363
      0.14     0.888382   -0.0819189
     0.145     0.881097   -0.0833458
      0.15     0.873662    -0.084643
     0.155     0.866088   -0.0858105
      0.16     0.858383   -0.0868482
     0.165     0.850555   -0.0877568
      0.17     0.842614   -0.0885368
     0.175     0.834567   -0.0891892
      0.18     0.826425   -0.0897153
     0.185     0.818194   -0.0901166
      0.19     0.809883   -0.0903948
     0.195     0.801501   -0.0905518
       0.2     0.793055   -0.0905899
     0.205     0.784554   -0.0905113
      0.21     0.776004   -0.0903188
     0.215     0.767414   -0.0900148
      0.22      0.75879   -0.0896025
     0.225     0.750141   -0.0890847
      0.23     0.741472   -0.0884647
     0.235     0.732791   -0.0877457
      0.24     0.724103   -0.0869311
     0.245     0.715415   -0.0860243
      0.25     0.706734    -0.085029
     0.255     0.698064   -0.0839486
      0.26     0.689411   -0.0827869
     0.265     0.680782   -0.0815475
      0.27      0.67218   -0.0802342
     0.275      0.66361   -0.0788507
      0.28     0.655077   -0.0774008
     0.285     0.646586    -0.075888
      0.29     0.638141   -0.0743163
     0.295     0.629746   -0.0726893
       0.3     0.621403   -0.0710106
     0.305     0.613118   -0.0692838
      0.31     0.604892   -0.0675126
     0.315      0.59673   -0.0657004
      0.32     0.588634   -0.0638507
     0.325     0.580607   -0.0619669
      0.33     0.572651   -0.0600523
     0.335     0.564768   -0.0581101
      0.34     0.556961   -0.0561434
     0.345     0.549232   -0.0541554
      0.35     0.541583    -0.052149
     0.355     0.534014   -0.0501271
      0.36     0.526528   -0.0480925
     0.365     0.519126   -0.0460478
      0.37     0.511809   -0.0439957
     0.375     0.504578   -0.0419386
      0.38     0.497435   -0.0398789
     0.385     0.490379    -0.037819
      0.39     0.483412    -0.035761
     0.395     0.476533    -0.033707
       0.4     0.469745    -0.031659
     0.405     0.463046   -0.0296189
      0.41     0.456437   -0.0275884
     0.415     0.449919   -0.0255693
      0.42     0.443491   -0.0235631
     0.425     0.437153   -0.0215714
      0.43     0.430905   -0.0195955
     0.435     0.424748   -0.0176368
      0.44      0.41868   -0.0156964
     0.445     0.412701   -0.0137755
      0.45     0.406812   -0.0118751
     0.455     0.401011   -0.00999628
      0.46     0.395298   -0.00813981
     0.465     0.389672   -0.0063065
      0.47     0.384134   -0.00449709
     0.475     0.378682   -0.00271222
      0.48     0.373315   -0.000952456
     0.485     0.368033   0.000781695
      0.49     0.362835    0.0024898
     0.495      0.35772   0.00417148
       0.5     0.352688   0.00582643
     0.505     0.347737    0.0074544
      0.51     0.342867   0.00905519
     0.515     0.338076    0.0106287
      0.52     0.333364    0.0121748
     0.525      0.32873    0.0136934
      0.53     0.324173    0.0151846
     0.535     0.319692    0.0166484
      0.54     0.315285    0.0180849
     0.545     0.310952    0.0194943
      0.55     0.306692    0.0208767
     0.555     0.302503    0.0222322
      0.56     0.298385    0.0235612
     0.565     0.294337    0.0248639
      0.57     0.290357    0.0261406
     0.575     0.286445    0.0273916
      0.58     0.282599    0.0286172
     0.585     0.278819    0.0298178
      0.59     0.275103    0.0309938
     0.595      0.27145    0.0321455
       0.6     0.267859    0.0332735
     0.605      0.26433     0.034378
      0.61     0.260861    0.0354596
     0.615     0.257451    0.0365186
      0.62       0.2541    0.0375556
     0.625     0.250806     0.038571
      0.63     0.247567    0.0395653
     0.635     0.244384    0.0405389
      0.64     0.241255    0.0414924
     0.645      0.23818    0.0424262
      0.65     0.235157    0.0433409
     0.655     0.232185    0.0442368
      0.66     0.229263    0.0451145
     0.665     0.226391    0.0459744
      0.67     0.223568    0.0468171
     0.675     0.220792     0.047643
      0.68     0.218063    0.0484526
     0.685      0.21538    0.0492463
      0.69     0.212742    0.0500247
     0.695     0.210149    0.0507881
       0.7     0.207598     0.051537
     0.705      0.20509    0.0522718
      0.71     0.202624     0.052993
     0.715     0.200199    0.0537009
      0.72     0.197814     0.054396
     0.725     0.195468    0.0550786
      0.73     0.193161    0.0557491
     0.735     0.190891    0.0564079
      0.74     0.188659    0.0570553
     0.745     0.186463    0.0576916
      0.75     0.184303    0.0583172
     0.755     0.182177    0.0589324
      0.76     0.180086    0.0595374
     0.765     0.178029    0.0601325
      0.77     0.176004    0.0607179
     0.775     0.174012     0.061294
      0.78     0.172051    0.0618609
     0.785     0.170121    0.0624188
      0.79     0.168222     0.062968
     0.795     0.166353    0.0635086
       0.8     0.164513    0.0640407
     0.805     0.162702    0.0645646
      0.81     0.160919    0.0650804
     0.815     0.159164    0.0655881
      0.82     0.157435     0.066088
     0.825     0.155734    0.0665801
      0.83     0.154058    0.0670645
     0.835     0.152409    0.0675414
      0.84     0.150784    0.0680107
     0.845     0.149184    0.0684726
      0.85     0.147608    0.0689271
     0.855     0.146056    0.0693743
      0.86     0.144528    0.0698142
     0.865     0.143022    0.0702469
      0.87     0.141539    0.0706724
     0.875     0.140078    0.0710907
      0.88     0.138639    0.0715019
     0.885     0.137221     0.071906
      0.89     0.135823    0.0723031
     0.895     0.134447    0.0726931
       0.9      0.13309    0.0730761
     0.905     0.131753    0.0734522
      0.91     0.130436    0.0738212
     0.915     0.129137    0.0741833
      0.92     0.127857    0.0745386
     0.925     0.126595    0.0748869
      0.93     0.125352    0.0752283
     0.935     0.124125    0.0755629
      0.94     0.122917    0.0758907
     0.945     0.121725    0.0762118
      0.95     0.120549    0.0765261
     0.955      0.11939    0.0768336
      0.96     0.118247    0.0771345
     0.965     0.117119    0.0774288
      0.97     0.116007    0.0777164
     0.975      0.11491    0.0779975
      0.98     0.113828    0.0782721
     0.985      0.11276    0.0785403
      0.99     0.111706     0.078802
     0.995     0.110667    0.0790574
         1     0.109641    0.0793065
     1.005     0.108628    0.0795494
      1.01     0.107629    0.0797862
     1.015     0.106643    0.0800168
      1.02     0.105669    0.0802415
     1.025     0.104709    0.0804603
      1.03      0.10376    0.0806732
     1.035     0.102824    0.0808804
      1.04     0.101899     0.081082
     1.045     0.100987     0.081278
      1.05     0.100085    0.0814685
     1.055    0.0991956    0.0816537
      1.06    0.0983171    0.0818337
     1.065    0.0974495    0.0820086
      1.07    0.0965928    0.0821786
     1.075    0.0957468    0.0823436
      1.08    0.0949113     0.082504
     1.085    0.0940862    0.0826597
      1.09    0.0932713     0.082811
     1.095    0.0924665    0.0829579
       1.1    0.0916716    0.0831007
     1.105    0.0908864    0.0832395
      1.11    0.0901109    0.0833743
     1.115    0.0893448    0.0835055
      1.12    0.0885881     0.083633
     1.125    0.0878406    0.0837571
      1.13    0.0871022     0.083878
     1.135    0.0863727    0.0839958
      1.14     0.085652    0.0841106
     1.145    0.0849399    0.0842226
      1.15    0.0842364    0.0843321
     1.155    0.0835412     0.084439
      1.16    0.0828544    0.0845437
     1.165    0.0821756    0.0846462
      1.17    0.0815049    0.0847467
     1.175    0.0808421    0.0848455
      1.18     0.080187    0.0849426
     1.185    0.0795395    0.0850382
      1.19    0.0788995    0.0851325
     1.195    0.0782669    0.0852256
       1.2    0.0776416    0.0853177
     1.205    0.0770234     0.085409
      1.21    0.0764122    0.0854996
     1.215    0.0758078    0.0855896
      1.22    0.0752102    0.0856793
     1.225    0.0746193    0.0857687
      1.23    0.0740349    0.0858581
     1.235    0.0734568    0.0859475
      1.24     0.072885    0.0860371
     1.245    0.0723194     0.086127
      1.25    0.0717598    0.0862175
     1.255    0.0712061    0.0863085
      1.26    0.0706582    0.0864003
     1.265     0.070116    0.0864929
      1.27    0.0695793    0.0865866
     1.275     0.069048    0.0866814
      1.28     0.068522    0.0867773
     1.285    0.0680012    0.0868747
      1.29    0.0674855    0.0869735
     1.295    0.0669747    0.0870738
       1.3    0.0664687    0.0871758
     1.305    0.0659674    0.0872795
      1.31    0.0654706    0.0873851
     1.315    0.0649783    0.0874925
      1.32    0.0644903     0.087602
     1.325    0.0640066    0.0877136
      1.33    0.0635268    0.0878273
