#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 2
#Number of timestamps  : 8000
#Runtime in seconds    : 31805.000000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999737   -0.0150088
      0.01      0.99895   -0.0299854
     0.015     0.997641   -0.0448816
      0.02     0.995818   -0.0596497
     0.025     0.993489   -0.0742427
      0.03     0.990668   -0.0886146
     0.035     0.987368    -0.102721
      0.04     0.983606    -0.116518
     0.045     0.979403    -0.129965
      0.05      0.97478    -0.143021
     0.055     0.969759     -0.15565
      0.06     0.964367    -0.167815
     0.065      0.95863    -0.179485
      0.07     0.952575    -0.190628
     0.075     0.946231    -0.201217
      0.08     0.939627    -0.211226
     0.085     0.932794    -0.220633
      0.09     0.925761    -0.229417
     0.095     0.918558    -0.237561
       0.1     0.911214    -0.245051
     0.105     0.903759    -0.251873
      0.11     0.896221    -0.258019
     0.115     0.888626    -0.263482
      0.12     0.881002    -0.268255
     0.125     0.873373    -0.272336
      0.13     0.865762    -0.275725
     0.135      0.85819    -0.278422
      0.14     0.850679    -0.280431
     0.145     0.843246    -0.281757
      0.15     0.835907    -0.282405
     0.155     0.828678    -0.282383
      0.16     0.821569    -0.281701
     0.165     0.814592    -0.280369
      0.17     0.807755    -0.278397
     0.175     0.801064    -0.275798
      0.18     0.794524    -0.272586
     0.185     0.788138    -0.268774
      0.19     0.781905    -0.264376
     0.195     0.775825    -0.259407
       0.2     0.769894    -0.253883
     0.205     0.764109     -0.24782
      0.21     0.758462    -0.241234
     0.215     0.752947    -0.234142
      0.22     0.747553    -0.226561
     0.225     0.742272    -0.218508
      0.23      0.73709        -0.21
     0.235     0.731997    -0.201055
      0.24     0.726977    -0.191692
     0.245     0.722018    -0.181927
      0.25     0.717104    -0.171779
     0.255      0.71222    -0.161267
      0.26      0.70735    -0.150409
     0.265     0.702476    -0.139224
      0.27     0.697584     -0.12773
     0.275     0.692656    -0.115947
      0.28     0.687676    -0.103894
     0.285     0.682627     -0.09159
      0.29     0.677493   -0.0790549
     0.295     0.672257   -0.0663081
       0.3     0.666904   -0.0533695
     0.305     0.661419    -0.040259
      0.31     0.655788   -0.0269967
     0.315     0.649995   -0.0136025
      0.32     0.644029   -9.6799e-05
     0.325     0.637875    0.0135002
      0.33     0.631524    0.0271683
     0.335     0.624963    0.0408871
      0.34     0.618183    0.0546365
     0.345     0.611175    0.0683963
      0.35     0.603931    0.0821464
     0.355     0.596443     0.095867
      0.36     0.588707     0.109538
     0.365     0.580717     0.123141
      0.37      0.57247     0.136655
     0.375     0.563962     0.150063
      0.38     0.555193     0.163346
     0.385     0.546161     0.176485
      0.39     0.536867     0.189462
     0.395     0.527312     0.202262
       0.4     0.517499     0.214867
     0.405     0.507431     0.227261
      0.41     0.497113     0.239428
     0.415      0.48655     0.251355
      0.42     0.475748     0.263026
     0.425     0.464713     0.274429
      0.43     0.453454      0.28555
     0.435     0.441978     0.296378
      0.44     0.430294     0.306902
     0.445     0.418413     0.317112
      0.45     0.406344     0.326997
     0.455     0.394097     0.336549
      0.46     0.381684     0.345761
     0.465     0.369115     0.354625
      0.47     0.356403     0.363136
     0.475      0.34356     0.371287
      0.48     0.330597     0.379074
     0.485     0.317527     0.386493
      0.49     0.304362     0.393542
     0.495     0.291115     0.400219
       0.5     0.277798     0.406521
     0.505     0.264423     0.412448
      0.51     0.251002        0.418
     0.515     0.237548     0.423178
      0.52     0.224073     0.427983
     0.525     0.210589     0.432418
      0.53     0.197106     0.436484
     0.535     0.183636     0.440186
      0.54     0.170191     0.443526
     0.545      0.15678     0.446509
