#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 2
#Number of timestamps  : 10000
#Runtime in seconds    : 40665.350000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999631   -0.0150555
      0.01     0.998525   -0.0300784
     0.015     0.996686   -0.0450266
      0.02     0.994122   -0.0598586
     0.025     0.990842   -0.0745336
      0.03     0.986861   -0.0890117
     0.035     0.982194    -0.103254
      0.04      0.97686    -0.117225
     0.045      0.97088    -0.130887
      0.05     0.964278    -0.144208
     0.055      0.95708    -0.157156
      0.06     0.949313    -0.169702
     0.065     0.941008    -0.181819
      0.07     0.932195    -0.193483
     0.075     0.922907    -0.204672
      0.08     0.913177    -0.215366
     0.085     0.903039    -0.225549
      0.09      0.89253    -0.235207
     0.095     0.881683    -0.244329
       0.1     0.870535    -0.252905
     0.105      0.85912     -0.26093
      0.11     0.847474    -0.268401
     0.115     0.835632    -0.275315
      0.12     0.823627    -0.281674
     0.125     0.811493    -0.287481
      0.13     0.799262    -0.292742
     0.135     0.786965    -0.297463
      0.14     0.774632    -0.301654
     0.145     0.762292    -0.305326
      0.15     0.749971     -0.30849
     0.155     0.737695     -0.31116
      0.16      0.72549    -0.313351
     0.165     0.713376    -0.315078
      0.17     0.701375    -0.316359
     0.175     0.689507    -0.317209
      0.18      0.67779    -0.317648
     0.185     0.666239    -0.317694
      0.19     0.654869    -0.317364
     0.195     0.643693    -0.316678
       0.2     0.632723    -0.315656
     0.205     0.621969    -0.314315
      0.21     0.611439    -0.312675
     0.215     0.601142    -0.310753
      0.22     0.591083     -0.30857
     0.225     0.581267    -0.306141
      0.23     0.571699    -0.303486
     0.235      0.56238    -0.300621
      0.24     0.553313    -0.297562
     0.245     0.544499    -0.294326
      0.25     0.535938    -0.290928
     0.255     0.527628    -0.287383
      0.26      0.51957    -0.283705
     0.265     0.511761    -0.279907
      0.27     0.504198    -0.276003
     0.275     0.496878    -0.272004
      0.28     0.489798    -0.267923
     0.285     0.482954     -0.26377
      0.29     0.476342    -0.259556
     0.295     0.469958    -0.255289
       0.3     0.463796     -0.25098
     0.305     0.457851    -0.246637
      0.31      0.45212    -0.242268
     0.315     0.446596     -0.23788
      0.32     0.441274     -0.23348
     0.325     0.436148    -0.229074
      0.33     0.431215    -0.224668
     0.335     0.426467    -0.220268
      0.34       0.4219    -0.215878
     0.345     0.417508    -0.211503
      0.35     0.413285    -0.207148
     0.355     0.409228    -0.202815
      0.36      0.40533    -0.198509
     0.365     0.401586    -0.194233
      0.37     0.397992    -0.189989
     0.375     0.394542     -0.18578
      0.38     0.391232    -0.181609
     0.385     0.388056    -0.177477
      0.39     0.385012    -0.173387
     0.395     0.382093    -0.169339
       0.4     0.379296    -0.165336
     0.405     0.376617    -0.161379
      0.41     0.374052    -0.157469
     0.415     0.371597    -0.153606
      0.42     0.369248    -0.149792
     0.425     0.367001    -0.146028
      0.43     0.364854    -0.142313
     0.435     0.362803    -0.138649
      0.44     0.360845    -0.135035
     0.445     0.358977    -0.131472
      0.45     0.357196    -0.127961
     0.455     0.355498    -0.124501
      0.46     0.353882    -0.121092
     0.465     0.352346    -0.117734
      0.47     0.350885    -0.114428
     0.475     0.349498    -0.111172
      0.48     0.348183    -0.107967
     0.485     0.346938    -0.104813
      0.49      0.34576    -0.101709
     0.495     0.344648   -0.0986556
       0.5     0.343598   -0.0956516
     0.505      0.34261    -0.092697
      0.51     0.341682   -0.0897915
     0.515     0.340812   -0.0869347
      0.52     0.339998   -0.0841263
     0.525     0.339238   -0.0813659
      0.53     0.338531   -0.0786531
     0.535     0.337876   -0.0759875
      0.54      0.33727   -0.0733688
     0.545     0.336713   -0.0707965
      0.55     0.336203   -0.0682703
     0.555     0.335739   -0.0657899
      0.56     0.335319   -0.0633546
     0.565     0.334942   -0.0609643
      0.57     0.334608   -0.0586184
     0.575     0.334314   -0.0563166
      0.58      0.33406   -0.0540583
     0.585     0.333845   -0.0518432
      0.59     0.333667   -0.0496708
     0.595     0.333527   -0.0475406
       0.6     0.333422   -0.0454522
     0.605     0.333352   -0.0434049
      0.61     0.333315   -0.0413984
     0.615     0.333312   -0.0394319
      0.62     0.333342   -0.0375051
     0.625     0.333402   -0.0356174
      0.63     0.333493   -0.0337681
     0.635     0.333614   -0.0319566
      0.64     0.333765   -0.0301825
     0.645     0.333943    -0.028445
      0.65     0.334149   -0.0267436
     0.655     0.334381   -0.0250777
      0.66      0.33464   -0.0234467
     0.665     0.334923   -0.0218501
      0.67     0.335232   -0.0202872
     0.675     0.335564   -0.0187576
      0.68     0.335919   -0.0172606
     0.685     0.336296   -0.0157959
      0.69     0.336694   -0.0143628
     0.695     0.337114    -0.012961
       0.7     0.337554   -0.0115901
     0.705     0.338013   -0.0102495
      0.71      0.33849   -0.00893899
     0.715     0.338985   -0.00765817
      0.72     0.339498   -0.00640672
     0.725     0.340027   -0.00518436
      0.73     0.340572   -0.00399082
     0.735     0.341132   -0.00282584
      0.74     0.341706   -0.00168921
     0.745     0.342294   -0.000580706
      0.75     0.342896   0.000499855
     0.755     0.343509   0.00155265
      0.76     0.344135   0.00257786
     0.765     0.344771   0.00357565
      0.77     0.345418   0.00454616
     0.775     0.346076   0.00548957
      0.78     0.346742   0.00640604
     0.785     0.347418   0.00729573
      0.79     0.348101   0.00815881
     0.795     0.348793   0.00899548
       0.8     0.349492   0.00980591
     0.805     0.350198    0.0105903
      0.81      0.35091     0.011349
     0.815     0.351628     0.012082
      0.82     0.352351    0.0127898
     0.825     0.353079    0.0134725
      0.83     0.353812    0.0141305
     0.835     0.354549     0.014764
      0.84     0.355291    0.0153734
     0.845     0.356035    0.0159591
      0.85     0.356783    0.0165213
     0.855     0.357534    0.0170605
      0.86     0.358287     0.017577
     0.865     0.359043    0.0180713
      0.87     0.359801    0.0185438
     0.875      0.36056     0.018995
      0.88     0.361321    0.0194251
     0.885     0.362083    0.0198349
      0.89     0.362847    0.0202246
     0.895     0.363611    0.0205948
       0.9     0.364375     0.020946
     0.905      0.36514    0.0212786
      0.91     0.365905    0.0215933
     0.915     0.366671    0.0218904
      0.92     0.367435    0.0221706
     0.925       0.3682    0.0224343
      0.93     0.368963     0.022682
     0.935     0.369726    0.0229144
      0.94     0.370488    0.0231318
     0.945     0.371249    0.0233349
      0.95     0.372008    0.0235241
     0.955     0.372766    0.0236999
      0.96     0.373522    0.0238628
     0.965     0.374276    0.0240134
      0.97     0.375028     0.024152
     0.975     0.375778    0.0242792
      0.98     0.376525    0.0243953
     0.985      0.37727    0.0245009
      0.99     0.378012    0.0245962
     0.995     0.378751    0.0246817
         1     0.379487    0.0247577
     1.005     0.380219    0.0248247
      1.01     0.380949    0.0248828
     1.015     0.381674    0.0249324
      1.02     0.382396    0.0249738
     1.025     0.383114    0.0250072
      1.03     0.383828    0.0250329
     1.035     0.384537    0.0250511
      1.04     0.385242     0.025062
     1.045     0.385942    0.0250656
      1.05     0.386637    0.0250623
     1.055     0.387327    0.0250522
      1.06     0.388011    0.0250353
     1.065      0.38869    0.0250118
      1.07     0.389363    0.0249819
     1.075      0.39003    0.0249455
      1.08     0.390691    0.0249028
     1.085     0.391346    0.0248539
