#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 36050.120000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999843   -0.00375495
      0.01     0.999372   -0.00750663
     0.015     0.998587   -0.0112516
      0.02      0.99749   -0.0149864
     0.025     0.996083   -0.0187077
      0.03     0.994366   -0.0224119
     0.035     0.992343   -0.0260959
      0.04     0.990015   -0.0297563
     0.045     0.987388   -0.0333897
      0.05     0.984463   -0.0369931
     0.055     0.981245   -0.0405633
      0.06     0.977739   -0.0440973
     0.065     0.973949    -0.047592
      0.07      0.96988   -0.0510446
     0.075     0.965538   -0.0544522
      0.08     0.960928   -0.0578122
     0.085     0.956057    -0.061122
      0.09     0.950932   -0.0643791
     0.095     0.945558   -0.0675811
       0.1     0.939942   -0.0707258
     0.105     0.934093    -0.073811
      0.11     0.928017   -0.0768348
     0.115     0.921723   -0.0797951
      0.12     0.915217   -0.0826904
     0.125     0.908508   -0.0855189
      0.13     0.901604   -0.0882793
     0.135     0.894513     -0.09097
      0.14     0.887243     -0.09359
     0.145     0.879804   -0.0961382
      0.15     0.872204   -0.0986135
     0.155      0.86445    -0.101015
      0.16     0.856553    -0.103343
     0.165     0.848519    -0.105595
      0.17     0.840359    -0.107773
     0.175      0.83208    -0.109875
      0.18     0.823692    -0.111901
     0.185     0.815202    -0.113852
      0.19     0.806619    -0.115727
     0.195     0.797952    -0.117526
       0.2     0.789208     -0.11925
     0.205     0.780395      -0.1209
      0.21     0.771523    -0.122475
     0.215     0.762598    -0.123977
      0.22     0.753628    -0.125406
     0.225     0.744621    -0.126763
      0.23     0.735585    -0.128048
     0.235     0.726525    -0.129264
      0.24      0.71745     -0.13041
     0.245     0.708366    -0.131487
      0.25     0.699279    -0.132498
     0.255     0.690197    -0.133443
      0.26     0.681125    -0.134323
     0.265     0.672069     -0.13514
      0.27     0.663036    -0.135895
     0.275      0.65403     -0.13659
      0.28     0.645056    -0.137225
     0.285     0.636121    -0.137803
      0.29     0.627229    -0.138325
     0.295     0.618384    -0.138792
       0.3     0.609591    -0.139206
     0.305     0.600854    -0.139568
      0.31     0.592177     -0.13988
     0.315     0.583564    -0.140144
      0.32     0.575018     -0.14036
     0.325     0.566543    -0.140531
      0.33     0.558142    -0.140658
     0.335     0.549817    -0.140743
      0.34     0.541572    -0.140787
     0.345     0.533409    -0.140792
      0.35     0.525331    -0.140758
     0.355     0.517339    -0.140689
      0.36     0.509435    -0.140585
     0.365     0.501622    -0.140447
      0.37       0.4939    -0.140277
     0.375     0.486272    -0.140077
      0.38     0.478739    -0.139847
     0.385     0.471302     -0.13959
      0.39     0.463961    -0.139307
     0.395     0.456718    -0.138998
       0.4     0.449574    -0.138666
     0.405     0.442529    -0.138311
      0.41     0.435583    -0.137935
     0.415     0.428738    -0.137539
      0.42     0.421992    -0.137125
     0.425     0.415347    -0.136692
      0.43     0.408802    -0.136243
     0.435     0.402358    -0.135779
      0.44     0.396014    -0.135301
     0.445      0.38977    -0.134809
      0.45     0.383625    -0.134305
     0.455      0.37758     -0.13379
      0.46     0.371633    -0.133265
     0.465     0.365785    -0.132731
      0.47     0.360035    -0.132188
     0.475     0.354381    -0.131637
      0.48     0.348824     -0.13108
     0.485     0.343362    -0.130517
      0.49     0.337995    -0.129949
     0.495     0.332722    -0.129377
       0.5     0.327542    -0.128801
     0.505     0.322453    -0.128221
      0.51     0.317456     -0.12764
     0.515     0.312549    -0.127057
      0.52     0.307731    -0.126473
     0.525        0.303    -0.125888
      0.53     0.298356    -0.125304
     0.535     0.293798    -0.124719
      0.54     0.289325    -0.124136
     0.545     0.284934    -0.123555
      0.55     0.280626    -0.122975
     0.555     0.276399    -0.122397
      0.56     0.272252    -0.121822
     0.565     0.268183    -0.121251
      0.57     0.264192    -0.120682
     0.575     0.260277    -0.120117
      0.58     0.256437    -0.119556
     0.585     0.252671       -0.119
      0.59     0.248977    -0.118448
     0.595     0.245354      -0.1179
       0.6     0.241802    -0.117358
     0.605     0.238318     -0.11682
      0.61     0.234903    -0.116288
     0.615     0.231553    -0.115762
      0.62     0.228269    -0.115241
     0.625     0.225049    -0.114725
      0.63     0.221893    -0.114216
     0.635     0.218797    -0.113713
      0.64     0.215763    -0.113216
     0.645     0.212788    -0.112725
      0.65     0.209872    -0.112241
     0.655     0.207013    -0.111763
      0.66      0.20421    -0.111292
     0.665     0.201462    -0.110827
      0.67     0.198769    -0.110369
     0.675     0.196128    -0.109918
      0.68     0.193539    -0.109474
     0.685     0.191002    -0.109036
      0.69     0.188514    -0.108606
     0.695     0.186076    -0.108182
       0.7     0.183685    -0.107766
     0.705     0.181342    -0.107356
      0.71     0.179045    -0.106954
     0.715     0.176793    -0.106559
      0.72     0.174585    -0.106171
     0.725     0.172421     -0.10579
      0.73     0.170299    -0.105416
     0.735     0.168219    -0.105049
      0.74     0.166179     -0.10469
     0.745      0.16418    -0.104338
      0.75      0.16222    -0.103993
     0.755     0.160298    -0.103655
      0.76     0.158414    -0.103325
     0.765     0.156567    -0.103001
      0.77     0.154755    -0.102685
     0.775     0.152979    -0.102376
      0.78     0.151237    -0.102074
     0.785     0.149529     -0.10178
      0.79     0.147854    -0.101492
     0.795     0.146212    -0.101212
       0.8     0.144601    -0.100938
     0.805     0.143021    -0.100672
      0.81     0.141471    -0.100412
     0.815      0.13995    -0.100159
      0.82     0.138459   -0.0999133
     0.825     0.136996   -0.0996742
      0.83      0.13556   -0.0994417
     0.835     0.134151   -0.0992158
