#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 2
#Number of timestamps  : 8000
#Runtime in seconds    : 28789.520000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999737   -0.0149969
      0.01     0.998949   -0.0299785
     0.015     0.997637   -0.0449279
      0.02     0.995803   -0.0598284
     0.025     0.993452   -0.0746633
      0.03     0.990587   -0.0894164
     0.035     0.987215    -0.104071
      0.04     0.983342    -0.118613
     0.045     0.978975    -0.133024
      0.05     0.974123    -0.147292
     0.055     0.968795    -0.161401
      0.06     0.963001    -0.175336
     0.065     0.956752    -0.189086
      0.07     0.950059    -0.202635
     0.075     0.942935    -0.215973
      0.08     0.935394    -0.229087
     0.085     0.927447    -0.241967
      0.09      0.91911    -0.254601
     0.095     0.910397     -0.26698
       0.1     0.901323    -0.279095
     0.105     0.891904    -0.290939
      0.11     0.882155    -0.302502
     0.115     0.872092    -0.313779
      0.12     0.861731    -0.324763
     0.125     0.851089    -0.335449
      0.13     0.840182    -0.345832
     0.135     0.829026    -0.355909
      0.14     0.817639    -0.365677
     0.145     0.806036    -0.375132
      0.15     0.794234    -0.384273
     0.155      0.78225    -0.393099
      0.16     0.770098     -0.40161
     0.165     0.757795    -0.409806
      0.17     0.745357    -0.417687
     0.175     0.732798    -0.425255
      0.18     0.720134    -0.432512
     0.185     0.707378     -0.43946
      0.19     0.694546    -0.446103
     0.195      0.68165    -0.452443
       0.2     0.668705    -0.458484
     0.205     0.655722    -0.464232
      0.21     0.642714    -0.469689
     0.215     0.629694    -0.474862
      0.22     0.616671    -0.479756
     0.225     0.603658    -0.484376
      0.23     0.590664    -0.488728
     0.235     0.577698    -0.492817
      0.24     0.564772    -0.496652
     0.245     0.551892    -0.500237
      0.25     0.539068    -0.503579
     0.255     0.526306    -0.506685
      0.26     0.513615    -0.509562
     0.265     0.501001    -0.512216
      0.27     0.488469    -0.514655
     0.275     0.476027    -0.516885
      0.28     0.463678    -0.518913
     0.285     0.451428    -0.520745
      0.29     0.439281     -0.52239
     0.295     0.427241    -0.523853
       0.3     0.415312    -0.525141
     0.305     0.403496    -0.526261
      0.31     0.391796     -0.52722
     0.315     0.380215    -0.528023
      0.32     0.368754    -0.528677
     0.325     0.357416    -0.529187
      0.33     0.346201    -0.529561
     0.335     0.335111    -0.529804
      0.34     0.324146    -0.529921
     0.345     0.313306    -0.529918
      0.35     0.302593    -0.529801
     0.355     0.292005    -0.529574
      0.36     0.281543    -0.529243
     0.365     0.271206    -0.528812
      0.37     0.260993    -0.528286
     0.375     0.250903     -0.52767
      0.38     0.240937    -0.526968
     0.385     0.231091    -0.526183
      0.39     0.221365     -0.52532
     0.395     0.211758    -0.524383
       0.4     0.202267    -0.523375
     0.405     0.192892      -0.5223
      0.41      0.18363     -0.52116
     0.415      0.17448    -0.519959
      0.42     0.165438    -0.518699
     0.425     0.156505    -0.517384
      0.43     0.147677    -0.516016
     0.435     0.138952    -0.514597
      0.44     0.130328    -0.513129
     0.445     0.121802    -0.511615
      0.45     0.113374    -0.510056
     0.455      0.10504    -0.508455
      0.46    0.0967974    -0.506812
     0.465     0.088645     -0.50513
      0.47      0.08058    -0.503409
     0.475    0.0726003    -0.501651
      0.48    0.0647035    -0.499857
     0.485    0.0568875    -0.498027
      0.49    0.0491499    -0.496164
     0.495    0.0414886    -0.494266
       0.5    0.0339014    -0.492336
     0.505    0.0263861    -0.490374
      0.51    0.0189408    -0.488379
     0.515    0.0115633    -0.486352
      0.52   0.00425159    -0.484295
     0.525   -0.00299625    -0.482205
      0.53   -0.0101821    -0.480085
     0.535    -0.017308    -0.477932
      0.54   -0.0243755    -0.475749
     0.545   -0.0313864    -0.473533
      0.55   -0.0383425    -0.471286
     0.555   -0.0452452    -0.469006
      0.56   -0.0520963    -0.466694
     0.565   -0.0588971    -0.464348
      0.57    -0.065649    -0.461969
     0.575   -0.0723534    -0.459556
      0.58   -0.0790116    -0.457107
     0.585   -0.0856246    -0.454623
      0.59   -0.0921937    -0.452103
     0.595   -0.0987199    -0.449546
       0.6    -0.105204    -0.446952
     0.605    -0.111647    -0.444318
      0.61     -0.11805    -0.441646
     0.615    -0.124414    -0.438934
      0.62    -0.130738     -0.43618
     0.625    -0.137024    -0.433385
      0.63    -0.143273    -0.430547
     0.635    -0.149484    -0.427666
      0.64    -0.155658     -0.42474
     0.645    -0.161795    -0.421769
      0.65    -0.167896    -0.418752
     0.655    -0.173961    -0.415688
      0.66    -0.179989    -0.412577
     0.665    -0.185981    -0.409416
      0.67    -0.191937    -0.406206
     0.675    -0.197857    -0.402946
      0.68     -0.20374    -0.399634
     0.685    -0.209586    -0.396271
      0.69    -0.215395    -0.392854
     0.695    -0.221167    -0.389385
       0.7    -0.226901    -0.385861
     0.705    -0.232596    -0.382282
      0.71    -0.238253    -0.378648
     0.715    -0.243871    -0.374957
      0.72    -0.249449     -0.37121
     0.725    -0.254986    -0.367405
      0.73    -0.260483    -0.363543
     0.735    -0.265937    -0.359621
      0.74    -0.271349    -0.355641
     0.745    -0.276717    -0.351602
      0.75    -0.282041    -0.347502
     0.755    -0.287321    -0.343342
      0.76    -0.292554    -0.339121
     0.765    -0.297741     -0.33484
      0.77     -0.30288    -0.330496
     0.775     -0.30797    -0.326092
      0.78    -0.313011    -0.321625
     0.785    -0.318002    -0.317096
      0.79     -0.32294    -0.312505
     0.795    -0.327827    -0.307851
       0.8    -0.332659    -0.303135
     0.805    -0.337437    -0.298356
      0.81     -0.34216    -0.293514
     0.815    -0.346825    -0.288609
      0.82    -0.351433    -0.283642
     0.825    -0.355982    -0.278611
      0.83     -0.36047    -0.273518
     0.835    -0.364897    -0.268362
      0.84    -0.369262    -0.263144
     0.845    -0.373563    -0.257862
      0.85    -0.377799    -0.252519
     0.855     -0.38197    -0.247114
      0.86    -0.386073    -0.241647
     0.865    -0.390108    -0.236118
      0.87    -0.394073    -0.230528
     0.875    -0.397967    -0.224877
      0.88     -0.40179    -0.219166
