#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 4000
#Runtime in seconds    : 14764.810000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999919   4.3286e-05
      0.01     0.999677   8.64986e-05
     0.015     0.999273   0.000129632
      0.02     0.998707   0.00017268
     0.025     0.997981   0.000215637
      0.03     0.997094   0.000258498
     0.035     0.996047   0.000301256
      0.04      0.99484   0.000343905
     0.045     0.993474   0.000386441
      0.05      0.99195   0.000428857
     0.055     0.990267   0.000471148
      0.06     0.988428   0.000513308
     0.065     0.986434   0.000555332
      0.07     0.984284   0.000597214
     0.075      0.98198   0.000638948
      0.08     0.979523   0.000680529
     0.085     0.976915   0.000721952
      0.09     0.974156   0.00076321
     0.095     0.971249   0.000804298
       0.1     0.968194   0.00084521
     0.105     0.964992   0.00088594
      0.11     0.961646   0.000926483
     0.115     0.958158   0.000966833
      0.12     0.954528   0.00100698
     0.125     0.950758   0.00104693
      0.13     0.946851   0.00108666
     0.135     0.942808   0.00112618
      0.14     0.938631   0.00116547
     0.145     0.934322   0.00120454
      0.15     0.929883   0.00124337
     0.155     0.925316   0.00128195
      0.16     0.920623   0.00132029
     0.165     0.915807   0.00135837
      0.17      0.91087   0.00139619
     0.175     0.905814   0.00143373
      0.18     0.900641   0.00147101
     0.185     0.895354   0.00150799
      0.19     0.889954   0.00154469
     0.195     0.884446   0.00158109
       0.2      0.87883   0.00161719
     0.205      0.87311   0.00165297
      0.21     0.867289   0.00168844
     0.215     0.861368   0.00172357
      0.22      0.85535   0.00175838
     0.225     0.849239   0.00179283
      0.23     0.843036   0.00182694
     0.235     0.836744   0.00186069
      0.24     0.830367   0.00189407
     0.245     0.823907   0.00192707
      0.25     0.817366    0.0019597
     0.255     0.810748   0.00199193
      0.26     0.804055   0.00202375
     0.265      0.79729   0.00205517
      0.27     0.790456   0.00208618
     0.275     0.783556   0.00211675
      0.28     0.776592   0.00214689
     0.285     0.769568   0.00217659
      0.29     0.762486   0.00220584
     0.295     0.755349   0.00223462
       0.3      0.74816   0.00226294
     0.305     0.740921   0.00229077
      0.31     0.733636   0.00231812
     0.315     0.726308   0.00234497
      0.32     0.718939   0.00237132
     0.325     0.711532   0.00239716
      0.33      0.70409   0.00242247
     0.335     0.696615   0.00244725
      0.34     0.689111   0.00247149
     0.345      0.68158   0.00249518
      0.35     0.674025   0.00251832
     0.355     0.666448   0.00254089
      0.36     0.658853   0.00256289
     0.365     0.651242   0.00258431
      0.37     0.643617   0.00260514
     0.375     0.635982   0.00262538
      0.38     0.628339   0.00264501
     0.385     0.620689   0.00266402
      0.39     0.613037   0.00268242
     0.395     0.605385   0.00270019
       0.4     0.597734   0.00271733
     0.405     0.590087   0.00273383
      0.41     0.582448   0.00274969
     0.415     0.574817   0.00276489
      0.42     0.567198   0.00277944
     0.425     0.559592   0.00279332
      0.43     0.552003   0.00280653
     0.435     0.544431   0.00281907
      0.44      0.53688   0.00283093
     0.445     0.529352    0.0028421
      0.45     0.521848   0.00285259
     0.455     0.514371   0.00286239
      0.46     0.506922   0.00287149
     0.465     0.499504    0.0028799
      0.47     0.492119    0.0028876
     0.475     0.484767    0.0028946
      0.48     0.477452    0.0029009
     0.485     0.470175   0.00290649
      0.49     0.462937   0.00291138
     0.495     0.455741   0.00291555
       0.5     0.448588   0.00291902
     0.505     0.441479   0.00292178
      0.51     0.434417   0.00292383
     0.515     0.427402   0.00292517
      0.52     0.420436   0.00292581
     0.525      0.41352   0.00292575
      0.53     0.406656   0.00292498
     0.535     0.399845   0.00292351
      0.54     0.393089   0.00292135
     0.545     0.386388   0.00291849
      0.55     0.379743   0.00291495
     0.555     0.373156   0.00291072
      0.56     0.366628   0.00290582
     0.565      0.36016   0.00290024
      0.57     0.353752   0.00289399
     0.575     0.347406   0.00288708
      0.58     0.341123   0.00287952
     0.585     0.334903   0.00287131
      0.59     0.328746   0.00286246
     0.595     0.322655   0.00285297
       0.6     0.316629   0.00284287
     0.605     0.310669   0.00283214
      0.61     0.304776   0.00282082
     0.615      0.29895   0.00280889
      0.62     0.293192   0.00279638
     0.625     0.287501    0.0027833
      0.63      0.28188   0.00276965
     0.635     0.276327   0.00275545
      0.64     0.270844   0.00274071
     0.645      0.26543   0.00272544
      0.65     0.260086   0.00270965
     0.655     0.254812   0.00269336
      0.66     0.249608   0.00267658
     0.665     0.244474   0.00265932
      0.67     0.239411    0.0026416
     0.675     0.234419   0.00262343
      0.68     0.229497   0.00260482
     0.685     0.224645    0.0025858
      0.69     0.219864   0.00256636
     0.695     0.215153   0.00254654
       0.7     0.210513   0.00252634
     0.705     0.205942   0.00250579
      0.71     0.201442   0.00248489
     0.715     0.197011   0.00246366
      0.72      0.19265   0.00244213
     0.725     0.188358    0.0024203
      0.73     0.184136   0.00239819
     0.735     0.179982   0.00237582
      0.74     0.175896   0.00235321
     0.745     0.171878   0.00233038
      0.75     0.167928   0.00230733
     0.755     0.164045   0.00228409
      0.76     0.160229   0.00226068
     0.765      0.15648   0.00223711
      0.77     0.152796   0.00221341
     0.775     0.149177   0.00218958
      0.78     0.145624   0.00216565
     0.785     0.142135   0.00214163
      0.79     0.138709   0.00211755
     0.795     0.135347   0.00209342
       0.8     0.132048   0.00206925
     0.805      0.12881   0.00204507
      0.81     0.125634   0.00202089
     0.815     0.122519   0.00199673
      0.82     0.119465   0.00197262
     0.825     0.116469   0.00194855
      0.83     0.113533   0.00192456
     0.835     0.110655   0.00190066
      0.84     0.107835   0.00187687
     0.845     0.105072   0.00185321
      0.85     0.102364   0.00182968
     0.855    0.0997129   0.00180631
      0.86    0.0971161   0.00178312
     0.865    0.0945735   0.00176012
      0.87    0.0920843   0.00173732
     0.875    0.0896479   0.00171475
      0.88    0.0872634   0.00169241
     0.885    0.0849301   0.00167034
      0.89    0.0826474   0.00164853
     0.895    0.0804145     0.001627
       0.9    0.0782306   0.00160577
     0.905    0.0760951   0.00158486
      0.91    0.0740071   0.00156427
     0.915     0.071966   0.00154403
      0.92     0.069971   0.00152414
     0.925    0.0680214   0.00150462
      0.93    0.0661163   0.00148547
     0.935    0.0642552   0.00146673
      0.94    0.0624373   0.00144838
     0.945    0.0606618   0.00143046
      0.95     0.058928   0.00141296
     0.955    0.0572352    0.0013959
      0.96    0.0555827    0.0013793
     0.965    0.0539697   0.00136315
      0.97    0.0523955   0.00134748
     0.975    0.0508595   0.00133228
      0.98    0.0493609   0.00131757
     0.985    0.0478991   0.00130336
      0.99    0.0464733   0.00128966
     0.995    0.0450828   0.00127646
         1     0.043727   0.00126379
     1.005    0.0424052   0.00125165
      1.01    0.0411167   0.00124004
     1.015    0.0398609   0.00122896
      1.02    0.0386371   0.00121844
     1.025    0.0374447   0.00120846
      1.03     0.036283   0.00119904
     1.035    0.0351514   0.00119017
      1.04    0.0340492   0.00118187
     1.045    0.0329759   0.00117413
      1.05    0.0319309   0.00116695
     1.055    0.0309135   0.00116035
      1.06    0.0299232   0.00115432
     1.065    0.0289593   0.00114886
      1.07    0.0280214   0.00114397
     1.075    0.0271087   0.00113966
      1.08    0.0262208   0.00113591
     1.085    0.0253572   0.00113274
      1.09    0.0245172   0.00113014
     1.095    0.0237004   0.00112811
       1.1    0.0229062   0.00112664
     1.105    0.0221341   0.00112573
      1.11    0.0213835   0.00112539
     1.115    0.0206541    0.0011256
      1.12    0.0199453   0.00112636
     1.125    0.0192566   0.00112768
      1.13    0.0185876   0.00112953
     1.135    0.0179378   0.00113192
      1.14    0.0173067   0.00113484
     1.145    0.0166939   0.00113829
      1.15    0.0160989   0.00114225
     1.155    0.0155214   0.00114672
      1.16    0.0149609    0.0011517
     1.165     0.014417   0.00115717
      1.17    0.0138892   0.00116312
     1.175    0.0133773   0.00116956
      1.18    0.0128808   0.00117646
     1.185    0.0123992   0.00118382
      1.19    0.0119324   0.00119163
     1.195    0.0114798   0.00119988
       1.2    0.0110411   0.00120855
     1.205    0.0106161   0.00121764
      1.21    0.0102042   0.00122714
     1.215   0.00980533   0.00123703
      1.22     0.009419    0.0012473
     1.225   0.00904493   0.00125794
      1.23   0.00868281   0.00126893
     1.235   0.00833234   0.00128027
      1.24   0.00799322   0.00129194
     1.245   0.00766515   0.00130393
      1.25   0.00734786   0.00131623
     1.255   0.00704106   0.00132881
      1.26   0.00674448   0.00134167
     1.265   0.00645786   0.00135479
      1.27   0.00618094   0.00136816
     1.275   0.00591347   0.00138176
      1.28    0.0056552   0.00139559
     1.285   0.00540588   0.00140961
      1.29   0.00516528   0.00142382
     1.295   0.00493318   0.00143821
       1.3   0.00470934   0.00145276
     1.305   0.00449355   0.00146745
      1.31    0.0042856   0.00148226
     1.315   0.00408526   0.00149719
      1.32   0.00389235   0.00151222
     1.325   0.00370666   0.00152732
      1.33   0.00352799   0.00154249
     1.335   0.00335616   0.00155771
      1.34   0.00319098   0.00157297
     1.345   0.00303227   0.00158824
      1.35   0.00287985   0.00160351
     1.355   0.00273356   0.00161877
      1.36   0.00259321     0.001634
     1.365   0.00245865   0.00164919
      1.37   0.00232971   0.00166432
     1.375   0.00220624   0.00167936
      1.38   0.00208809   0.00169432
     1.385    0.0019751   0.00170917
      1.39   0.00186713    0.0017239
     1.395   0.00176403   0.00173849
       1.4   0.00166566   0.00175293
     1.405    0.0015719    0.0017672
      1.41   0.00148259   0.00178128
     1.415   0.00139762   0.00179517
      1.42   0.00131685   0.00180885
     1.425   0.00124017   0.00182229
      1.43   0.00116744    0.0018355
     1.435   0.00109855   0.00184845
      1.44   0.00103337   0.00186113
     1.445   0.000971805   0.00187353
      1.45   0.000913732   0.00188563
     1.455   0.000859041   0.00189742
      1.46   0.000807627   0.00190888
     1.465   0.000759384   0.00192001
      1.47   0.000714208   0.00193078
     1.475   0.000671999   0.00194119
      1.48   0.000632658   0.00195123
     1.485   0.000596088   0.00196087
      1.49   0.000562194   0.00197012
     1.495   0.000530884   0.00197895
       1.5   0.000502067   0.00198736
     1.505   0.000475652   0.00199534
      1.51   0.000451553   0.00200287
     1.515   0.000429684   0.00200994
      1.52   0.000409962   0.00201654
     1.525   0.000392303   0.00202266
      1.53   0.000376627    0.0020283
     1.535   0.000362855   0.00203344
      1.54   0.00035091   0.00203807
     1.545   0.000340716   0.00204218
      1.55   0.000332198   0.00204576
     1.555   0.000325283   0.00204881
      1.56   0.000319899   0.00205132
     1.565   0.000315978   0.00205328
      1.57   0.000313449   0.00205467
     1.575   0.000312247   0.00205551
      1.58   0.000312304   0.00205576
     1.585   0.000313557   0.00205544
      1.59   0.000315942   0.00205453
     1.595   0.000319397   0.00205303
       1.6   0.000323863   0.00205092
     1.605   0.000329279   0.00204822
      1.61   0.000335587    0.0020449
     1.615   0.000342732   0.00204098
      1.62   0.000350658   0.00203643
     1.625   0.00035931   0.00203126
      1.63   0.000368636   0.00202547
     1.635   0.000378584   0.00201905
      1.64   0.000389104     0.002012
     1.645   0.000400146   0.00200431
      1.65   0.000411662   0.00199599
     1.655   0.000423607   0.00198703
      1.66   0.000435934   0.00197744
     1.665   0.000448599   0.00196721
      1.67   0.000461559   0.00195634
     1.675   0.000474772   0.00194483
      1.68   0.000488197   0.00193268
     1.685   0.000501796    0.0019199
      1.69   0.000515529   0.00190649
     1.695   0.000529359   0.00189244
       1.7   0.000543251   0.00187776
     1.705   0.000557171   0.00186246
      1.71   0.000571083   0.00184654
     1.715   0.000584956      0.00183
      1.72   0.000598759   0.00181284
     1.725   0.000612462   0.00179508
      1.73   0.000626035   0.00177672
     1.735   0.000639452   0.00175776
      1.74   0.000652685   0.00173821
     1.745   0.000665709   0.00171808
      1.75   0.000678499   0.00169737
     1.755   0.000691033    0.0016761
      1.76   0.000703288   0.00165427
     1.765   0.000715243   0.00163189
      1.77   0.000726879   0.00160897
     1.775   0.000738176   0.00158552
      1.78   0.000749118   0.00156156
     1.785   0.000759686   0.00153709
      1.79   0.000769867   0.00151212
     1.795   0.000779644   0.00148667
       1.8   0.000789005   0.00146076
     1.805   0.000797937   0.00143438
      1.81   0.000806429   0.00140756
     1.815   0.000814469   0.00138031
      1.82   0.00082205   0.00135264
     1.825   0.000829161   0.00132458
      1.83   0.000835795   0.00129612
     1.835   0.000841946    0.0012673
      1.84   0.000847607   0.00123812
     1.845   0.000852774   0.00120861
      1.85   0.000857443   0.00117877
     1.855   0.00086161   0.00114862
      1.86   0.000865273   0.00111819
     1.865   0.00086843   0.00108749
      1.87   0.00087108   0.00105653
     1.875   0.000873224   0.00102534
      1.88   0.000874862   0.000993934
     1.885   0.000875995   0.000962327
      1.89   0.000876625   0.000930539
     1.895   0.000876755   0.00089859
       1.9   0.000876389   0.000866497
     1.905   0.00087553   0.00083428
      1.91   0.000874183   0.000801957
     1.915   0.000872353   0.000769548
      1.92   0.000870046   0.000737071
     1.925   0.000867267   0.000704545
      1.93   0.000864025   0.00067199
     1.935   0.000860326   0.000639423
      1.94   0.000856177   0.000606865
     1.945   0.000851587   0.000574333
      1.95   0.000846564   0.000541846
     1.955   0.000841118   0.000509424
      1.96   0.000835257   0.000477083
     1.965   0.000828991   0.000444842
      1.97   0.00082233   0.000412719
     1.975   0.000815284   0.000380732
      1.98   0.000807864   0.000348898
     1.985   0.00080008   0.000317234
      1.99   0.000791944   0.000285757
     1.995   0.000783466   0.000254484
         2   0.000774659   0.00022343
     2.005   0.000765532   0.000192611
      2.01   0.000756099   0.000162044
     2.015   0.000746371   0.000131741
      2.02   0.00073636   0.000101719
     2.025   0.000726078   7.19915e-05
      2.03   0.000715537   4.25717e-05
     2.035   0.000704749   1.3473e-05
      2.04   0.000693726   -1.52919e-05
     2.045   0.000682481   -4.37107e-05
      2.05   0.000671026   -7.17719e-05
     2.055   0.000659373   -9.94642e-05
      2.06   0.000647534   -0.000126777
     2.065   0.000635521   -0.0001537
      2.07   0.000623347   -0.000180225
     2.075   0.000611023   -0.000206341
      2.08   0.000598562   -0.000232041
     2.085   0.000585975   -0.000257317
      2.09   0.000573275   -0.000282161
     2.095   0.000560472   -0.000306567
       2.1   0.000547579   -0.000330529
     2.105   0.000534607   -0.000354042
      2.11   0.000521567   -0.000377099
     2.115   0.00050847   -0.000399698
      2.12   0.000495328   -0.000421835
     2.125   0.00048215   -0.000443505
      2.13   0.000468949   -0.000464708
     2.135   0.000455734   -0.00048544
      2.14   0.000442517   -0.0005057
     2.145   0.000429305   -0.000525488
      2.15   0.000416111   -0.000544803
     2.155   0.000402944   -0.000563645
      2.16   0.000389813   -0.000582016
     2.165   0.000376727   -0.000599916
      2.17   0.000363697   -0.000617347
     2.175   0.00035073   -0.000634312
      2.18   0.000337835   -0.000650813
     2.185   0.000325022   -0.000666855
      2.19   0.000312299   -0.000682439
     2.195   0.000299672   -0.000697571
       2.2   0.000287152   -0.000712256
     2.205   0.000274744   -0.000726499
      2.21   0.000262457   -0.000740304
