#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 8
#Number of timestamps  : 10000
#Runtime in seconds    : 28584.840000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999911   0.00401932
      0.01     0.999645   0.00803665
     0.015       0.9992      0.01205
      0.02     0.998579    0.0160573
     0.025      0.99778    0.0200567
      0.03     0.996805     0.024046
     0.035     0.995654    0.0280234
      0.04     0.994327    0.0319868
     0.045     0.992826    0.0359343
      0.05     0.991151    0.0398638
     0.055     0.989302    0.0437736
      0.06     0.987282    0.0476617
     0.065     0.985091    0.0515261
      0.07     0.982729    0.0553649
     0.075       0.9802    0.0591764
      0.08     0.977503    0.0629587
     0.085      0.97464    0.0667099
      0.09     0.971613    0.0704282
     0.095     0.968423     0.074112
       0.1     0.965073    0.0777594
     0.105     0.961563    0.0813688
      0.11     0.957896    0.0849385
     0.115     0.954073    0.0884668
      0.12     0.950097    0.0919521
     0.125     0.945969    0.0953929
      0.13     0.941692    0.0987877
     0.135     0.937268     0.102135
      0.14       0.9327     0.105433
     0.145     0.927989     0.108681
      0.15     0.923138     0.111876
     0.155     0.918149     0.115019
      0.16     0.913025     0.118107
     0.165     0.907769      0.12114
      0.17     0.902383     0.124115
     0.175      0.89687     0.127033
      0.18     0.891233     0.129891
     0.185     0.885474     0.132689
      0.19     0.879597     0.135425
     0.195     0.873604     0.138099
       0.2     0.867498     0.140711
     0.205     0.861282     0.143257
      0.21     0.854959     0.145739
     0.215     0.848533     0.148156
      0.22     0.842005     0.150505
     0.225      0.83538     0.152788
      0.23     0.828661     0.155003
     0.235      0.82185     0.157149
      0.24     0.814952     0.159227
     0.245     0.807968     0.161235
      0.25     0.800903     0.163173
     0.255     0.793759     0.165041
      0.26      0.78654     0.166839
     0.265     0.779249     0.168565
      0.27     0.771889     0.170221
     0.275     0.764464     0.171805
      0.28     0.756976     0.173318
     0.285      0.74943      0.17476
      0.29     0.741829      0.17613
     0.295     0.734175     0.177428
       0.3     0.726471     0.178655
     0.305     0.718723     0.179811
      0.31     0.710931     0.180896
     0.315       0.7031     0.181909
      0.32     0.695234     0.182852
     0.325     0.687334     0.183724
      0.33     0.679404     0.184526
     0.335     0.671449     0.185259
      0.34     0.663469     0.185922
     0.345     0.655469     0.186516
      0.35     0.647452     0.187042
     0.355     0.639421       0.1875
      0.36     0.631379     0.187891
     0.365     0.623328     0.188215
      0.37     0.615273     0.188473
     0.375     0.607215     0.188665
      0.38     0.599157     0.188794
     0.385     0.591103     0.188858
      0.39     0.583056     0.188859
     0.395     0.575017     0.188798
       0.4      0.56699     0.188676
     0.405     0.558977     0.188493
      0.41     0.550982      0.18825
     0.415     0.543005     0.187949
      0.42     0.535051      0.18759
     0.425     0.527122     0.187174
      0.43      0.51922     0.186703
     0.435     0.511346     0.186177
      0.44     0.503505     0.185597
     0.445     0.495698     0.184965
      0.45     0.487927     0.184281
     0.455     0.480194     0.183547
      0.46     0.472501     0.182764
     0.465     0.464851     0.181933
      0.47     0.457246     0.181055
     0.475     0.449687     0.180131
      0.48     0.442177     0.179162
     0.485     0.434716      0.17815
