#Number of particles   : 500
#Number of trajectories: 300000
#Temperature           : 0.25
#Number of timestamps  : 4000
#Runtime in seconds    : 13240.020000
#time       real_part      imaginary_part

         0            1            0
     0.005     0.999981   -0.00504855
      0.01     0.999924   -0.0100968
     0.015     0.999828   -0.0151443
      0.02     0.999695   -0.0201906
     0.025     0.999523   -0.0252352
      0.03     0.999313   -0.0302777
     0.035     0.999066   -0.0353177
      0.04      0.99878   -0.0403546
     0.045     0.998456   -0.0453881
      0.05     0.998094   -0.0504176
     0.055     0.997695   -0.0554428
      0.06     0.997257   -0.0604632
     0.065     0.996782   -0.0654783
      0.07     0.996269   -0.0704877
     0.075     0.995719    -0.075491
      0.08     0.995131   -0.0804877
     0.085     0.994506   -0.0854773
      0.09     0.993843   -0.0904595
     0.095     0.993143   -0.0954338
       0.1     0.992406      -0.1004
     0.105     0.991632    -0.105357
      0.11     0.990821    -0.110305
     0.115     0.989973    -0.115243
      0.12     0.989089    -0.120171
     0.125     0.988168    -0.125089
      0.13     0.987211    -0.129996
     0.135     0.986218    -0.134891
      0.14     0.985188    -0.139774
     0.145     0.984123    -0.144646
      0.15     0.983022    -0.149505
     0.155     0.981885     -0.15435
      0.16     0.980713    -0.159183
     0.165     0.979506    -0.164001
      0.17     0.978264    -0.168805
     0.175     0.976987    -0.173595
      0.18     0.975676    -0.178369
     0.185      0.97433    -0.183128
      0.19     0.972949    -0.187872
     0.195     0.971535    -0.192599
       0.2     0.970087    -0.197309
     0.205     0.968606    -0.202002
      0.21     0.967091    -0.206678
     0.215     0.965543    -0.211336
      0.22     0.963962    -0.215976
     0.225     0.962348    -0.220598
      0.23     0.960702      -0.2252
     0.235     0.959024    -0.229784
      0.24     0.957314    -0.234348
     0.245     0.955572    -0.238892
      0.25       0.9538    -0.243415
     0.255     0.951995    -0.247918
      0.26     0.950161      -0.2524
     0.265     0.948295     -0.25686
      0.27     0.946399    -0.261299
     0.275     0.944474    -0.265716
      0.28     0.942518    -0.270111
     0.285     0.940533    -0.274483
      0.29     0.938519    -0.278832
     0.295     0.936477    -0.283157
       0.3     0.934405     -0.28746
     0.305     0.932306    -0.291738
      0.31     0.930178    -0.295992
     0.315     0.928023    -0.300221
      0.32     0.925841    -0.304426
     0.325     0.923632    -0.308606
      0.33     0.921396     -0.31276
     0.335     0.919133    -0.316889
      0.34     0.916845    -0.320992
     0.345     0.914531    -0.325069
      0.35     0.912192    -0.329119
     0.355     0.909828    -0.333142
      0.36     0.907439    -0.337139
     0.365     0.905026    -0.341109
      0.37     0.902589    -0.345051
     0.375     0.900128    -0.348965
      0.38     0.897644    -0.352852
     0.385     0.895137     -0.35671
      0.39     0.892607     -0.36054
     0.395     0.890056    -0.364342
       0.4     0.887482    -0.368115
     0.405     0.884887    -0.371858
      0.41     0.882271    -0.375573
     0.415     0.879634    -0.379258
      0.42     0.876977    -0.382914
     0.425     0.874299     -0.38654
      0.43     0.871602    -0.390136
     0.435     0.868886    -0.393702
      0.44      0.86615    -0.397238
     0.445     0.863396    -0.400743
      0.45     0.860624    -0.404217
     0.455     0.857834    -0.407661
