# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0002456173       0.0000000000       0.0012142148       0.0000000000
0.0000000000       0.0002455593       -0.0000044284       0.0012141568       -0.0000044284
0.0000000000       0.0002453854       -0.0000088529       0.0012139828       -0.0000088529
0.0000000000       0.0002450957       -0.0000132697       0.0012136932       -0.0000132697
0.0000000000       0.0002446907       -0.0000176749       0.0012132882       -0.0000176749
0.0000000000       0.0002441709       -0.0000220647       0.0012127684       -0.0000220647
0.0000000000       0.0002435369       -0.0000264353       0.0012121343       -0.0000264353
0.0000000000       0.0002427895       -0.0000307829       0.0012113869       -0.0000307829
0.0000000000       0.0002419296       -0.0000351038       0.0012105271       -0.0000351038
0.0000000000       0.0002409584       -0.0000393943       0.0012095558       -0.0000393943
0.0000000000       0.0002398770       -0.0000436506       0.0012084745       -0.0000436506
0.0000000000       0.0002386868       -0.0000478693       0.0012072843       -0.0000478693
0.0000000000       0.0002373894       -0.0000520467       0.0012059868       -0.0000520467
0.0000000000       0.0002359862       -0.0000561794       0.0012045836       -0.0000561794
0.0000000000       0.0002344791       -0.0000602639       0.0012030765       -0.0000602639
0.0000000000       0.0002328699       -0.0000642970       0.0012014674       -0.0000642970
0.0000000000       0.0002311607       -0.0000682753       0.0011997581       -0.0000682753
0.0000000000       0.0002293535       -0.0000721957       0.0011979509       -0.0000721957
0.0000000000       0.0002274506       -0.0000760550       0.0011960480       -0.0000760550
0.0000000000       0.0002254543       -0.0000798503       0.0011940518       -0.0000798503
0.0000000000       0.0002233671       -0.0000835786       0.0011919646       -0.0000835786
0.0000000000       0.0002211916       -0.0000872372       0.0011897890       -0.0000872372
0.0000000000       0.0002189303       -0.0000908234       0.0011875278       -0.0000908234
0.0000000000       0.0002165861       -0.0000943345       0.0011851836       -0.0000943345
0.0000000000       0.0002141618       -0.0000977680       0.0011827593       -0.0000977680
0.0000000000       0.0002116603       -0.0001011216       0.0011802578       -0.0001011216
0.0000000000       0.0002090847       -0.0001043931       0.0011776822       -0.0001043931
0.0000000000       0.0002064380       -0.0001075803       0.0011750355       -0.0001075803
0.0000000000       0.0002037234       -0.0001106813       0.0011723208       -0.0001106813
0.0000000000       0.0002009441       -0.0001136940       0.0011695416       -0.0001136940
0.0000000000       0.0001981034       -0.0001166169       0.0011667009       -0.0001166169
0.0000000000       0.0001952047       -0.0001194482       0.0011638021       -0.0001194482
0.0000000000       0.0001922513       -0.0001221865       0.0011608487       -0.0001221865
0.0000000000       0.0001892467       -0.0001248305       0.0011578441       -0.0001248305
0.0000000000       0.0001861943       -0.0001273789       0.0011547917       -0.0001273789
0.0000000000       0.0001830977       -0.0001298307       0.0011516952       -0.0001298307
0.0000000000       0.0001799604       -0.0001321849       0.0011485579       -0.0001321849
0.0000000000       0.0001767860       -0.0001344408       0.0011453834       -0.0001344408
0.0000000000       0.0001735780       -0.0001365976       0.0011421754       -0.0001365976
0.0000000000       0.0001703400       -0.0001386550       0.0011389375       -0.0001386550
0.0000000000       0.0001670756       -0.0001406124       0.0011356731       -0.0001406124
0.0000000000       0.0001637885       -0.0001424697       0.0011323859       -0.0001424697
0.0000000000       0.0001604821       -0.0001442268       0.0011290796       -0.0001442268
0.0000000000       0.0001571601       -0.0001458837       0.0011257575       -0.0001458837
0.0000000000       0.0001538260       -0.0001474406       0.0011224234       -0.0001474406
0.0000000000       0.0001504833       -0.0001488979       0.0011190807       -0.0001488979
0.0000000000       0.0001471355       -0.0001502559       0.0011157330       -0.0001502559
0.0000000000       0.0001437862       -0.0001515153       0.0011123836       -0.0001515153
0.0000000000       0.0001404386       -0.0001526769       0.0011090361       -0.0001526769
0.0000000000       0.0001370963       -0.0001537414       0.0011056937       -0.0001537414
0.0000000000       0.0001337624       -0.0001547098       0.0011023599       -0.0001547098
0.0000000000       0.0001304404       -0.0001555833       0.0010990378       -0.0001555833
0.0000000000       0.0001271333       -0.0001563631       0.0010957308       -0.0001563631
0.0000000000       0.0001238445       -0.0001570505       0.0010924419       -0.0001570505
0.0000000000       0.0001205768       -0.0001576469       0.0010891743       -0.0001576469
0.0000000000       0.0001173334       -0.0001581541       0.0010859308       -0.0001581541
0.0000000000       0.0001141171       -0.0001585736       0.0010827145       -0.0001585736
0.0000000000       0.0001109308       -0.0001589073       0.0010795282       -0.0001589073
