# time        F_Re_MC      F_Im_MC      F_Re_E17      F_Im_E17 
0.00000000000000000000       1.0000000000       0.0000000000       1.0000000000       0.0000000000
0.00000000000000100000       0.9997165876       0.0000017033       0.9985993476       -0.0472503815
0.00000000000000200000       0.9988669659       0.0000136128       0.9944052629       -0.0943047665
0.00000000000000300000       0.9974529781       0.0000458682       0.9874412926       -0.1409685759
0.00000000000000400000       0.9954776857       0.0001084761       0.9777464465       -0.1870500494
0.00000000000000500000       0.9929453526       0.0002112454       0.9653748478       -0.2323616169
0.00000000000000600000       0.9898614230       0.0003637237       0.9503952510       -0.2767212243
0.00000000000000700000       0.9862324941       0.0005751362       0.9328904314       -0.3199536000
0.00000000000000800000       0.9820662820       0.0008543271       0.9129564563       -0.3618914492
0.00000000000000900000       0.9773715834       0.0012097039       0.8907018451       -0.4023765631
0.00000000000001000000       0.9721582311       0.0016491862       0.8662466298       -0.4412608328
0.00000000000001100000       0.9664370462       0.0021801570       0.8397213275       -0.4784071587
0.00000000000001200000       0.9602197848       0.0028094196       0.8112658372       -0.5136902465
0.00000000000001300000       0.9535190820       0.0035431583       0.7810282740       -0.5469972842
0.00000000000001400000       0.9463483918       0.0043869041       0.7491637548       -0.5782284946
0.00000000000001500000       0.9387219249       0.0053455056       0.7158331496       -0.6072975618
0.00000000000001600000       0.9306545838       0.0064231051       0.6812018119       -0.6341319279
0.00000000000001700000       0.9221618964       0.0076231194       0.6454383034       -0.6586729625
0.00000000000001800000       0.9132599481       0.0089482266       0.6087131252       -0.6808760054
0.00000000000001900000       0.9039653134       0.0104003580       0.5711974697       -0.7007102866
0.00000000000002000000       0.8942949872       0.0119806946       0.5330620059       -0.7181587283
0.00000000000002100000       0.8842663166       0.0136896696       0.4944757084       -0.7332176345
0.00000000000002200000       0.8738969328       0.0155269756       0.4556047418       -0.7458962766
0.00000000000002300000       0.8632046849       0.0174915757       0.4166114102       -0.7562163818
0.00000000000002400000       0.8522075749       0.0195817206       0.3776531793       -0.7642115353
0.00000000000002500000       0.8409236944       0.0217949686       0.3388817781       -0.7699265036
0.00000000000002600000       0.8293711645       0.0241282103       0.3004423878       -0.7734164924
0.00000000000002700000       0.8175680772       0.0265776970       0.2624729197       -0.7747463464
0.00000000000002800000       0.8055324404       0.0291390716       0.2251033872       -0.7739897048
0.00000000000002900000       0.7932821261       0.0318074034       0.1884553734       -0.7712281210
0.00000000000003000000       0.7808348209       0.0345772248       0.1526415938       -0.7665501587
0.00000000000003100000       0.7682079815       0.0374425705       0.1177655554       -0.7600504739
0.00000000000003200000       0.7554187924       0.0403970184       0.0839213088       -0.7518288934
0.00000000000003300000       0.7424841281       0.0434337319       0.0511932915       -0.7419894989
0.00000000000003400000       0.7294205184       0.0465455038       0.0196562586       -0.7306397252
0.00000000000003500000       0.7162441178       0.0497247996       -0.0106247033       -0.7178894815
0.00000000000003600000       0.7029706785       0.0529638029       -0.0395940846       -0.7038503021
0.00000000000003700000       0.6896155266       0.0562544595       -0.0672057892       -0.6886345334
0.00000000000003800000       0.6761935424       0.0595885218       -0.0934229047       -0.6723545640
0.00000000000003900000       0.6627191439       0.0629575929       -0.1182174130       -0.6551220997
0.00000000000004000000       0.6492062730       0.0663531689       -0.1415698486       -0.6370474911
0.00000000000004100000       0.6356683858       0.0697666813       -0.1634689107       -0.6182391137
0.00000000000004200000       0.6221184452       0.0731895372       -0.1839110363       -0.5988028047
0.00000000000004300000       0.6085689164       0.0766131587       -0.2028999411       -0.5788413565
0.00000000000004400000       0.5950317651       0.0800290198       -0.2204461350       -0.5584540689
0.00000000000004500000       0.5815184579       0.0834286825       -0.2365664183       -0.5377363589
0.00000000000004600000       0.5680399650       0.0868038302       -0.2512833651       -0.5167794280
0.00000000000004700000       0.5546067652       0.0901462990       -0.2646247996       -0.4956699856
0.00000000000004800000       0.5412288517       0.0934481075       -0.2766232701       -0.4744900264
0.00000000000004900000       0.5279157410       0.0967014840       -0.2873155273       -0.4533166601
0.00000000000005000000       0.5146764815       0.0998988914       -0.2967420088       -0.4322219908
0.00000000000005100000       0.5015196648       0.1030330499       -0.3049463367       -0.4112730422
0.00000000000005200000       0.4884534367       0.1060969580       -0.3119748300       -0.3905317270
0.00000000000005300000       0.4754855103       0.1090839104       -0.3178760353       -0.3700548557
0.00000000000005400000       0.4626231786       0.1119875142       -0.3227002784       -0.3498941826
0.00000000000005500000       0.4498733282       0.1148017032       -0.3264992401       -0.3300964839
0.00000000000005600000       0.4372424534       0.1175207495       -0.3293255552       -0.3107036665
0.00000000000005700000       0.4247366705       0.1201392735       -0.3312324394       -0.2917529012
0.00000000000005800000       0.4123617317       0.1226522517       -0.3322733424       -0.2732767802
0.00000000000005900000       0.4001230399       0.1250550230       -0.3325016287       -0.2553034915
0.00000000000006000000       0.3880256621       0.1273432931       -0.3319702864       -0.2378570112
0.00000000000006100000       0.3760743443       0.1295131367       -0.3307316638       -0.2209573073
0.00000000000006200000       0.3642735244       0.1315609988       -0.3288372334       -0.2046205535
0.00000000000006300000       0.3526273458       0.1334836942       -0.3263373825       -0.1888593509
0.00000000000006400000       0.3411396702       0.1352784057       -0.3232812298       -0.1736829528
0.00000000000006500000       0.3298140904       0.1369426810       -0.3197164675       -0.1590974938
0.00000000000006600000       0.3186539417       0.1384744281       -0.3156892262       -0.1451062173
0.00000000000006700000       0.3076623137       0.1398719103       -0.3112439636       -0.1317097024
0.00000000000006800000       0.2968420611       0.1411337396       -0.3064233740       -0.1189060871
0.00000000000006900000       0.2861958138       0.1422588693       -0.3012683172       -0.1066912873
0.00000000000007000000       0.2757259869       0.1432465861       -0.2958177669       -0.0950592084
0.00000000000007100000       0.2654347899       0.1440965010       -0.2901087751       -0.0840019517
0.00000000000007200000       0.2553242349       0.1448085403       -0.2841764531       -0.0735100112
0.00000000000007300000       0.2453961450       0.1453829351       -0.2780539656       -0.0635724625
0.00000000000007400000       0.2356521618       0.1458202110       -0.2717725381       -0.0541771428
0.00000000000007500000       0.2260937521       0.1461211772       -0.2653614757       -0.0453108200
0.00000000000007600000       0.2167222146       0.1462869154       -0.2588481913       -0.0369593533
0.00000000000007700000       0.2075386858       0.1463187677       -0.2522582435       -0.0291078426
0.00000000000007800000       0.1985441455       0.1462183257       -0.2456153811       -0.0217407689
0.00000000000007900000       0.1897394217       0.1459874180       -0.2389415948       -0.0148421232
0.00000000000008000000       0.1811251955       0.1456280982       -0.2322571733       -0.0083955267
0.00000000000008100000       0.1727020055       0.1451426331       -0.2255807651       -0.0023843405
0.00000000000008200000       0.1644702514       0.1445334904       -0.2189294422       0.0032082336
0.00000000000008300000       0.1564301976       0.1438033266       -0.2123187680       0.0083990621
0.00000000000008400000       0.1485819770       0.1429549752       -0.2057628656       0.0132049975
0.00000000000008500000       0.1409255935       0.1419914342       -0.1992744885       0.0176428037
0.00000000000008600000       0.1334609253       0.1409158549       -0.1928650911       0.0217290905
0.00000000000008700000       0.1261877271       0.1397315298       -0.1865448994       0.0254802552
0.00000000000008800000       0.1191056328       0.1384418810       -0.1803229812       0.0289124307
0.00000000000008900000       0.1122141579       0.1370504493       -0.1742073159       0.0320414420
0.00000000000009000000       0.1055127012       0.1355608826       -0.1682048620       0.0348827668
0.00000000000009100000       0.0990005474       0.1339769250       -0.1623216241       0.0374515038
0.00000000000009200000       0.0926768685       0.1323024064       -0.1565627177       0.0397623453
0.00000000000009300000       0.0865407262       0.1305412318       -0.1509324313       0.0418295549
0.00000000000009400000       0.0805910735       0.1286973712       -0.1454342874       0.0436669501
0.00000000000009500000       0.0748267567       0.1267748496       -0.1400711004       0.0452878885
0.00000000000009600000       0.0692465169       0.1247777374       -0.1348450322       0.0467052583
0.00000000000009700000       0.0638489921       0.1227101412       -0.1297576455       0.0479314718
0.00000000000009800000       0.0586327191       0.1205761941       -0.1248099539       0.0489784620
0.00000000000009900000       0.0535961349       0.1183800478       -0.1200024704       0.0498576822
0.00000000000010000000       0.0487375792       0.1161258633       -0.1153352525       0.0505801074
0.00000000000010100000       0.0440552962       0.1138178031       -0.1108079450       0.0511562385
0.00000000000010200000       0.0395474363       0.1114600232       -0.1064198203       0.0515961078
0.00000000000010300000       0.0352120585       0.1090566655       -0.1021698161       0.0519092866
0.00000000000010400000       0.0310471325       0.1066118504       -0.0980565711       0.0521048938
0.00000000000010500000       0.0270505410       0.1041296699       -0.0940784578       0.0521916056
0.00000000000010600000       0.0232200818       0.1016141807       -0.0902336135       0.0521776668
0.00000000000010700000       0.0195534705       0.0990693979       -0.0865199685       0.0520709022
0.00000000000010800000       0.0160483427       0.0964992888       -0.0829352732       0.0518787289
0.00000000000010900000       0.0127022569       0.0939077673       -0.0794771224       0.0516081690
0.00000000000011000000       0.0095126969       0.0912986879       -0.0761429778       0.0512658633
0.00000000000011100000       0.0064770747       0.0886758407       -0.0729301891       0.0508580842
0.00000000000011200000       0.0035927333       0.0860429465       -0.0698360131       0.0503907496
0.00000000000011300000       0.0008569496       0.0834036519       -0.0668576311       0.0498694363
0.00000000000011400000       -0.0017330627       0.0807615250       -0.0639921651       0.0492993939
0.00000000000011500000       -0.0041801495       0.0781200513       -0.0612366923       0.0486855583
0.00000000000011600000       -0.0064872139       0.0754826298       -0.0585882584       0.0480325652
0.00000000000011700000       -0.0086572124       0.0728525690       -0.0560438896       0.0473447629
0.00000000000011800000       -0.0106931517       0.0702330844       -0.0536006036       0.0466262259
0.00000000000011900000       -0.0125980856       0.0676272947       -0.0512554190       0.0458807669
0.00000000000012000000       -0.0143751113       0.0650382192       -0.0490053645       0.0451119500
0.00000000000012100000       -0.0160273661       0.0624687755       -0.0468474866       0.0443231020
0.00000000000012200000       -0.0175580236       0.0599217766       -0.0447788563       0.0435173244
0.00000000000012300000       -0.0189702907       0.0573999295       -0.0427965758       0.0426975050
0.00000000000012400000       -0.0202674034       0.0549058329       -0.0408977832       0.0418663284
0.00000000000012500000       -0.0214526236       0.0524419758       -0.0390796581       0.0410262868
0.00000000000012600000       -0.0225292353       0.0500107363       -0.0373394253       0.0401796902
0.00000000000012700000       -0.0235005408       0.0476143799       -0.0356743581       0.0393286761
0.00000000000012800000       -0.0243698574       0.0452550592       -0.0340817821       0.0384752188
0.00000000000012900000       -0.0251405135       0.0429348130       -0.0325590770       0.0376211389
0.00000000000013000000       -0.0258158451       0.0406555658       -0.0311036795       0.0367681113
0.00000000000013100000       -0.0263991918       0.0384191273       -0.0297130844       0.0359176737
0.00000000000013200000       -0.0268938937       0.0362271927       -0.0283848464       0.0350712348
0.00000000000013300000       -0.0273032874       0.0340813428       -0.0271165812       0.0342300812
0.00000000000013400000       -0.0276307025       0.0319830439       -0.0259059659       0.0333953852
0.00000000000013500000       -0.0278794583       0.0299336488       -0.0247507402       0.0325682113
0.00000000000013600000       -0.0280528599       0.0279343972       -0.0236487060       0.0317495229
0.00000000000013700000       -0.0281541953       0.0259864166       -0.0225977281       0.0309401882
0.00000000000013800000       -0.0281867314       0.0240907234       -0.0215957337       0.0301409865
0.00000000000013900000       -0.0281537112       0.0222482240       -0.0206407123       0.0293526135
0.00000000000014000000       -0.0280583502       0.0204597161       -0.0197307151       0.0285756869
0.00000000000014100000       -0.0279038335       0.0187258904       -0.0188638549       0.0278107510
0.00000000000014200000       -0.0276933123       0.0170473321       -0.0180383051       0.0270582821
0.00000000000014300000       -0.0274299014       0.0154245227       -0.0172522987       0.0263186925
0.00000000000014400000       -0.0271166755       0.0138578417       -0.0165041282       0.0255923352
0.00000000000014500000       -0.0267566673       0.0123475692       -0.0157921439       0.0248795077
0.00000000000014600000       -0.0263528640       0.0108938873       -0.0151147533       0.0241804560
0.00000000000014700000       -0.0259082047       0.0094968831       -0.0144704201       0.0234953783
0.00000000000014800000       -0.0254255783       0.0081565507       -0.0138576629       0.0228244284
0.00000000000014900000       -0.0249078207       0.0068727935       -0.0132750541       0.0221677189
0.00000000000015000000       -0.0243577124       0.0056454271       -0.0127212187       0.0215253245
0.00000000000015100000       -0.0237779765       0.0044741822       -0.0121948334       0.0208972847
0.00000000000015200000       -0.0231712763       0.0033587064       -0.0116946250       0.0202836067
0.00000000000015300000       -0.0225402136       0.0022985682       -0.0112193692       0.0196842678
0.00000000000015400000       -0.0218873267       0.0012932590       -0.0107678896       0.0190992184
0.00000000000015500000       -0.0212150885       0.0003421964       -0.0103390561       0.0185283836
0.00000000000015600000       -0.0205259050       -0.0005552727       -0.0099317840       0.0179716658
0.00000000000015700000       -0.0198221138       -0.0013998694       -0.0095450326       0.0174289467
0.00000000000015800000       -0.0191059826       -0.0021923793       -0.0091778035       0.0169000893
0.00000000000015900000       -0.0183797080       -0.0029336494       -0.0088291402       0.0163849396
0.00000000000016000000       -0.0176454143       -0.0036245855       -0.0084981261       0.0158833283
0.00000000000016100000       -0.0169051527       -0.0042661480       -0.0081838836       0.0153950725
0.00000000000016200000       -0.0161609002       -0.0048593498       -0.0078855728       0.0149199771
0.00000000000016300000       -0.0154145587       -0.0054052523       -0.0076023904       0.0144578364
0.00000000000016400000       -0.0146679549       -0.0059049623       -0.0073335681       0.0140084353
0.00000000000016500000       -0.0139228391       -0.0063596290       -0.0070783720       0.0135715504
0.00000000000016600000       -0.0131808854       -0.0067704408       -0.0068361010       0.0131469514
0.00000000000016700000       -0.0124436912       -0.0071386217       -0.0066060859       0.0127344022
0.00000000000016800000       -0.0117127769       -0.0074654284       -0.0063876880       0.0123336615
0.00000000000016900000       -0.0109895863       -0.0077521470       -0.0061802982       0.0119444843
0.00000000000017000000       -0.0102754863       -0.0080000901       -0.0059833359       0.0115666223
0.00000000000017100000       -0.0095717673       -0.0082105932       -0.0057962480       0.0111998250
0.00000000000017200000       -0.0088796436       -0.0083850122       -0.0056185077       0.0108438402
0.00000000000017300000       -0.0082002536       -0.0085247197       -0.0054496133       0.0104984151
0.00000000000017400000       -0.0075346608       -0.0086311025       -0.0052890879       0.0101632964
0.00000000000017500000       -0.0068838538       -0.0087055586       -0.0051364776       0.0098382312
0.00000000000017600000       -0.0062487479       -0.0087494941       -0.0049913512       0.0095229675
0.00000000000017700000       -0.0056301852       -0.0087643203       -0.0048532989       0.0092172547
0.00000000000017800000       -0.0050289360       -0.0087514513       -0.0047219316       0.0089208441
0.00000000000017900000       -0.0044456997       -0.0087123010       -0.0045968798       0.0086334889
0.00000000000018000000       -0.0038811062       -0.0086482805       -0.0044777932       0.0083549452
